signature_id	signature_name	gene
CAF.Affo21.iCAF	iCAF	ADAMTS4
CAF.Affo21.iCAF	iCAF	GPX3
CAF.Affo21.iCAF	iCAF	AGT
CAF.Affo21.iCAF	iCAF	HIGD1B
CAF.Affo21.iCAF	iCAF	APOE
CAF.Affo21.iCAF	iCAF	IL6
CAF.Affo21.iCAF	iCAF	ARHGDIB
CAF.Affo21.iCAF	iCAF	ISYNA1
CAF.Affo21.iCAF	iCAF	CCL19
CAF.Affo21.iCAF	iCAF	CCL21
CAF.Affo21.iCAF	iCAF	COLEC11
CAF.Affo21.iCAF	iCAF	CPE
CAF.Affo21.iCAF	iCAF	GEM
CAF.Affo21.iCAF	iCAF	GJA4
CAF.Affo21.iCAF	iCAF	LHFP
CAF.Affo21.iCAF	iCAF	MAP1B
CAF.Affo21.iCAF	iCAF	MT1A
CAF.Affo21.iCAF	iCAF	NDUFA4L2
CAF.Affo21.iCAF	iCAF	PDK4
CAF.Affo21.iCAF	iCAF	RGS5
CAF.Affo21.myCAF	myCAF	APOD
CAF.Affo21.myCAF	myCAF	INHBA
CAF.Affo21.myCAF	myCAF	CCL11
CAF.Affo21.myCAF	myCAF	ISLR
CAF.Affo21.myCAF	myCAF	COL1A1
CAF.Affo21.myCAF	myCAF	LUM
CAF.Affo21.myCAF	myCAF	COL1A2
CAF.Affo21.myCAF	myCAF	MMP14
CAF.Affo21.myCAF	myCAF	COL3A1
CAF.Affo21.myCAF	myCAF	COL5A1
CAF.Affo21.myCAF	myCAF	COL6A3
CAF.Affo21.myCAF	myCAF	CTGF
CAF.Affo21.myCAF	myCAF	CTHRC1
CAF.Affo21.myCAF	myCAF	CYP1B1
CAF.Affo21.myCAF	myCAF	POSTN
CAF.Affo21.myCAF	myCAF	PTGDS
CAF.Affo21.myCAF	myCAF	SERPINF1
CAF.Affo21.myCAF	myCAF	SFRP2
CAF.Affo21.myCAF	myCAF	SPON2
CAF.Affo21.myCAF	myCAF	VCAN
CAF.Affo21.myCAF	myCAF	FN1
CAF.Affo21.mesCAF	mesCAF	ANXA1
CAF.Affo21.mesCAF	mesCAF	CXCL1
CAF.Affo21.mesCAF	mesCAF	IFI27
CAF.Affo21.mesCAF	mesCAF	MT1G
CAF.Affo21.mesCAF	mesCAF	S100A10
CAF.Affo21.mesCAF	mesCAF	ANXA2
CAF.Affo21.mesCAF	mesCAF	CXCL6
CAF.Affo21.mesCAF	mesCAF	IGFBP6
CAF.Affo21.mesCAF	mesCAF	MT1X
CAF.Affo21.mesCAF	mesCAF	S100A16
CAF.Affo21.mesCAF	mesCAF	BDKRB1
CAF.Affo21.mesCAF	mesCAF	EFEMP1
CAF.Affo21.mesCAF	mesCAF	ITLN1
CAF.Affo21.mesCAF	mesCAF	MXRA5
CAF.Affo21.mesCAF	mesCAF	S100A6
CAF.Affo21.mesCAF	mesCAF	C19orf33
CAF.Affo21.mesCAF	mesCAF	EGFL6
CAF.Affo21.mesCAF	mesCAF	KRT18
CAF.Affo21.mesCAF	mesCAF	PDPN
CAF.Affo21.mesCAF	mesCAF	SAA1
CAF.Affo21.mesCAF	mesCAF	C3
CAF.Affo21.mesCAF	mesCAF	CALB2
CAF.Affo21.mesCAF	mesCAF	CCDC80
CAF.Affo21.mesCAF	mesCAF	CFB
CAF.Affo21.mesCAF	mesCAF	CRABP2
CAF.Affo21.mesCAF	mesCAF	EMP3
CAF.Affo21.mesCAF	mesCAF	EZR
CAF.Affo21.mesCAF	mesCAF	HMOX1
CAF.Affo21.mesCAF	mesCAF	HP
CAF.Affo21.mesCAF	mesCAF	HSPA6
CAF.Affo21.mesCAF	mesCAF	KRT19
CAF.Affo21.mesCAF	mesCAF	KRT8
CAF.Affo21.mesCAF	mesCAF	LINC01133
CAF.Affo21.mesCAF	mesCAF	LOX
CAF.Affo21.mesCAF	mesCAF	MT1E
CAF.Affo21.mesCAF	mesCAF	PLA2G2A
CAF.Affo21.mesCAF	mesCAF	PRG4
CAF.Affo21.mesCAF	mesCAF	PRSS23
CAF.Affo21.mesCAF	mesCAF	PTGIS
CAF.Affo21.mesCAF	mesCAF	RP11-572C15.6
CAF.Affo21.mesCAF	mesCAF	SAA2
CAF.Affo21.mesCAF	mesCAF	SERPINE2
CAF.Affo21.mesCAF	mesCAF	SH3BGRL3
CAF.Affo21.mesCAF	mesCAF	SLC12A8
CAF.Affo21.mesCAF	mesCAF	SLPI
CAF.Affo21.mesCAF	mesCAF	TM4SF1
