signature_id	signature_name	gene
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MMP11
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL11A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	C1QTNF3
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	CTHRC1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL1A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL12A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL10A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	FN1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL1A2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	SDC1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL5A2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	GJB2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	LGALS1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	TPM1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL3A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	THBS2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	HTRA1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	SPARC
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	CD99
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	AEBP1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	NBL1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	ACTB
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MFAP2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	TMSB10
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	LRRC15
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MMP14
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	PLAU
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	INHBA
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	POSTN
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	ITGA11
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	ANTXR1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	PLPP4
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MYL9
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL5A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MFAP5
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	ATP5E
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	IGFL2
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	F13A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	CD55
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	GREM1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	COL8A1
CAF.Dominguez20.hCAF0TGFB	hCAF0TGFB	MYL6
