signature_id	signature_name	gene
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	ASPN
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL3A1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	THY1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	SFRP2
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL10A1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL6A3
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	LRRC17
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CILP
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	GRP
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	ITGBL1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL8A1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL14A1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	ADAM12
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	OLFML2B
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	ELN
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	PLPP4
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CREB3L1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	FBN1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	LOXL1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	MATN3
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	LRRC15
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COMP
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	ISLR
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	P3H1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	COL11A1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	SEPT11
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	NBL1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	SPON1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	SULF1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	FNDC1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CNN1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	MIAT
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	MMP23B
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CPXM1
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	FIBIN
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	P4HA3
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	GXYLT2
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CILP2
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	P3H4
CAF.Kieffer20.ecm.myCAF	ecm.myCAF	CCDC80
CAF.Kieffer20.detox.iCAF	detox.iCAF	ADH1B
CAF.Kieffer20.detox.iCAF	detox.iCAF	C7
CAF.Kieffer20.detox.iCAF	detox.iCAF	CXCL12
CAF.Kieffer20.detox.iCAF	detox.iCAF	TNXB
CAF.Kieffer20.detox.iCAF	detox.iCAF	RSPO3
CAF.Kieffer20.detox.iCAF	detox.iCAF	DCN
CAF.Kieffer20.detox.iCAF	detox.iCAF	C16ORF89
CAF.Kieffer20.detox.iCAF	detox.iCAF	GDF10
CAF.Kieffer20.detox.iCAF	detox.iCAF	PAMR1
CAF.Kieffer20.detox.iCAF	detox.iCAF	FXYD1
CAF.Kieffer20.detox.iCAF	detox.iCAF	ZBTB16
CAF.Kieffer20.detox.iCAF	detox.iCAF	SLIT3
CAF.Kieffer20.detox.iCAF	detox.iCAF	HSPB6
CAF.Kieffer20.detox.iCAF	detox.iCAF	IL6
