signature_id	signature_name	gene
CAF.Neuzillet22.POSTN	POSTN	POSTN
CAF.Neuzillet22.POSTN	POSTN	H2AFV
CAF.Neuzillet22.POSTN	POSTN	BLVRB
CAF.Neuzillet22.POSTN	POSTN	AP002807.1
CAF.Neuzillet22.POSTN	POSTN	TCIRG1
CAF.Neuzillet22.POSTN	POSTN	MRPS24
CAF.Neuzillet22.POSTN	POSTN	URGCP-MRPS24
CAF.Neuzillet22.POSTN	POSTN	PSMB2
CAF.Neuzillet22.POSTN	POSTN	PYCARD
CAF.Neuzillet22.POSTN	POSTN	CAPG
CAF.Neuzillet22.POSTN	POSTN	MRPS16
CAF.Neuzillet22.POSTN	POSTN	MRPS15
CAF.Neuzillet22.POSTN	POSTN	CYC1
CAF.Neuzillet22.POSTN	POSTN	TBRG4
CAF.Neuzillet22.POSTN	POSTN	CS
CAF.Neuzillet22.POSTN	POSTN	NUDT1
CAF.Neuzillet22.POSTN	POSTN	TRAP1
CAF.Neuzillet22.POSTN	POSTN	CCDC34
CAF.Neuzillet22.POSTN	POSTN	DUS1L
CAF.Neuzillet22.POSTN	POSTN	MTHFD1
CAF.Neuzillet22.POSTN	POSTN	NPRL3
CAF.Neuzillet22.POSTN	POSTN	CASP4
CAF.Neuzillet22.POSTN	POSTN	HSPA14
CAF.Neuzillet22.POSTN	POSTN	AC068533.4
CAF.Neuzillet22.POSTN	POSTN	POLA2
CAF.Neuzillet22.POSTN	POSTN	SGO2
CAF.Neuzillet22.POSTN	POSTN	APEX2
CAF.Neuzillet22.POSTN	POSTN	POLD1
CAF.Neuzillet22.POSTN	POSTN	EMILIN2
CAF.Neuzillet22.POSTN	POSTN	DDX60L
CAF.Neuzillet22.POSTN	POSTN	CENPN
CAF.Neuzillet22.POSTN	POSTN	RTN4IP1
CAF.Neuzillet22.POSTN	POSTN	RPL7P1
CAF.Neuzillet22.POSTN	POSTN	AL441963.1
CAF.Neuzillet22.POSTN	POSTN	ZC3H3
CAF.Neuzillet22.POSTN	POSTN	ZNF230
CAF.Neuzillet22.POSTN	POSTN	AL356274.2
CAF.Neuzillet22.POSTN	POSTN	SPP1
CAF.Neuzillet22.POSTN	POSTN	ZNF543
CAF.Neuzillet22.POSTN	POSTN	PRMT3
CAF.Neuzillet22.POSTN	POSTN	AC094104.1
CAF.Neuzillet22.POSTN	POSTN	VAX2
CAF.Neuzillet22.POSTN	POSTN	SLC37A2
CAF.Neuzillet22.POSTN	POSTN	MIR155HG
CAF.Neuzillet22.POSTN	POSTN	CXCL5
CAF.Neuzillet22.MYH11	MYH11	SC5D
CAF.Neuzillet22.MYH11	MYH11	HMCN1
CAF.Neuzillet22.MYH11	MYH11	ALDH5A1
CAF.Neuzillet22.MYH11	MYH11	TMEM178B
CAF.Neuzillet22.MYH11	MYH11	NADK2
CAF.Neuzillet22.MYH11	MYH11	SLC26A2
