signature_id	signature_name	gene
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TOP2A
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2C
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HMGB2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	NUSAP1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPF
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNB1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TPX2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKS2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	BIRC5
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PRC1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PTTG1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KPNA2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	MKI67
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDC20
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDK1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNB2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDKN3
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	SMC4
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	NUF2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ARL6IP1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKAP2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ASPM
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PLK1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKS1B
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNA2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	AURKA
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	MAD2L1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	GTSE1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HMMR
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2T
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPE
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPA
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF20B
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	AURKB
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDCA3
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDCA8
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2S
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KNSTRN
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF2C
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PBK
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TUBA1B
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	DLGAP5
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TACC3
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	STMN1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	DEPDC1
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ECT2
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPW
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ZWINT
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HIST1H4C
CCCA.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF23
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	PCNA
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RRM2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	FEN1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	GINS2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	TYMS
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM3
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	GMNN
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HIST1H4C
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CLSPN
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ATAD2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	TK1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	KIAA0101
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DUT
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HELLS
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM7
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	UBE2T
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM4
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CENPU
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DHFR
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ZWINT
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ASF1B
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM5
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DNAJC9
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RFC4
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HMGB2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CDC6
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RRM1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ORC6
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CDK1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RAD51AP1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RNASEH2A
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CHAF1A
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CENPK
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CDCA5
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	SLBP
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM6
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	TMEM106C
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CENPM
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MYBL2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	E2F1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	USP1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DNMT1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	PKMYT1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MAD2L1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	PSMC3IP
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CDCA4
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RFC2
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CDC45
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	UHRF1
CCCA.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM2
CCCA.Gavish23.MP3.Cell.Cylce.HMG.rich	MP3.Cell.Cylce.HMG.rich	STMN1
