signature_id	signature_name	gene
CCK.Sia13.PROLIFGenes	PROLIFGenes	ZFP36L1
CCK.Sia13.PROLIFGenes	PROLIFGenes	CRY1
CCK.Sia13.PROLIFGenes	PROLIFGenes	FAM120A
CCK.Sia13.PROLIFGenes	PROLIFGenes	NSUN2
CCK.Sia13.PROLIFGenes	PROLIFGenes	DDX17
CCK.Sia13.PROLIFGenes	PROLIFGenes	C12ORF47
CCK.Sia13.PROLIFGenes	PROLIFGenes	PCBP2
CCK.Sia13.PROLIFGenes	PROLIFGenes	RPS13
CCK.Sia13.PROLIFGenes	PROLIFGenes	YIPF3
CCK.Sia13.PROLIFGenes	PROLIFGenes	FERMT2
CCK.Sia13.PROLIFGenes	PROLIFGenes	MRLC2
CCK.Sia13.PROLIFGenes	PROLIFGenes	SNRPG
CCK.Sia13.PROLIFGenes	PROLIFGenes	SNRK
CCK.Sia13.PROLIFGenes	PROLIFGenes	USP8
CCK.Sia13.PROLIFGenes	PROLIFGenes	NACA
CCK.Sia13.PROLIFGenes	PROLIFGenes	RPL36AL
CCK.Sia13.PROLIFGenes	PROLIFGenes	MRCL3
CCK.Sia13.PROLIFGenes	PROLIFGenes	HSPB1
CCK.Sia13.PROLIFGenes	PROLIFGenes	ITGB1
CCK.Sia13.PROLIFGenes	PROLIFGenes	GNS
CCK.Sia13.PROLIFGenes	PROLIFGenes	HCFC1
CCK.Sia13.PROLIFGenes	PROLIFGenes	ZNF622
CCK.Sia13.PROLIFGenes	PROLIFGenes	SSBP1
CCK.Sia13.PROLIFGenes	PROLIFGenes	PSMC5
CCK.Sia13.PROLIFGenes	PROLIFGenes	TWF1
CCK.Sia13.PROLIFGenes	PROLIFGenes	TSN
CCK.Sia13.PROLIFGenes	PROLIFGenes	CEBPZ
CCK.Sia13.PROLIFGenes	PROLIFGenes	HEBP2
CCK.Sia13.PROLIFGenes	PROLIFGenes	SBDS
CCK.Sia13.PROLIFGenes	PROLIFGenes	UBXN4
CCK.Sia13.PROLIFGenes	PROLIFGenes	MYH10
CCK.Sia13.PROLIFGenes	PROLIFGenes	CCNK
CCK.Sia13.PROLIFGenes	PROLIFGenes	C16ORF61
CCK.Sia13.PROLIFGenes	PROLIFGenes	KPNB1
CCK.Sia13.PROLIFGenes	PROLIFGenes	TLK1
CCK.Sia13.PROLIFGenes	PROLIFGenes	ITGAV
CCK.Sia13.PROLIFGenes	PROLIFGenes	DDB1
CCK.Sia13.PROLIFGenes	PROLIFGenes	PPP6C
CCK.Sia13.PROLIFGenes	PROLIFGenes	RBM14
CCK.Sia13.PROLIFGenes	PROLIFGenes	C17ORF61
CCK.Sia13.PROLIFGenes	PROLIFGenes	SFRS6
CCK.Sia13.PROLIFGenes	PROLIFGenes	NUDT3
CCK.Sia13.PROLIFGenes	PROLIFGenes	WDFY1
CCK.Sia13.PROLIFGenes	PROLIFGenes	DARS
CCK.Sia13.PROLIFGenes	PROLIFGenes	TCEAL8
CCK.Sia13.PROLIFGenes	PROLIFGenes	MRPL22
CCK.Sia13.PROLIFGenes	PROLIFGenes	PGAM4
CCK.Sia13.PROLIFGenes	PROLIFGenes	WSB2
CCK.Sia13.PROLIFGenes	PROLIFGenes	UBE3C
CCK.Sia13.PROLIFGenes	PROLIFGenes	PSMA6
CCK.Sia13.PROLIFGenes	PROLIFGenes	KIAA1191
CCK.Sia13.PROLIFGenes	PROLIFGenes	DIMT1L
CCK.Sia13.PROLIFGenes	PROLIFGenes	TLN1
CCK.Sia13.PROLIFGenes	PROLIFGenes	NUFIP2
CCK.Sia13.PROLIFGenes	PROLIFGenes	STK3
CCK.Sia13.PROLIFGenes	PROLIFGenes	NXT2
CCK.Sia13.PROLIFGenes	PROLIFGenes	PPIB
CCK.Sia13.PROLIFGenes	PROLIFGenes	FAM14A
CCK.Sia13.PROLIFGenes	PROLIFGenes	ETS1
CCK.Sia13.PROLIFGenes	PROLIFGenes	SCAMP1
CCK.Sia13.PROLIFGenes	PROLIFGenes	CRSP9
CCK.Sia13.PROLIFGenes	PROLIFGenes	SOX4
