signature_id	signature_name	gene
CCK_STIM.Serrano23.Desert-like	Desert-like	RBM6
CCK_STIM.Serrano23.Desert-like	Desert-like	FAM156A
CCK_STIM.Serrano23.Desert-like	Desert-like	PNISR
CCK_STIM.Serrano23.Desert-like	Desert-like	LOC613037
CCK_STIM.Serrano23.Desert-like	Desert-like	FAM156B
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA7
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA8
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA1
CCK_STIM.Serrano23.Desert-like	Desert-like	CDK5RAP3
CCK_STIM.Serrano23.Desert-like	Desert-like	AHSA2
CCK_STIM.Serrano23.Desert-like	Desert-like	HSF4
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPB6
CCK_STIM.Serrano23.Desert-like	Desert-like	RBM25
CCK_STIM.Serrano23.Desert-like	Desert-like	AGAP6
CCK_STIM.Serrano23.Desert-like	Desert-like	ZNF276
CCK_STIM.Serrano23.Desert-like	Desert-like	PILRB
CCK_STIM.Serrano23.Desert-like	Desert-like	TTLL3
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA5
CCK_STIM.Serrano23.Desert-like	Desert-like	AGAP4
CCK_STIM.Serrano23.Desert-like	Desert-like	PLA2G4B
CCK_STIM.Serrano23.Desert-like	Desert-like	CCDC14
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA2
CCK_STIM.Serrano23.Desert-like	Desert-like	FAM193B
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPA3
CCK_STIM.Serrano23.Desert-like	Desert-like	ZDHHC11
CCK_STIM.Serrano23.Desert-like	Desert-like	AFG3L1P
CCK_STIM.Serrano23.Desert-like	Desert-like	WASH3P
CCK_STIM.Serrano23.Desert-like	Desert-like	ENGASE
CCK_STIM.Serrano23.Desert-like	Desert-like	EMILIN3
CCK_STIM.Serrano23.Desert-like	Desert-like	D2HGDH
CCK_STIM.Serrano23.Desert-like	Desert-like	TUBGCP6
CCK_STIM.Serrano23.Desert-like	Desert-like	MIR4750
CCK_STIM.Serrano23.Desert-like	Desert-like	CCNL2
CCK_STIM.Serrano23.Desert-like	Desert-like	ASMTL-AS1
CCK_STIM.Serrano23.Desert-like	Desert-like	MAPK8IP3
CCK_STIM.Serrano23.Desert-like	Desert-like	CROCC
CCK_STIM.Serrano23.Desert-like	Desert-like	NPIPB5
CCK_STIM.Serrano23.Desert-like	Desert-like	LINC01125
CCK_STIM.Serrano23.Desert-like	Desert-like	CRYGS
