signature_id	signature_name	gene
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LIMCH1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	A2M
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MYH10
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	ADH1B
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MACF1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SCN7A
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	FMO2
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	DPT
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	INMT
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	PTGDS
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	C7
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MFAP4
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	DST
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MGP
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	GSN
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	FBLN1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LTBP2
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	GPC3
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SPARCL1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	PRELP
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SEPP1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LTBP4
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	AC090498.1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LAMB1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	RGCC
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LUM
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	TGM2
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	ALDH1A1
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	APOD
FibroAtlas.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	PLEKHH2
