signature_id	signature_name	gene
GASTRIC.Ma21.Chief	Chief	GIF
GASTRIC.Ma21.Chief	Chief	NUPR1
GASTRIC.Ma21.Chief	Chief	TRY4
GASTRIC.Ma21.Chief	Chief	FURIN
GASTRIC.Ma21.Chief	Chief	TMED6
GASTRIC.Ma21.Chief	Chief	PNLIPRP2
GASTRIC.Ma21.Chief	Chief	TRY10
GASTRIC.Ma21.Chief	Chief	GM12888
GASTRIC.Ma21.Delta	Delta	PCSK1N
GASTRIC.Ma21.Delta	Delta	PCSK2
GASTRIC.Ma21.Delta	Delta	CEACAM10
GASTRIC.Ma21.Delta	Delta	IAPP
GASTRIC.Ma21.Delta	Delta	SCGN
GASTRIC.Ma21.Delta	Delta	HHEX
GASTRIC.Ma21.Delta	Delta	NEUROD1
GASTRIC.Ma21.Delta	Delta	SCG2
GASTRIC.Ma21.Delta	Delta	NEFM
GASTRIC.Ma21.Delta	Delta	SERPING1
GASTRIC.Ma21.Delta	Delta	CAMK2B
GASTRIC.Ma21.Delta	Delta	BAIAP3
GASTRIC.Ma21.Delta	Delta	GM30648
GASTRIC.Ma21.Delta	Delta	IGFBP7
GASTRIC.Ma21.Delta	Delta	SCG3
GASTRIC.Ma21.Delta	Delta	RESP18
GASTRIC.Ma21.Delta	Delta	CRYBA2
GASTRIC.Ma21.Delta	Delta	1500009L16RIK
GASTRIC.Ma21.Delta	Delta	SCG5
GASTRIC.Ma21.Delta	Delta	TM4SF4
GASTRIC.Ma21.Delta	Delta	PEG3
GASTRIC.Ma21.Delta	Delta	CHGB
GASTRIC.Ma21.Delta	Delta	SST
GASTRIC.Ma21.Delta	Delta	MAP1B
GASTRIC.Ma21.Delta	Delta	CHGA
GASTRIC.Ma21.Delta	Delta	CPE
GASTRIC.Ma21.Delta	Delta	ABCC8
GASTRIC.Ma21.Delta	Delta	MBOAT4
GASTRIC.Ma21.Delta	Delta	FAM183B
GASTRIC.Ma21.Delta	Delta	BAMBI
GASTRIC.Ma21.Delta	Delta	ST18
GASTRIC.Ma21.Delta	Delta	RBP4
GASTRIC.Ma21.Delta	Delta	CELF3
GASTRIC.Ma21.Delta	Delta	INSM1
GASTRIC.Ma21.Delta	Delta	CPLX2
GASTRIC.Ma21.Delta	Delta	BEX1
GASTRIC.Ma21.Delta	Delta	TUBA1A
GASTRIC.Ma21.Delta	Delta	GM11837
GASTRIC.Ma21.Delta	Delta	KCNK16
GASTRIC.Ma21.Delta	Delta	SMARCA1
GASTRIC.Ma21.Delta	Delta	PTPRN
GASTRIC.Ma21.Delta	Delta	LRP11
GASTRIC.Ma21.Delta	Delta	RAMP1
GASTRIC.Ma21.Delta	Delta	CLDN7
GASTRIC.Ma21.Delta	Delta	PNMAL2
GASTRIC.Ma21.Delta	Delta	GM1673
GASTRIC.Ma21.Delta	Delta	TRIM35
GASTRIC.Ma21.Delta	Delta	APLP1
GASTRIC.Ma21.Delta	Delta	ACOT7
GASTRIC.Ma21.Delta	Delta	MAP2
GASTRIC.Ma21.Delta	Delta	KLHDC8B
GASTRIC.Ma21.Delta	Delta	BEX2
GASTRIC.Ma21.Delta	Delta	MEG3
GASTRIC.Ma21.Delta	Delta	NR4A1
GASTRIC.Ma21.Delta	Delta	HMGN3
GASTRIC.Ma21.Delta	Delta	PIANP
GASTRIC.Ma21.Delta	Delta	GHRL
GASTRIC.Ma21.Delta	Delta	ISL1
GASTRIC.Ma21.Delta	Delta	GCH1
GASTRIC.Ma21.Delta	Delta	TMEM27
GASTRIC.Ma21.Delta	Delta	CAR8
GASTRIC.Ma21.Delta	Delta	LRPPRC
GASTRIC.Ma21.Delta	Delta	DUSP1
GASTRIC.Ma21.Delta	Delta	MAGEH1
GASTRIC.Ma21.Delta	Delta	EGR1
GASTRIC.Ma21.Delta	Delta	FOS
GASTRIC.Ma21.Delta	Delta	AC149090.1
GASTRIC.Ma21.Delta	Delta	MARCKSL1
GASTRIC.Ma21.Delta	Delta	FOSB
GASTRIC.Ma21.Delta	Delta	PAM
GASTRIC.Ma21.Delta	Delta	TMEM181A
GASTRIC.Ma21.Delta	Delta	CDKN1A
