signature_id	signature_name	gene
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD28
IMMU.Rodrigues18.ICKrelated	ICKrelated	ICOSLG
IMMU.Rodrigues18.ICKrelated	ICKrelated	ICOS
IMMU.Rodrigues18.ICKrelated	ICKrelated	TNFRSF9
IMMU.Rodrigues18.ICKrelated	ICKrelated	TNFSF9
IMMU.Rodrigues18.ICKrelated	ICKrelated	TNFSF4
IMMU.Rodrigues18.ICKrelated	ICKrelated	TNFRSF4
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD70
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD27
IMMU.Rodrigues18.ICKrelated	ICKrelated	CTLA4
IMMU.Rodrigues18.ICKrelated	ICKrelated	PDCD1
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD274
IMMU.Rodrigues18.ICKrelated	ICKrelated	PDCD1LG2
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD47
IMMU.Rodrigues18.ICKrelated	ICKrelated	HAVCR2
IMMU.Rodrigues18.ICKrelated	ICKrelated	LGALS9
IMMU.Rodrigues18.ICKrelated	ICKrelated	ADORA2A
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD200
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD200R1
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD276
IMMU.Rodrigues18.ICKrelated	ICKrelated	VTCN1
IMMU.Rodrigues18.ICKrelated	ICKrelated	TNFSF14
IMMU.Rodrigues18.ICKrelated	ICKrelated	BTLA
IMMU.Rodrigues18.ICKrelated	ICKrelated	TIGIT
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD8A
IMMU.Rodrigues18.ICKrelated	ICKrelated	PRF1
IMMU.Rodrigues18.ICKrelated	ICKrelated	IL10
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD80
IMMU.Rodrigues18.ICKrelated	ICKrelated	GZMA
IMMU.Rodrigues18.ICKrelated	ICKrelated	CD86
IMMU.Rodrigues18.ICKrelated	ICKrelated	IFNG
IMMU.Rodrigues18.ICKrelated	ICKrelated	LAG3
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	VCAM1
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	PIK3CG
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	CXCL12
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	ITGB2
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	CD36
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	JAK2
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	CD28
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	ATM
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	SPN
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	ATG7
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	TANK
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	MAP2K1
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	CLEC6A
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	LAIR2
IMMU.Rodrigues18.GeneralImmu	GeneralImmu	CYBB
