signature_id	signature_name	gene
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	BANK1
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	CD19
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	CD22
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	CD79A
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	CR2
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	FCRL2
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	IGKC
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	MS4A1
IMMU_MCPcounter.Becht16.B.lineage	B.lineage	PAX5
IMMU_MCPcounter.Becht16.CD8Tcells	CD8Tcells	CD8B
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	CD8A
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	EOMES
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	FGFBP2
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	GNLY
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	KLRC3
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	KLRC4
IMMU_MCPcounter.Becht16.Cytotox.lymph	Cytotox.lymph	KLRD1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	ACVRL1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	APLN
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	BCL6B
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	BMP6
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	BMX
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	CDH5
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	CLEC14A
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	CXORF36
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	EDN1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	ELTD1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	EMCN
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	ESAM
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	ESM1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	FAM124B
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	HECW2
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	HHIP
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	KDR
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	MMRN1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	MMRN2
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	MYCT1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	PALMD
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	PEAR1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	PGF
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	PLXNA2
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	PTPRB
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	ROBO4
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	SDPR
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	SHANK3
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	SHE
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	TEK
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	TIE1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	VEPH1
IMMU_MCPcounter.Becht16.Endothelial	Endothelial	VWF
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	COL1A1
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	COL3A1
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	COL6A1
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	COL6A2
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	DCN
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	GREM1
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	PAMR1
IMMU_MCPcounter.Becht16.Fibroblasts	Fibroblasts	TAGLN
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	ADAP2
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	CSF1R
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	FPR3
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	KYNU
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	PLA2G7
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	RASSF4
IMMU_MCPcounter.Becht16.Mono.lineage	Mono.lineage	TFEC
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1A
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1B
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1E
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	CLEC10A
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	CLIC2
IMMU_MCPcounter.Becht16.Myeloid.dendritic	Myeloid.dendritic	WFDC21P
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	CA4
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	CEACAM3
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	CXCR1
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	CXCR2
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	CYP4F3
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	FCGR3B
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	HAL
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	KCNJ15
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	MEGF9
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	SLC25A37
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	STEAP4
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	TECPR2
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	TLE3
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	TNFRSF10C
IMMU_MCPcounter.Becht16.Neutrophils	Neutrophils	VNN3
IMMU_MCPcounter.Becht16.NK	NK	CD160
IMMU_MCPcounter.Becht16.NK	NK	KIR2DL1
IMMU_MCPcounter.Becht16.NK	NK	KIR2DL3
IMMU_MCPcounter.Becht16.NK	NK	KIR2DL4
IMMU_MCPcounter.Becht16.NK	NK	KIR3DL1
IMMU_MCPcounter.Becht16.NK	NK	KIR3DS1
IMMU_MCPcounter.Becht16.NK	NK	NCR1
IMMU_MCPcounter.Becht16.NK	NK	PTGDR
IMMU_MCPcounter.Becht16.NK	NK	SH2D1B
IMMU_MCPcounter.Becht16.Tcells	Tcells	CD28
IMMU_MCPcounter.Becht16.Tcells	Tcells	CD3D
IMMU_MCPcounter.Becht16.Tcells	Tcells	CD3G
IMMU_MCPcounter.Becht16.Tcells	Tcells	CD5
IMMU_MCPcounter.Becht16.Tcells	Tcells	CD6
IMMU_MCPcounter.Becht16.Tcells	Tcells	CHRM3-AS2
IMMU_MCPcounter.Becht16.Tcells	Tcells	CTLA4
IMMU_MCPcounter.Becht16.Tcells	Tcells	FLT3LG
IMMU_MCPcounter.Becht16.Tcells	Tcells	ICOS
IMMU_MCPcounter.Becht16.Tcells	Tcells	MAL
IMMU_MCPcounter.Becht16.Tcells	Tcells	MGC40069
IMMU_MCPcounter.Becht16.Tcells	Tcells	PBX4
IMMU_MCPcounter.Becht16.Tcells	Tcells	SIRPG
IMMU_MCPcounter.Becht16.Tcells	Tcells	THEMIS
IMMU_MCPcounter.Becht16.Tcells	Tcells	TNFRSF25
IMMU_MCPcounter.Becht16.Tcells	Tcells	TRAT1
