signature_id	signature_name	gene
IMMU_Neutro.Wu24.ARG1+	ARG1+	HBA1
IMMU_Neutro.Wu24.ARG1+	ARG1+	HBB
IMMU_Neutro.Wu24.ARG1+	ARG1+	HBA2
IMMU_Neutro.Wu24.ARG1+	ARG1+	HBD
IMMU_Neutro.Wu24.ARG1+	ARG1+	H3-3A
IMMU_Neutro.Wu24.ARG1+	ARG1+	H3-3B
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC005747-1
IMMU_Neutro.Wu24.ARG1+	ARG1+	AL442635-1
IMMU_Neutro.Wu24.ARG1+	ARG1+	CD163
IMMU_Neutro.Wu24.ARG1+	ARG1+	BLVRB
IMMU_Neutro.Wu24.ARG1+	ARG1+	OLAH
IMMU_Neutro.Wu24.ARG1+	ARG1+	H2AZ1
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC132872-4
IMMU_Neutro.Wu24.ARG1+	ARG1+	H2AC6
IMMU_Neutro.Wu24.ARG1+	ARG1+	MTND5P32
IMMU_Neutro.Wu24.ARG1+	ARG1+	RN7SL288P
IMMU_Neutro.Wu24.ARG1+	ARG1+	NECAB1
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC093012-1
IMMU_Neutro.Wu24.ARG1+	ARG1+	RN7SL368P
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC007278-1
IMMU_Neutro.Wu24.ARG1+	ARG1+	NEAT1
IMMU_Neutro.Wu24.ARG1+	ARG1+	TDRD9
IMMU_Neutro.Wu24.ARG1+	ARG1+	DAAM2
IMMU_Neutro.Wu24.ARG1+	ARG1+	GYG1
IMMU_Neutro.Wu24.ARG1+	ARG1+	ZNF608
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC007278-2
IMMU_Neutro.Wu24.ARG1+	ARG1+	RESF1
IMMU_Neutro.Wu24.ARG1+	ARG1+	SYNE1
IMMU_Neutro.Wu24.ARG1+	ARG1+	VNN1
IMMU_Neutro.Wu24.ARG1+	ARG1+	CDK5RAP2
IMMU_Neutro.Wu24.ARG1+	ARG1+	CERT1
IMMU_Neutro.Wu24.ARG1+	ARG1+	AL627309-5
IMMU_Neutro.Wu24.ARG1+	ARG1+	NFE2
IMMU_Neutro.Wu24.ARG1+	ARG1+	NCF1C
IMMU_Neutro.Wu24.ARG1+	ARG1+	KLF9
IMMU_Neutro.Wu24.ARG1+	ARG1+	ARG1
IMMU_Neutro.Wu24.ARG1+	ARG1+	ZDHHC20
IMMU_Neutro.Wu24.ARG1+	ARG1+	IRF2BPL
IMMU_Neutro.Wu24.ARG1+	ARG1+	ALPL
IMMU_Neutro.Wu24.ARG1+	ARG1+	CST7
IMMU_Neutro.Wu24.ARG1+	ARG1+	TSPO
IMMU_Neutro.Wu24.ARG1+	ARG1+	NAIP
IMMU_Neutro.Wu24.ARG1+	ARG1+	MAPK14
IMMU_Neutro.Wu24.ARG1+	ARG1+	FLOT2
IMMU_Neutro.Wu24.ARG1+	ARG1+	F5
IMMU_Neutro.Wu24.ARG1+	ARG1+	CSGALNACT1
IMMU_Neutro.Wu24.ARG1+	ARG1+	IGHA1
IMMU_Neutro.Wu24.ARG1+	ARG1+	FUT7
IMMU_Neutro.Wu24.ARG1+	ARG1+	S1PR4
IMMU_Neutro.Wu24.ARG1+	ARG1+	AGFG1
IMMU_Neutro.Wu24.ARG1+	ARG1+	SLC8A1
IMMU_Neutro.Wu24.ARG1+	ARG1+	EMB
IMMU_Neutro.Wu24.ARG1+	ARG1+	CFD
IMMU_Neutro.Wu24.ARG1+	ARG1+	KREMEN1
IMMU_Neutro.Wu24.ARG1+	ARG1+	PYGL
IMMU_Neutro.Wu24.ARG1+	ARG1+	METTL9
IMMU_Neutro.Wu24.ARG1+	ARG1+	ACAP1
IMMU_Neutro.Wu24.ARG1+	ARG1+	FKBP5
IMMU_Neutro.Wu24.ARG1+	ARG1+	IL18R1
IMMU_Neutro.Wu24.ARG1+	ARG1+	IGLC2
IMMU_Neutro.Wu24.ARG1+	ARG1+	RNF10
IMMU_Neutro.Wu24.ARG1+	ARG1+	SLC40A1
IMMU_Neutro.Wu24.ARG1+	ARG1+	SULT1B1
IMMU_Neutro.Wu24.ARG1+	ARG1+	DYSF
IMMU_Neutro.Wu24.ARG1+	ARG1+	ANXA3
IMMU_Neutro.Wu24.ARG1+	ARG1+	SNX3
IMMU_Neutro.Wu24.ARG1+	ARG1+	AC092746-1
IMMU_Neutro.Wu24.ARG1+	ARG1+	STXBP2
IMMU_Neutro.Wu24.ARG1+	ARG1+	IL17RA
IMMU_Neutro.Wu24.ARG1+	ARG1+	GADD45A
IMMU_Neutro.Wu24.ARG1+	ARG1+	TPST2
IMMU_Neutro.Wu24.ARG1+	ARG1+	CCNJL
IMMU_Neutro.Wu24.ARG1+	ARG1+	RBMS1
IMMU_Neutro.Wu24.ARG1+	ARG1+	IL1R2
IMMU_Neutro.Wu24.ARG1+	ARG1+	MLXIP
IMMU_Neutro.Wu24.ARG1+	ARG1+	PDZD8
IMMU_Neutro.Wu24.ARG1+	ARG1+	FAR1
IMMU_Neutro.Wu24.ARG1+	ARG1+	IL18RAP
IMMU_Neutro.Wu24.ARG1+	ARG1+	RIPOR2
IMMU_Neutro.Wu24.ARG1+	ARG1+	PHF21A
IMMU_Neutro.Wu24.ARG1+	ARG1+	CAP1
IMMU_Neutro.Wu24.ARG1+	ARG1+	RGS18
IMMU_Neutro.Wu24.ARG1+	ARG1+	DHRS13
IMMU_Neutro.Wu24.ARG1+	ARG1+	PCNX1
IMMU_Neutro.Wu24.ARG1+	ARG1+	RAD23B
IMMU_Neutro.Wu24.ARG1+	ARG1+	ATP5F1E
IMMU_Neutro.Wu24.ARG1+	ARG1+	SLC25A37
IMMU_Neutro.Wu24.ARG1+	ARG1+	JAK3
IMMU_Neutro.Wu24.ARG1+	ARG1+	CDKN2D
IMMU_Neutro.Wu24.ARG1+	ARG1+	MGAM
IMMU_Neutro.Wu24.ARG1+	ARG1+	ALOX5
IMMU_Neutro.Wu24.ARG1+	ARG1+	SELPLG
IMMU_Neutro.Wu24.ARG1+	ARG1+	LINC01127
IMMU_Neutro.Wu24.ARG1+	ARG1+	ENTPD1
IMMU_Neutro.Wu24.ARG1+	ARG1+	KIAA0825
