signature_id	signature_name	gene
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA6
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA1A
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA1B
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJB1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPH1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSP90AA1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPE1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPB1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	BAG3
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPD1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJA1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSP90AB1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	JUN
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	NR4A1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA8
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	FOSB
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	FOS
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DUSP1
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJB4
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJA4
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	CD3D
IMMU_Tcell.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	CD3E
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	ISG15
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI6
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	MX1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI44L
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFIT3
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFIT1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	RSAD2
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	OAS1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI27
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI44
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	XAF1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	MX2
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	STAT1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	OAS3
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	EPSTI1
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	SAMD9L
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	HERC5
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	EIF2AK2
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFIT2
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	LY6E
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	CD3D
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	CD3E
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	CD8A
IMMU_Tcell.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	CD8B
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	GZMK
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	GPR183
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	FGFBP2
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	GNLY
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	GZMH
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CX3CR1
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	FCGR3A
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	PLEK
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	KLRD1
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	HOPX
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	KLRG1
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	NKG7
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	ZEB2
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	TBX21
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	PRF1
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD300A
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD244
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	EOMES
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	GZMM
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	SEMA4A
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD3D
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD3E
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD8A
IMMU_Tcell.Chu23.CD8.Teff	CD8 Teff	CD8B
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	LEF1
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	SELL
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	TCF7
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	CCR7
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	FHIT
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	KLF2
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	CD3D
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	CD3E
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	CD8A
IMMU_Tcell.Chu23.CD8.Tn	CD8 Tn	CD8B
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	FOXP3
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	IL2RA
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	TNFRSF4
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	TIGIT
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	TNFRSF18
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	BATF
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	CTLA4
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	RTKN2
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	TNFRSF9
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	IKZF2
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	TNFRSF1B
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	LAYN
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	CD27
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	GBP5
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	IL2RB
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	IL1R2
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	DUSP4
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	GBP2
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	ICOS
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	ENTPD1
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	CD4
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	CD3D
IMMU_Tcell.Chu23.CD4.c1.Treg	CD4 c1 Treg	CD3E
