signature_id	signature_name	gene
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	FCER1A
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CLEC10A
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD1C
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD1E
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQB1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DPB1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQA1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	GPR183
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRB5
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRB1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PPA1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	DUSP2
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PKIB
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD74
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRA
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CST7
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LGALS2
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DPA1
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CXCR4
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CST3
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQB2
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL4
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	IL1B
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD83
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	EEF1B2
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPLP0
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL5
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LMNA
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	NDRG2
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL10A
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS7
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS5
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	EIF3L
IMMU_monoMac.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL3
