signature_id	signature_name	gene
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TSPAN8
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	EPCAM
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GPX2
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	PPARG
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT18
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	AGR3
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	HMGA1
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	OLFM4
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LGALS4
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TINAGL1
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	MLEC
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SERPINB1
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT8
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ELF3
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ANXA4
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CDX2
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ITGA6
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GPRC5A
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SERPINB6
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LGALS3
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	FABP1
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CLDN4
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SOX9
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LYZ
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GMDS
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TESC
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CLDN3
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CALML4
Organoid_Atlas.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT19
