signature_id	signature_name	gene
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	PDPN
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	KANK4
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	VCAM1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	COL11A1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	ECM1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	METTL11B
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	ENAH
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	KIF26B
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	KCNMA1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	STAMBPL1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	FGFR2
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	HTRA1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	IGF2
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	DCHS1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	MPPED2
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	DEPDC7
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	TSPAN18
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	MRGPRF
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	FAT3
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	CADM1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	CLMP
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	BCAT1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	ITGA5
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	HSD17B6
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	MSI1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	GJB2
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	TNFRSF19
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	DIAPH3
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	MMP14
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	APBA2
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	GREM1
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	ADAMTS7
PDAC.Grunwald21.ReactiveStroma	ReactiveStroma	CEMIP
