signature_id	signature_name	gene
PDAC.Puleo18.Exocrine	Exocrine	CPB1
PDAC.Puleo18.Exocrine	Exocrine	CELA3A
PDAC.Puleo18.Exocrine	Exocrine	CELA3B
PDAC.Puleo18.Exocrine	Exocrine	PLA2G1B
PDAC.Puleo18.Exocrine	Exocrine	CEL
PDAC.Puleo18.Exocrine	Exocrine	REG1B
PDAC.Puleo18.Exocrine	Exocrine	PNLIP
PDAC.Puleo18.Exocrine	Exocrine	CPA1
PDAC.Puleo18.Exocrine	Exocrine	CTRB2
PDAC.Puleo18.Exocrine	Exocrine	CTRB1
PDAC.Puleo18.Exocrine	Exocrine	CLPS
PDAC.Puleo18.Exocrine	Exocrine	PRSS1
PDAC.Puleo18.Exocrine	Exocrine	PRSS2
PDAC.Puleo18.Exocrine	Exocrine	PRSS3
PDAC.Puleo18.Exocrine	Exocrine	PRSS3P2
PDAC.Puleo18.Exocrine	Exocrine	CPA2
PDAC.Puleo18.Exocrine	Exocrine	REG1A
PDAC.Puleo18.Exocrine	Exocrine	PRSS3P1
PDAC.Puleo18.Exocrine	Exocrine	AMY1A
PDAC.Puleo18.Exocrine	Exocrine	AMY1B
PDAC.Puleo18.Exocrine	Exocrine	AMY1C
PDAC.Puleo18.Exocrine	Exocrine	AMY2A
PDAC.Puleo18.Exocrine	Exocrine	AMY2B
PDAC.Puleo18.Exocrine	Exocrine	AMYP1
PDAC.Puleo18.Exocrine	Exocrine	REG3A
PDAC.Puleo18.Exocrine	Exocrine	GP2
PDAC.Puleo18.Exocrine	Exocrine	CTRC
PDAC.Puleo18.Exocrine	Exocrine	PNLIPRP1
PDAC.Puleo18.Exocrine	Exocrine	SYCN
PDAC.Puleo18.Exocrine	Exocrine	CUZD1
PDAC.Puleo18.Exocrine	Exocrine	FAM24B-CUZD1
PDAC.Puleo18.Exocrine	Exocrine	PNLIPRP2
PDAC.Puleo18.Exocrine	Exocrine	CELA2A
PDAC.Puleo18.Exocrine	Exocrine	CELA2B
PDAC.Puleo18.Exocrine	Exocrine	REG3G
PDAC.Puleo18.Exocrine	Exocrine	CTRL
PDAC.Puleo18.Exocrine	Exocrine	KLK1
PDAC.Puleo18.Exocrine	Exocrine	ERP27
PDAC.Puleo18.Exocrine	Exocrine	SPINK1
PDAC.Puleo18.Exocrine	Exocrine	FXYD2
PDAC.Puleo18.Exocrine	Exocrine	FXYD6
PDAC.Puleo18.Exocrine	Exocrine	FXYD6-FXYD2
PDAC.Puleo18.Exocrine	Exocrine	RBPJL
PDAC.Puleo18.Exocrine	Exocrine	GATM
PDAC.Puleo18.Exocrine	Exocrine	CRP
PDAC.Puleo18.Exocrine	Exocrine	SLC4A4
PDAC.Puleo18.Exocrine	Exocrine	PDIA2
PDAC.Puleo18.Exocrine	Exocrine	MT1G
PDAC.Puleo18.Exocrine	Exocrine	CFTR
PDAC.Puleo18.Exocrine	Exocrine	SERPINA3
PDAC.Puleo18.Exocrine	Exocrine	REG1P
