signature_id	signature_name	gene
PDAC_PDXph1.Nicolle17.classical	classical	LGMN
PDAC_PDXph1.Nicolle17.classical	classical	TSPO2
PDAC_PDXph1.Nicolle17.classical	classical	KALRN
PDAC_PDXph1.Nicolle17.classical	classical	PRR15L
PDAC_PDXph1.Nicolle17.classical	classical	CADPS
PDAC_PDXph1.Nicolle17.classical	classical	SMPD3
PDAC_PDXph1.Nicolle17.classical	classical	CTSE
PDAC_PDXph1.Nicolle17.classical	classical	SLC6A20
PDAC_PDXph1.Nicolle17.classical	classical	CES2
PDAC_PDXph1.Nicolle17.classical	classical	REG4
PDAC_PDXph1.Nicolle17.classical	classical	PPFIBP2
PDAC_PDXph1.Nicolle17.classical	classical	CAPN5
PDAC_PDXph1.Nicolle17.classical	classical	GATA6
PDAC_PDXph1.Nicolle17.classical	classical	CREB3L1
PDAC_PDXph1.Nicolle17.classical	classical	OSBPL7
PDAC_PDXph1.Nicolle17.classical	classical	KCNE3
PDAC_PDXph1.Nicolle17.classical	classical	LYZ
PDAC_PDXph1.Nicolle17.classical	classical	FAM83E
PDAC_PDXph1.Nicolle17.classical	classical	CYSTM1
PDAC_PDXph1.Nicolle17.classical	classical	ANXA10
PDAC_PDXph1.Nicolle17.classical	classical	HSD17B2
PDAC_PDXph1.Nicolle17.classical	classical	FAM109A
PDAC_PDXph1.Nicolle17.classical	classical	NR1I2
PDAC_PDXph1.Nicolle17.classical	classical	TM9SF3
PDAC_PDXph1.Nicolle17.classical	classical	ALDH2
PDAC_PDXph1.Nicolle17.classical	classical	BCL11B
PDAC_PDXph1.Nicolle17.classical	classical	ZBTB18
PDAC_PDXph1.Nicolle17.classical	classical	KCNK10
PDAC_PDXph1.Nicolle17.classical	classical	IQGAP2
PDAC_PDXph1.Nicolle17.classical	classical	CCR9
PDAC_PDXph1.Nicolle17.classical	classical	SEMG1
PDAC_PDXph1.Nicolle17.classical	classical	PAQR8
PDAC_PDXph1.Nicolle17.classical	classical	CCRL2
PDAC_PDXph1.Nicolle17.classical	classical	ACPP
PDAC_PDXph1.Nicolle17.classical	classical	CA3
PDAC_PDXph1.Nicolle17.classical	classical	PDX1
PDAC_PDXph1.Nicolle17.classical	classical	FAM221A
PDAC_PDXph1.Nicolle17.classical	classical	ZFPM1
PDAC_PDXph1.Nicolle17.classical	classical	AMN
PDAC_PDXph1.Nicolle17.classical	classical	TNFRSF11A
PDAC_PDXph1.Nicolle17.classical	classical	PKDCC
PDAC_PDXph1.Nicolle17.classical	classical	RNASE1
PDAC_PDXph1.Nicolle17.classical	classical	C2CD4B
PDAC_PDXph1.Nicolle17.classical	classical	UNC5CL
PDAC_PDXph1.Nicolle17.classical	classical	PLA2G10
PDAC_PDXph1.Nicolle17.classical	classical	LRRC66
PDAC_PDXph1.Nicolle17.classical	classical	HDHD3
PDAC_PDXph1.Nicolle17.classical	classical	RNASE4
PDAC_PDXph1.Nicolle17.classical	classical	PLEKHH1
PDAC_PDXph1.Nicolle17.classical	classical	AL163636.6
PDAC_PDXph1.Nicolle17.classical	classical	CRYL1
PDAC_PDXph1.Nicolle17.classical	classical	TPMT
PDAC_PDXph1.Nicolle17.classical	classical	ELF3
PDAC_PDXph1.Nicolle17.classical	classical	TSPAN3
