signature_id	signature_name	gene
SPEM.Bockerstett20.Chief1	Chief1	PGC
SPEM.Bockerstett20.Chief1	Chief1	GIF
SPEM.Bockerstett20.Chief2	Chief2	GIF
SPEM.Bockerstett20.Chief2	Chief2	PGC
SPEM.Bockerstett20.Endothelial	Endothelial	PECAM1
SPEM.Bockerstett20.Foveolar1	Foveolar1	TFF1
SPEM.Bockerstett20.Foveolar1	Foveolar1	MUC5AC
SPEM.Bockerstett20.Foveolar1	Foveolar1	IL33
SPEM.Bockerstett20.Foveolar2	Foveolar2	TFF1
SPEM.Bockerstett20.Foveolar2	Foveolar2	MUC5AC
SPEM.Bockerstett20.Macrophage	Macrophage	LYZ2
SPEM.Bockerstett20.Macrophage	Macrophage	CSF1R
SPEM.Bockerstett20.Macrophage	Macrophage	CD14
SPEM.Bockerstett20.Metaplasic	Metaplasic	PGA5
SPEM.Bockerstett20.Metaplasic	Metaplasic	MUC6
SPEM.Bockerstett20.Metaplasic	Metaplasic	PGC
SPEM.Bockerstett20.Metaplasic	Metaplasic	CLU
SPEM.Bockerstett20.Metaplasic	Metaplasic	SOX9
SPEM.Bockerstett20.Mucous.Neck1	Mucous Neck1	MUC6
SPEM.Bockerstett20.Mucous.Neck2	Mucous Neck2	MUC6
SPEM.Bockerstett20.Neuroendocrine	Neuroendocrine	CHGA
SPEM.Bockerstett20.Neuroendocrine	Neuroendocrine	CHGB
SPEM.Bockerstett20.Neuroendocrine	Neuroendocrine	HDC
SPEM.Bockerstett20.Neuroendocrine	Neuroendocrine	SST
SPEM.Bockerstett20.Parietal	Parietal	ATP4B
SPEM.Bockerstett20.Parietal	Parietal	ATP4A
SPEM.Bockerstett20.Proliftff2	Proliftff2	MKI67
SPEM.Bockerstett20.Proliftff2	Proliftff2	CDK1
SPEM.Bockerstett20.Proliftff2	Proliftff2	PCNA
SPEM.Bockerstett20.Proliftff2	Proliftff2	TFF2
SPEM.Bockerstett20.Smooth.muscle	Smooth muscle	ACTA2
SPEM.Bockerstett20.Smooth.muscle	Smooth muscle	MYL9
SPEM.Bockerstett20.Tcells-Bcells1	Tcells-Bcells1	PTPRC
SPEM.Bockerstett20.Tcells-Bcells1	Tcells-Bcells1	CD3E
SPEM.Bockerstett20.Tcells-Bcells1	Tcells-Bcells1	IGKC
SPEM.Bockerstett20.Tcells-Bcells2	Tcells-Bcells2	TRBC2
SPEM.Bockerstett20.Tcells-Bcells2	Tcells-Bcells2	CD3D
SPEM.Bockerstett20.Tcells-Bcells2	Tcells-Bcells2	PTPRC
SPEM.Bockerstett20.Tcells-Bcells2	Tcells-Bcells2	IGHM
