signature_id	signature_name	gene
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	PDPN
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	KANK4
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	VCAM1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	COL11A1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ECM1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	METTL11B
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ENAH
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	KIF26B
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	KCNMA1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	STAMBPL1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	FGFR2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	HTRA1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	IGF2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	DCHS1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MPPED2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	DEPDC7
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	TSPAN18
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MRGPRF
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	FAT3
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	CADM1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	CLMP
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	BCAT1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ITGA5
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	HSD17B6
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MSI1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	GJB2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	TNFRSF19
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	DIAPH3
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MMP14
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	APBA2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	GREM1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ADAMTS7
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	CEMIP
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MMP2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	CMTM4
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	VAT1L
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	WFDC1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	NXN
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	HS3ST3A1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	FAM171A2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	COLEC12
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	LAMA1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	COL5A3
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	MEIS3
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	PXDN
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	SDC1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ANTXR1
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ACTG2
Stroma.Grunwald21.ReactiveStroma	ReactiveStroma	ST3GAL5
