signature_id	signature_name	gene
CAF.Cords23.mCAF	mCAF	MMP11
CAF.Cords23.mCAF	mCAF	POSTN
CAF.Cords23.mCAF	mCAF	COL1A1
CAF.Cords23.mCAF	mCAF	COMP
CAF.Cords23.mCAF	mCAF	COL10A1
CAF.Cords23.mCAF	mCAF	COL11A1
CAF.Cords23.mCAF	mCAF	COL1A2
CAF.Cords23.mCAF	mCAF	CTHRC1
CAF.Cords23.mCAF	mCAF	COL3A1
CAF.Cords23.mCAF	mCAF	SFRP2
CAF.Cords23.mCAF	mCAF	ASPN
CAF.Cords23.mCAF	mCAF	FN1
CAF.Cords23.mCAF	mCAF	COL8A1
CAF.Cords23.mCAF	mCAF	COL12A1
CAF.Cords23.mCAF	mCAF	INHBA
CAF.Cords23.mCAF	mCAF	LUM
CAF.Cords23.mCAF	mCAF	VCAN
CAF.Cords23.mCAF	mCAF	SDC1
CAF.Cords23.mCAF	mCAF	COL5A2
CAF.Cords23.mCAF	mCAF	AEBP1
CAF.Cords23.mCAF	mCAF	SPARC
CAF.Cords23.mCAF	mCAF	THBS2
CAF.Cords23.mCAF	mCAF	NBL1
CAF.Cords23.mCAF	mCAF	SULF1
CAF.Cords23.mCAF	mCAF	COL5A1
CAF.Cords23.mCAF	mCAF	ITGBL1
CAF.Cords23.mCAF	mCAF	MXRA5
CAF.Cords23.mCAF	mCAF	GJB2
CAF.Cords23.mCAF	mCAF	CDH11
CAF.Cords23.mCAF	mCAF	RARRES2
CAF.Cords23.mCAF	mCAF	COL6A3
CAF.Cords23.mCAF	mCAF	LOXL1
CAF.Cords23.mCAF	mCAF	GALNT1
CAF.Cords23.mCAF	mCAF	MFAP2
CAF.Cords23.mCAF	mCAF	HTRA1
CAF.Cords23.mCAF	mCAF	FAP
CAF.Cords23.mCAF	mCAF	CTGF
CAF.Cords23.mCAF	mCAF	LRRC15
CAF.Cords23.mCAF	mCAF	PLAU
CAF.Cords23.mCAF	mCAF	CLEC11A
CAF.Cords23.mCAF	mCAF	FNDC1
CAF.Cords23.mCAF	mCAF	SULF2
CAF.Cords23.mCAF	mCAF	ADAM12
CAF.Cords23.mCAF	mCAF	CTSB
CAF.Cords23.mCAF	mCAF	RCN3
CAF.Cords23.mCAF	mCAF	ANTXR1
CAF.Cords23.mCAF	mCAF	GRP
CAF.Cords23.mCAF	mCAF	CTSK
CAF.Cords23.mCAF	mCAF	MDK
CAF.Cords23.mCAF	mCAF	NTM
CAF.Cords23.mCAF	mCAF	GXYLT2
CAF.Cords23.mCAF	mCAF	ISLR
CAF.Cords23.mCAF	mCAF	PPIC
CAF.Cords23.mCAF	mCAF	BGN
CAF.Cords23.mCAF	mCAF	CERCAM
CAF.Cords23.mCAF	mCAF	COPZ2
CAF.Cords23.mCAF	mCAF	PALLD
CAF.Cords23.mCAF	mCAF	PLXDC2
CAF.Cords23.mCAF	mCAF	COL6A1
CAF.Cords23.mCAF	mCAF	ITGA11
CAF.Cords23.mCAF	mCAF	DPYSL3
CAF.Cords23.mCAF	mCAF	CHPF
CAF.Cords23.mCAF	mCAF	S100A16
CAF.Cords23.mCAF	mCAF	MARCKS
CAF.Cords23.mCAF	mCAF	LGALS1
CAF.Cords23.mCAF	mCAF	MMP14
CAF.Cords23.mCAF	mCAF	LAMP5
CAF.Cords23.mCAF	mCAF	TIMP2
CAF.Cords23.mCAF	mCAF	DIO2
CAF.Cords23.mCAF	mCAF	PCDH7
CAF.Cords23.mCAF	mCAF	NRP2
CAF.Cords23.mCAF	mCAF	CD99
CAF.Cords23.mCAF	mCAF	MMP2
CAF.Cords23.mCAF	mCAF	CALU
CAF.Cords23.mCAF	mCAF	COL8A2
CAF.Cords23.mCAF	mCAF	ARL4C
CAF.Cords23.mCAF	mCAF	Sep.11
CAF.Cords23.mCAF	mCAF	KDELR3
CAF.Cords23.mCAF	mCAF	SPHK1
CAF.Cords23.mCAF	mCAF	MATN3
CAF.Cords23.mCAF	mCAF	ANKH
CAF.Cords23.mCAF	mCAF	RUNX2
CAF.Cords23.mCAF	mCAF	MXRA8
CAF.Cords23.mCAF	mCAF	PLPP4
CAF.Cords23.mCAF	mCAF	P4HB
CAF.Cords23.mCAF	mCAF	EFEMP2
CAF.Cords23.mCAF	mCAF	KIAA1217
CAF.Cords23.mCAF	mCAF	PTK7
CAF.Cords23.mCAF	mCAF	UNC5B
CAF.Cords23.mCAF	mCAF	LMO7
CAF.Cords23.mCAF	mCAF	CNN2
CAF.Cords23.mCAF	mCAF	SPATS2L
CAF.Cords23.mCAF	mCAF	MRC2
CAF.Cords23.mCAF	mCAF	RAI14
CAF.Cords23.mCAF	mCAF	KDELR2
CAF.Cords23.mCAF	mCAF	FIBIN
CAF.Cords23.mCAF	mCAF	GPX8
CAF.Cords23.mCAF	mCAF	PODNL1
CAF.Cords23.mCAF	mCAF	ITGB5
CAF.Cords23.mCAF	mCAF	SSR3
CAF.Cords23.mCAF	mCAF	COL16A1
CAF.Cords23.mCAF	mCAF	PYCR1
CAF.Cords23.mCAF	mCAF	LOX
CAF.Cords23.mCAF	mCAF	OSTC
CAF.Cords23.mCAF	mCAF	CKAP4
CAF.Cords23.mCAF	mCAF	SRPX2
CAF.Cords23.mCAF	mCAF	FKBP10
CAF.Cords23.mCAF	mCAF	SPOCK1
CAF.Cords23.mCAF	mCAF	PDLIM2
CAF.Cords23.mCAF	mCAF	C4orf48
CAF.Cords23.mCAF	mCAF	SLC6A6
CAF.Cords23.mCAF	mCAF	SPON1
CAF.Cords23.mCAF	mCAF	PLOD2
CAF.Cords23.mCAF	mCAF	FRMD6
CAF.Cords23.mCAF	mCAF	ADAMTS2
CAF.Cords23.mCAF	mCAF	CAPZB
CAF.Cords23.mCAF	mCAF	GLT8D2
CAF.Cords23.mCAF	mCAF	CILP2
CAF.Cords23.mCAF	mCAF	COL6A2
CAF.Cords23.mCAF	mCAF	OST4
CAF.Cords23.mCAF	mCAF	DAP
CAF.Cords23.mCAF	mCAF	FAM198B
CAF.Cords23.mCAF	mCAF	CREB3L1
CAF.Cords23.mCAF	mCAF	MYDGF
CAF.Cords23.mCAF	mCAF	PPIB
CAF.Cords23.mCAF	mCAF	TMSB10
CAF.Cords23.mCAF	mCAF	GOLM1
CAF.Cords23.mCAF	mCAF	PDLIM4
CAF.Cords23.mCAF	mCAF	FSCN1
CAF.Cords23.mCAF	mCAF	FAM114A1
CAF.Cords23.mCAF	mCAF	P3H4
CAF.Cords23.mCAF	mCAF	SGCD
CAF.Cords23.mCAF	mCAF	SMCO4
CAF.Cords23.mCAF	mCAF	P3H3
CAF.Cords23.mCAF	mCAF	HSD17B6
CAF.Cords23.mCAF	mCAF	KIF26B
CAF.Cords23.mCAF	mCAF	NXN
CAF.Cords23.mCAF	mCAF	BNC2
CAF.Cords23.mCAF	mCAF	FBN1
CAF.Cords23.mCAF	mCAF	PDGFC
CAF.Cords23.mCAF	mCAF	DCN
CAF.Cords23.mCAF	mCAF	BASP1
CAF.Cords23.mCAF	mCAF	SYNDIG1
CAF.Cords23.mCAF	mCAF	WISP1
CAF.Cords23.mCAF	mCAF	JCAD
