signature_id	signature_name	gene	species	cell_family
CAF.ReviewLiu26.Chen25.progenitorFibro	Chen25.progenitorFibro	PI16	human	fibroblast
CAF.ReviewLiu26.Chen25.progenitorFibro	Chen25.progenitorFibro	CFD	human	fibroblast
CAF.ReviewLiu26.Chen25.progenitorFibro	Chen25.progenitorFibro	PLA2G2A	human	fibroblast
CAF.ReviewLiu26.Chen25.progenitorFibro	Chen25.progenitorFibro	CD34	human	fibroblast
CAF.ReviewLiu26.Chen25.progenitorFibro	Chen25.progenitorFibro	DPT	human	fibroblast
CAF.ReviewLiu26.Chen25.iCAF	Chen25.iCAF	CXCL8	human	fibroblast
CAF.ReviewLiu26.Chen25.iCAF	Chen25.iCAF	CXCL2	human	fibroblast
CAF.ReviewLiu26.Chen25.iCAF	Chen25.iCAF	IL6	human	fibroblast
CAF.ReviewLiu26.Chen25.iCAF	Chen25.iCAF	LIF	human	fibroblast
CAF.ReviewLiu26.Chen25.iCAF	Chen25.iCAF	HGF	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	POSTN	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	FAP	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	ACTA2	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	MMP11	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	LRRC15	human	fibroblast
CAF.ReviewLiu26.Chen25.myCAF	Chen25.myCAF	COL10A1	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	CD74	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	HLA-DRA	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	MSLN	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	CD24	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	KRT19	human	fibroblast
CAF.ReviewLiu26.Chen25.CD24apCAF	Chen25.CD24apCAF	EZR	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	CD74	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	HLA-DRA	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	CD37	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	CD52	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	C1QA	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	C1QB	human	fibroblast
CAF.ReviewLiu26.Chen25.CD52apCAF	Chen25.CD52apCAF	C1QC	human	fibroblast
CAF.ReviewLiu26.Chen25.prolifCAF	Chen25.prolifCAF	MKI67	human	fibroblast
CAF.ReviewLiu26.Chen25.prolifCAF	Chen25.prolifCAF	TOP2A	human	fibroblast
CAF.ReviewLiu26.Chen25.prolifCAF	Chen25.prolifCAF	CENPF	human	fibroblast
CAF.ReviewLiu26.Chen25.prolifCAF	Chen25.prolifCAF	UBE2C	human	fibroblast
CAF.ReviewLiu26.Chen25.prolifCAF	Chen25.prolifCAF	STMN1	human	fibroblast
CAF.ReviewLiu26.Chen25.pericyte	Chen25.pericyte	RGS5	human	pericyte
CAF.ReviewLiu26.Chen25.pericyte	Chen25.pericyte	MCAM	human	pericyte
CAF.ReviewLiu26.Chen25.pericyte	Chen25.pericyte	CSPG4	human	pericyte
CAF.ReviewLiu26.Chen25.pericyte	Chen25.pericyte	CD36	human	pericyte
CAF.ReviewLiu26.Chen25.pericyte	Chen25.pericyte	ACTA2	human	pericyte
CAF.ReviewLiu26.Chen25.smoothMuscleCell	Chen25.smoothMuscleCell	MYH11	human	smooth_muscle
CAF.ReviewLiu26.Chen25.smoothMuscleCell	Chen25.smoothMuscleCell	RERGL	human	smooth_muscle
CAF.ReviewLiu26.Chen25.smoothMuscleCell	Chen25.smoothMuscleCell	ACTA2	human	smooth_muscle
CAF.ReviewLiu26.Chen25.smoothMuscleCell	Chen25.smoothMuscleCell	PLN	human	smooth_muscle
CAF.ReviewLiu26.Chen25.smoothMuscleCell	Chen25.smoothMuscleCell	DES	human	smooth_muscle
CAF.ReviewLiu26.Gao24.progenitorFibro	Gao24.progenitorFibro	PI16	human	fibroblast
CAF.ReviewLiu26.Gao24.progenitorFibro	Gao24.progenitorFibro	CD34	human	fibroblast
CAF.ReviewLiu26.Gao24.progenitorFibro	Gao24.progenitorFibro	APOD	human	fibroblast
CAF.ReviewLiu26.Gao24.progenitorFibro	Gao24.progenitorFibro	COL15A1	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	MMP11	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	COL10A1	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	POSTN	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	LRRC15	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	CTHRC1	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	HOPX	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	MMP1	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	WNT5A	human	fibroblast
CAF.ReviewLiu26.Gao24.myCAF	Gao24.myCAF	ACTA2	human	fibroblast
CAF.ReviewLiu26.Gao24.iCAF	Gao24.iCAF	CXCL1	human	fibroblast
CAF.ReviewLiu26.Gao24.iCAF	Gao24.iCAF	CXCL2	human	fibroblast
