signature_id	signature_name	gene
CAF.Wang21.C0.CAF	C0.CAF	APOD
CAF.Wang21.C0.CAF	C0.CAF	PTGDS
CAF.Wang21.C0.CAF	C0.CAF	C7
CAF.Wang21.C0.CAF	C0.CAF	C3
CAF.Wang21.C0.CAF	C0.CAF	MGP
CAF.Wang21.C0.CAF	C0.CAF	FBLN1
CAF.Wang21.C0.CAF	C0.CAF	C1S
CAF.Wang21.C0.CAF	C0.CAF	DCN
CAF.Wang21.C0.CAF	C0.CAF	LUM
CAF.Wang21.C0.CAF	C0.CAF	C1R
CAF.Wang21.C0.CAF	C0.CAF	CST3
CAF.Wang21.C0.CAF	C0.CAF	GSN
CAF.Wang21.C0.CAF	C0.CAF	FBLN5
CAF.Wang21.C0.CAF	C0.CAF	SERPINF1
CAF.Wang21.C0.CAF	C0.CAF	SFRP2
CAF.Wang21.C0.CAF	C0.CAF	MFAP4
CAF.Wang21.C0.CAF	C0.CAF	TSHZ2
CAF.Wang21.C0.CAF	C0.CAF	MMP2
CAF.Wang21.C0.CAF	C0.CAF	SELENOP
CAF.Wang21.C0.CAF	C0.CAF	CYBRD1
CAF.Wang21.C0.CAF	C0.CAF	PRELP
CAF.Wang21.C0.CAF	C0.CAF	GPNMB
CAF.Wang21.C0.CAF	C0.CAF	SCN7A
CAF.Wang21.C0.CAF	C0.CAF	CYR61
CAF.Wang21.C0.CAF	C0.CAF	ALDH1A1
CAF.Wang21.C0.CAF	C0.CAF	SFRP4
CAF.Wang21.C0.CAF	C0.CAF	CTGF
CAF.Wang21.C0.CAF	C0.CAF	PODN
CAF.Wang21.C0.CAF	C0.CAF	NPC2
CAF.Wang21.C0.CAF	C0.CAF	MOXD1
CAF.Wang21.C0.CAF	C0.CAF	PDGFRA
CAF.Wang21.C0.CAF	C0.CAF	ZFP36L2
CAF.Wang21.C0.CAF	C0.CAF	CCDC80
CAF.Wang21.C0.CAF	C0.CAF	BOC
CAF.Wang21.C0.CAF	C0.CAF	PSAP
CAF.Wang21.C0.CAF	C0.CAF	MEG3
CAF.Wang21.C0.CAF	C0.CAF	EMP1
CAF.Wang21.C0.CAF	C0.CAF	SERPING1
CAF.Wang21.C0.CAF	C0.CAF	UBC
CAF.Wang21.C0.CAF	C0.CAF	F2R
CAF.Wang21.C0.CAF	C0.CAF	ABCA8
CAF.Wang21.C0.CAF	C0.CAF	LAMA2
CAF.Wang21.C0.CAF	C0.CAF	PLXDC2
CAF.Wang21.C0.CAF	C0.CAF	HSD11B1
CAF.Wang21.C0.CAF	C0.CAF	PLTP
CAF.Wang21.C0.CAF	C0.CAF	COL6A3
CAF.Wang21.C0.CAF	C0.CAF	LRP1
CAF.Wang21.C0.CAF	C0.CAF	ZFP36
CAF.Wang21.C0.CAF	C0.CAF	CTSK
CAF.Wang21.C0.CAF	C0.CAF	NR2F1
CAF.Wang21.C0.CAF	C0.CAF	EGR1
CAF.Wang21.C0.CAF	C0.CAF	SLIT2
CAF.Wang21.C0.CAF	C0.CAF	GADD45A
CAF.Wang21.C0.CAF	C0.CAF	CFH
CAF.Wang21.C0.CAF	C0.CAF	INMT
CAF.Wang21.C0.CAF	C0.CAF	OMD
CAF.Wang21.C0.CAF	C0.CAF	LTBP2
CAF.Wang21.C0.CAF	C0.CAF	SVEP1
CAF.Wang21.C0.CAF	C0.CAF	GEM
CAF.Wang21.C0.CAF	C0.CAF	ZBTB20
CAF.Wang21.C0.CAF	C0.CAF	CD302
CAF.Wang21.C0.CAF	C0.CAF	GLUL
CAF.Wang21.C0.CAF	C0.CAF	OGN
CAF.Wang21.C0.CAF	C0.CAF	SRPX
CAF.Wang21.C0.CAF	C0.CAF	FOSB
CAF.Wang21.C0.CAF	C0.CAF	TGM2
CAF.Wang21.C0.CAF	C0.CAF	ITM2B
CAF.Wang21.C0.CAF	C0.CAF	COL14A1
CAF.Wang21.C0.CAF	C0.CAF	METTL7A
CAF.Wang21.C0.CAF	C0.CAF	ITGBL1
CAF.Wang21.C0.CAF	C0.CAF	GPC3
CAF.Wang21.C0.CAF	C0.CAF	ADH1B
CAF.Wang21.C0.CAF	C0.CAF	CYP1B1
CAF.Wang21.C0.CAF	C0.CAF	LGALS3
CAF.Wang21.C0.CAF	C0.CAF	SSPN
CAF.Wang21.C0.CAF	C0.CAF	JUN
CAF.Wang21.C0.CAF	C0.CAF	RARRES1
CAF.Wang21.C0.CAF	C0.CAF	SCPEP1
CAF.Wang21.C0.CAF	C0.CAF	CSTB
CAF.Wang21.C0.CAF	C0.CAF	ZFP36L1
CAF.Wang21.C0.CAF	C0.CAF	CTSC
CAF.Wang21.C0.CAF	C0.CAF	GAS6
CAF.Wang21.C0.CAF	C0.CAF	ALDH2
