signature_id	signature_name	gene
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	EDNRB
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ADH1B
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	GPX3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	C7
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	FMO2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	STEAP4
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ANGPTL1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ADAMTS1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	MGST1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	GPC3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PTGDS
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NOVA1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SRPX
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	HSPB6
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CXCL12
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	METTL7A
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	A2M
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	FBLN5
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SELENOP
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SPRY1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PLPP3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	APOD
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CD302
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SPARCL1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SPTSSA
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NID1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CEBPD
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IFITM2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	LGALS3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PRDX6
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SERPING1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PDGFRA
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IFITM3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NDRG2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ALDH1A1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NEGR1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	FGF7
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	OLFML3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	FXYD1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NGFR
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	TFPI
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	MAMDC2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CRISPLD2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ABCA8
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IGFBP4
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	COL4A1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ZFP36
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IER2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IGF1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SPRY2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NR4A1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	JUNB
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	RPS26
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	EPHX1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	DCN
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	C11orf96
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CST3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	EGR1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PID1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	MGP
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	H2AFJ
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SERPINA3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	NFIB
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	MFGE8
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CCL2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SVEP1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	COL4A4
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	TXNIP
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	LAMA2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PDE10A
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	JUN
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SLC66A1L
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SLC35F1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	COL4A2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	LAMC1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SRSF3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	IL6ST
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CYBRD1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CDKN1C
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	S100A13
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	LAMC3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	RNASE4
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	GSN
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SOD3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ALKAL2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	TIMP4
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	MT1X
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	VIT
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CFD
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SLC2A3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ACE2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	LAMB1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	RSPO3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	TIMP3
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	GYPC
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ABCA6
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	SLC7A2
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	PNRC1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	CRLF1
FIBROBLAST.Elhossiny26.IGF1_fibro	IGF1_fibro	ADH5
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	HOPX
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	SFRP4
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CST2
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	LAMP5
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	MOXD1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	BGN
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	DPEP1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CADPS
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	THSD4
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	TAFA5
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	GPBAR1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	FRZB
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	NALCN
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	NREP
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	COL10A1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	PIEZO2
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	TIMP1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	FRY
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CFI
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ANO1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	FOXS1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CGREF1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ENTPD1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	OLFML2B
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	RAPGEF5
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	SLC6A6
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	THSD7B
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	COMP
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	IL32
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	MMP28
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CDH6
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	FAP
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	INHBA
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	LEF1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	PHLDA3
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	SLC12A8
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	IGHGP
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ITGA1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	F2R
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CASC15
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	LXN
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	STRA6
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	DNAH14
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	PDGFC
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ENC1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ITGBL1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	COL14A1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	NT5DC2
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	MATN3
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	GADD45A
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	POT1-AS1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	MXRA5
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	GUCY1A1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	AGT
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	MLLT3
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	THY1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	CPNE7
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	LAYN
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	DKK3
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	ABCB1
FIBROBLAST.Elhossiny26.SFRP4_fibro	SFRP4_fibro	NOTCH3
