signature_id	signature_name	gene
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	GAST
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	LCN2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	PRSS1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	PRSS3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	TFF2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	FAM3D
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANPEP
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANXA1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANXA2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT18
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT19
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT20
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100P
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	SDCBP2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	SH3BGRL3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ALDOB
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOA1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOA4
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOC3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	C15ORF48
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CEACAM5
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CEACAM6
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CLDN7
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CRIP1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	DPCR1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	FABP1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	FABP2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	FXYD3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	GKN1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	GKN2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	HN1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	IFI27
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	IL32
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KLK10
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT7
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT8
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	LGALS3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	MTTP
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	NEAT1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PCK1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PHGR1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PI3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PLAC8
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PRAP1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	PSCA
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	RBP2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	REG4
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100A10
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100A11
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100A14
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100A16
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100A6
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	TM4SF1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	TM4SF20
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	TM4SF4
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	TMPRSS15
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	TSPAN8
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	LGALS4
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	EZR
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	PERP
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	RAC1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	AKR1C3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	ARPC1B
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	CALR
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	COX6A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	GSTA1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	CRYL1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	CYBRD1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	FAM3C
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	HIGD1A
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	HSD17B2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	MALL
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	MISP
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	OAT
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	HSP90B1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	MMP7
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	NDUFA1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	SPRR1B
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	TCEB2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	UQCR11
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	USMG5
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	YWHAZ
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	PCK2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	Diffuse Gastric Cancer Intestinal like.D3	SULT1A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	CHN1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	CNN3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL15A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL18A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL1A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL1A2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL3A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	COL4A1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	GADD45B
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	GPX3
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	IFITM2
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	IGFBP7
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	ITGB1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	JUNB
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	LGALS1
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	LMNA
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	PTRF
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	RERGL
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	Diffuse Gastric Cancer Diffuse like.D4	RGS16
