signature_id	signature_name	gene
PDAC.Bailey16.ADEX	ADEX	CELA3B
PDAC.Bailey16.ADEX	ADEX	CLPS
PDAC.Bailey16.ADEX	ADEX	CTRB1
PDAC.Bailey16.ADEX	ADEX	CPA2
PDAC.Bailey16.ADEX	ADEX	CPA1
PDAC.Bailey16.ADEX	ADEX	CUZD1
PDAC.Bailey16.ADEX	ADEX	CTRB2
PDAC.Bailey16.ADEX	ADEX	PNLIPRP1
PDAC.Bailey16.ADEX	ADEX	CELA3A
PDAC.Bailey16.ADEX	ADEX	REG1P
PDAC.Bailey16.ADEX	ADEX	CEL
PDAC.Bailey16.ADEX	ADEX	CTRC
PDAC.Bailey16.ADEX	ADEX	REG3G
PDAC.Bailey16.ADEX	ADEX	SERPINI2
PDAC.Bailey16.ADEX	ADEX	AQP8
PDAC.Bailey16.ADEX	ADEX	RP11-331F4.4
PDAC.Bailey16.ADEX	ADEX	PLA2G1B
PDAC.Bailey16.ADEX	ADEX	RBPJL
PDAC.Bailey16.ADEX	ADEX	CTRL
PDAC.Bailey16.ADEX	ADEX	SYCN
PDAC.Bailey16.ADEX	ADEX	REG1B
PDAC.Bailey16.ADEX	ADEX	PRSS1
PDAC.Bailey16.ADEX	ADEX	SLC30A2
PDAC.Bailey16.ADEX	ADEX	CPB1
PDAC.Bailey16.ADEX	ADEX	ERP27
PDAC.Bailey16.ADEX	ADEX	PRSS3P1
PDAC.Bailey16.ADEX	ADEX	AMY2A
PDAC.Bailey16.ADEX	ADEX	CELA2B
PDAC.Bailey16.ADEX	ADEX	KLK1
PDAC.Bailey16.ADEX	ADEX	BRSK2
PDAC.Bailey16.ADEX	ADEX	PNLIPRP2
PDAC.Bailey16.ADEX	ADEX	CELA2A
PDAC.Bailey16.ADEX	ADEX	SLC38A3
PDAC.Bailey16.ADEX	ADEX	PRSS3P2
PDAC.Bailey16.ADEX	ADEX	AMY2B
PDAC.Bailey16.ADEX	ADEX	SLC16A12
PDAC.Bailey16.ADEX	ADEX	PNLIP
PDAC.Bailey16.ADEX	ADEX	REG3A
PDAC.Bailey16.ADEX	ADEX	GP2
PDAC.Bailey16.ADEX	ADEX	F11
PDAC.Bailey16.ADEX	ADEX	KCNK3
PDAC.Bailey16.ADEX	ADEX	AMBP
PDAC.Bailey16.ADEX	ADEX	APLP1
