signature_id	signature_name	gene
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CYP2C18
PDAC.ChanSengYue20.ClassicalA	ClassicalA	RP11-400G3.5
PDAC.ChanSengYue20.ClassicalA	ClassicalA	VSIG2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	SLC9B2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	ANXA10
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CAPN8
PDAC.ChanSengYue20.ClassicalA	ClassicalA	VILL
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CLDN18
PDAC.ChanSengYue20.ClassicalA	ClassicalA	SULT1C2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CYSTM1
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CTSE
PDAC.ChanSengYue20.ClassicalA	ClassicalA	ADAM28
PDAC.ChanSengYue20.ClassicalA	ClassicalA	VSIG1
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CYP3A5
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CAPN5
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CYP2S1
PDAC.ChanSengYue20.ClassicalA	ClassicalA	KCNE3
PDAC.ChanSengYue20.ClassicalA	ClassicalA	CYP2C9
PDAC.ChanSengYue20.ClassicalA	ClassicalA	GCKR
PDAC.ChanSengYue20.ClassicalA	ClassicalA	TSPAN8
PDAC.ChanSengYue20.ClassicalA	ClassicalA	ACER2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	SEMA4G
PDAC.ChanSengYue20.ClassicalA	ClassicalA	PDZD3
PDAC.ChanSengYue20.ClassicalA	ClassicalA	TMC5
PDAC.ChanSengYue20.ClassicalA	ClassicalA	DPCR1
PDAC.ChanSengYue20.ClassicalA	ClassicalA	IQGAP2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	EPS8L3
PDAC.ChanSengYue20.ClassicalA	ClassicalA	NR1I2
PDAC.ChanSengYue20.ClassicalA	ClassicalA	MUC17
PDAC.ChanSengYue20.ClassicalA	ClassicalA	FER1L6
