signature_id	signature_name	gene
PDAC.Collisson11.Classical	Classical	TMEM45B
PDAC.Collisson11.Classical	Classical	SDR16C5
PDAC.Collisson11.Classical	Classical	GPRC5A
PDAC.Collisson11.Classical	Classical	AGR2
PDAC.Collisson11.Classical	Classical	S100P
PDAC.Collisson11.Classical	Classical	FXYD3
PDAC.Collisson11.Classical	Classical	ST6GALNAC1
PDAC.Collisson11.Classical	Classical	CEACAM5
PDAC.Collisson11.Classical	Classical	CEACAM6
PDAC.Collisson11.Classical	Classical	TFF1
PDAC.Collisson11.Classical	Classical	TFF3
PDAC.Collisson11.Classical	Classical	CAPN8
PDAC.Collisson11.Classical	Classical	FOXQ1
PDAC.Collisson11.Classical	Classical	ELF3
PDAC.Collisson11.Classical	Classical	ERBB3
PDAC.Collisson11.Classical	Classical	TSPAN8
PDAC.Collisson11.Classical	Classical	TOX3
PDAC.Collisson11.Classical	Classical	LGALS4
PDAC.Collisson11.Classical	Classical	PLS1
PDAC.Collisson11.Classical	Classical	GPX2
PDAC.Collisson11.Classical	Classical	ATP10B
PDAC.Collisson11.Classical	Classical	MUC13
PDAC.Collisson11.Exocrine	Exocrine	REG1B
PDAC.Collisson11.Exocrine	Exocrine	REG3A
PDAC.Collisson11.Exocrine	Exocrine	REG1A
PDAC.Collisson11.Exocrine	Exocrine	PNLIPRP2
PDAC.Collisson11.Exocrine	Exocrine	PNLIP
PDAC.Collisson11.Exocrine	Exocrine	CEL
PDAC.Collisson11.Exocrine	Exocrine	PLA2G1B
PDAC.Collisson11.Exocrine	Exocrine	CELA3A
PDAC.Collisson11.Exocrine	Exocrine	CPB1
PDAC.Collisson11.Exocrine	Exocrine	CELA3B
PDAC.Collisson11.Exocrine	Exocrine	CTRB2
PDAC.Collisson11.Exocrine	Exocrine	CLPS
PDAC.Collisson11.Exocrine	Exocrine	CELA2B
PDAC.Collisson11.Exocrine	Exocrine	PRSS2
PDAC.Collisson11.Exocrine	Exocrine	PRSS1
PDAC.Collisson11.Exocrine	Exocrine	GP2
PDAC.Collisson11.Exocrine	Exocrine	SLC3A1
PDAC.Collisson11.Exocrine	Exocrine	CFTR
PDAC.Collisson11.Exocrine	Exocrine	SLC4A4
PDAC.Collisson11.Exocrine	Exocrine	SPINK1
PDAC.Collisson11.QM	QM	AIM2
PDAC.Collisson11.QM	QM	FAM26F
PDAC.Collisson11.QM	QM	GPM6B
PDAC.Collisson11.QM	QM	S100A2
PDAC.Collisson11.QM	QM	KRT14
PDAC.Collisson11.QM	QM	CAV1
PDAC.Collisson11.QM	QM	LOX
PDAC.Collisson11.QM	QM	SLC2A3
PDAC.Collisson11.QM	QM	TWIST1
PDAC.Collisson11.QM	QM	PAPPA
PDAC.Collisson11.QM	QM	NT5E
PDAC.Collisson11.QM	QM	CKS2
PDAC.Collisson11.QM	QM	HMMR
PDAC.Collisson11.QM	QM	SLC5A3
PDAC.Collisson11.QM	QM	PMAIP1
PDAC.Collisson11.QM	QM	PHLDA1
PDAC.Collisson11.QM	QM	SLC16A1
PDAC.Collisson11.QM	QM	FERMT1
PDAC.Collisson11.QM	QM	HK2
PDAC.Collisson11.QM	QM	AHNAK2
