signature_id	signature_name	gene
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	HELLS
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BRIP1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DTL
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ATAD2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	FANCI
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	FAM111B
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	FANCA
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CENPK
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MYBL2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MELK
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	POLQ
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DIAPH3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CLSPN
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	WDR76
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BRCA2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CENPP
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ATAD5
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NCAPG2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ZGRF1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BRCA1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	WDHD1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	UHRF1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	EXO1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM10
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CDC45
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CENPU
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	XRCC2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ZNF367
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	GINS1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RFC3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RBL1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CENPI
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	EZH2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MMS22L
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BLM
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	KNTC1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RAD54L
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	POLA1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DNA2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RAD51AP1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	E2F1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	FANCB
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	E2F7
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CHAF1A
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TYMS
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	LIG1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ASF1B
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	POLE2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RECQL4
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM4
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DSCC1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BARD1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ORC6
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MND1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CEP128
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	POLE
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CCNE2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	VRK1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM8
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ESCO2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CDC6
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DNMT1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CHEK1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TCF19
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM6
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	POLA2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	IQGAP3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ZWINT
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	E2F2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	PRIM2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	C21ORF58
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	PKMYT1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	FANCD2
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RRM1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RAD54B
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NCAPD3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ANLN
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TK1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	LMNB1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TP73
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RFC4
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	KIF24
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TICRR
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NCAPG
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	KIF15
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CIT
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	DSN1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NEIL3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	STIL
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MTBP
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	WDR62
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CNTLN
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	C2ORF48
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MYBL1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	SLF1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NASP
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	SPC25
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	WDR90
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM5
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CEP152
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	KIF18B
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	KIF11
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CDCA5
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	SMC4
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	MCM3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	GINS4
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	TONSL
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	SKA3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CENPJ
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RAD18
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ORC1
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	ITGB3BP
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	PCNA
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	SLFN13
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	CDC25A
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	RFWD3
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NDUFAF6
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	BUB1B
PDAC.Hwang22.Malignstate.CyclingS	Malignstate.CyclingS	NCAPH
