signature_id	signature_name	gene
PDAC.Maurer18.StromaECM	StromaECM	ODZ3
PDAC.Maurer18.StromaECM	StromaECM	DIP2C
PDAC.Maurer18.StromaECM	StromaECM	CYR61
PDAC.Maurer18.StromaECM	StromaECM	PLN
PDAC.Maurer18.StromaECM	StromaECM	SPP1
PDAC.Maurer18.StromaECM	StromaECM	KAL1
PDAC.Maurer18.StromaECM	StromaECM	BRD4
PDAC.Maurer18.StromaECM	StromaECM	MSRB3
PDAC.Maurer18.StromaECM	StromaECM	LAMC1
PDAC.Maurer18.StromaECM	StromaECM	ZCCHC14
PDAC.Maurer18.StromaECM	StromaECM	MXRA8
PDAC.Maurer18.StromaECM	StromaECM	RIN2
PDAC.Maurer18.StromaECM	StromaECM	BACE1
PDAC.Maurer18.StromaECM	StromaECM	EXT1
PDAC.Maurer18.StromaECM	StromaECM	VGLL4
PDAC.Maurer18.StromaECM	StromaECM	TGFBR1
PDAC.Maurer18.StromaECM	StromaECM	DVL3
PDAC.Maurer18.StromaECM	StromaECM	CDKL5
PDAC.Maurer18.StromaECM	StromaECM	FAM127A
PDAC.Maurer18.StromaECM	StromaECM	CORO1C
PDAC.Maurer18.StromaECM	StromaECM	CALD1
PDAC.Maurer18.StromaECM	StromaECM	MYADM
PDAC.Maurer18.StromaECM	StromaECM	ST5
PDAC.Maurer18.StromaECM	StromaECM	CTSK
PDAC.Maurer18.StromaECM	StromaECM	SSH1
PDAC.Maurer18.StromaECM	StromaECM	SGCD
PDAC.Maurer18.StromaECM	StromaECM	TANC2
PDAC.Maurer18.StromaECM	StromaECM	YAP1
PDAC.Maurer18.StromaECM	StromaECM	GPC6
PDAC.Maurer18.StromaECM	StromaECM	MYO1B
PDAC.Maurer18.StromaECM	StromaECM	SPECC1
PDAC.Maurer18.StromaECM	StromaECM	ARHGDIA
PDAC.Maurer18.StromaECM	StromaECM	PDLIM5
PDAC.Maurer18.StromaECM	StromaECM	MICAL2
PDAC.Maurer18.StromaECM	StromaECM	RPS6KA2
PDAC.Maurer18.StromaECM	StromaECM	MPZL1
PDAC.Maurer18.StromaECM	StromaECM	SEC24D
PDAC.Maurer18.StromaECM	StromaECM	MARVELD1
PDAC.Maurer18.StromaECM	StromaECM	MXRA7
PDAC.Maurer18.StromaECM	StromaECM	EHD2
PDAC.Maurer18.StromaECM	StromaECM	CDH11
PDAC.Maurer18.StromaECM	StromaECM	ABL1
PDAC.Maurer18.StromaECM	StromaECM	CAPZB
PDAC.Maurer18.StromaECM	StromaECM	MYLK
PDAC.Maurer18.StromaECM	StromaECM	GALNT1
PDAC.Maurer18.StromaECM	StromaECM	NTM
PDAC.Maurer18.StromaECM	StromaECM	FZD1
PDAC.Maurer18.StromaECM	StromaECM	FERMT2
PDAC.Maurer18.StromaECM	StromaECM	FRMD6
PDAC.Maurer18.StromaECM	StromaECM	GNB1
PDAC.Maurer18.StromaECM	StromaECM	RAB3B
PDAC.Maurer18.StromaECM	StromaECM	CD248
PDAC.Maurer18.StromaECM	StromaECM	LAMB2
PDAC.Maurer18.StromaECM	StromaECM	TRIO
PDAC.Maurer18.StromaECM	StromaECM	CTSB
PDAC.Maurer18.StromaECM	StromaECM	PRSS23
PDAC.Maurer18.StromaECM	StromaECM	THY1
PDAC.Maurer18.StromaECM	StromaECM	DLGAP4
PDAC.Maurer18.StromaECM	StromaECM	SHC1
PDAC.Maurer18.StromaECM	StromaECM	AFAP1
PDAC.Maurer18.StromaECM	StromaECM	SEC31A
PDAC.Maurer18.StromaECM	StromaECM	TIMP3
PDAC.Maurer18.StromaECM	StromaECM	PARVA
PDAC.Maurer18.StromaECM	StromaECM	PDLIM3
PDAC.Maurer18.StromaECM	StromaECM	TNFSF4
PDAC.Maurer18.StromaECM	StromaECM	OSMR
PDAC.Maurer18.StromaECM	StromaECM	SH3PXD2B
PDAC.Maurer18.StromaECM	StromaECM	SETD5
PDAC.Maurer18.StromaECM	StromaECM	LOX
PDAC.Maurer18.StromaECM	StromaECM	TUBB
PDAC.Maurer18.StromaECM	StromaECM	WNK1
PDAC.Maurer18.StromaECM	StromaECM	B4GALT1
PDAC.Maurer18.StromaECM	StromaECM	NNMT
PDAC.Maurer18.StromaECM	StromaECM	ILK
PDAC.Maurer18.StromaECM	StromaECM	PLS3
PDAC.Maurer18.StromaECM	StromaECM	VIM
PDAC.Maurer18.StromaECM	StromaECM	UNC5B
PDAC.Maurer18.StromaECM	StromaECM	CHPF
PDAC.Maurer18.StromaECM	StromaECM	TNC
PDAC.Maurer18.StromaECM	StromaECM	ARHGAP1
PDAC.Maurer18.StromaECM	StromaECM	CDK2AP1
PDAC.Maurer18.StromaECM	StromaECM	HSPG2
PDAC.Maurer18.StromaECM	StromaECM	CUX1
PDAC.Maurer18.StromaECM	StromaECM	FKBP9
PDAC.Maurer18.StromaECM	StromaECM	FAP
