signature_id	signature_name	gene
PDAC.Moffitt15.Liver	Liver	A1BG
PDAC.Moffitt15.Liver	Liver	A1CF
PDAC.Moffitt15.Liver	Liver	AADAC
PDAC.Moffitt15.Liver	Liver	AADAT
PDAC.Moffitt15.Liver	Liver	AASS
PDAC.Moffitt15.Liver	Liver	ABAT
PDAC.Moffitt15.Liver	Liver	ABCA1
PDAC.Moffitt15.Liver	Liver	ABCB11
PDAC.Moffitt15.Liver	Liver	ABCB4
PDAC.Moffitt15.Liver	Liver	ABCC11
PDAC.Moffitt15.Liver	Liver	ABCC2
PDAC.Moffitt15.Liver	Liver	ABCC6
PDAC.Moffitt15.Liver	Liver	ABCG5
PDAC.Moffitt15.Liver	Liver	ABCG8
PDAC.Moffitt15.Liver	Liver	ABHD6
PDAC.Moffitt15.Liver	Liver	ABLIM3
PDAC.Moffitt15.Liver	Liver	ACAA1
PDAC.Moffitt15.Liver	Liver	ACAA2
PDAC.Moffitt15.Liver	Liver	ACAD11
PDAC.Moffitt15.Liver	Liver	ACADM
PDAC.Moffitt15.Liver	Liver	ACADS
PDAC.Moffitt15.Liver	Liver	ACADSB
PDAC.Moffitt15.Liver	Liver	ACAT1
PDAC.Moffitt15.Liver	Liver	ACMSD
PDAC.Moffitt15.Liver	Liver	ACO1
PDAC.Moffitt15.Liver	Liver	ACOT1
PDAC.Moffitt15.Liver	Liver	ACOT12
PDAC.Moffitt15.Liver	Liver	ACOT2
PDAC.Moffitt15.Liver	Liver	ACOT4
PDAC.Moffitt15.Liver	Liver	ACOX1
PDAC.Moffitt15.Liver	Liver	ACOX2
PDAC.Moffitt15.Liver	Liver	ACOX3
PDAC.Moffitt15.Liver	Liver	ACSL1
PDAC.Moffitt15.Liver	Liver	ACSM2A
PDAC.Moffitt15.Liver	Liver	ACSM2B
PDAC.Moffitt15.Liver	Liver	ACSM5
PDAC.Moffitt15.Liver	Liver	ACSS3
PDAC.Moffitt15.Liver	Liver	ADAMTS13
PDAC.Moffitt15.Liver	Liver	ADH4
PDAC.Moffitt15.Liver	Liver	ADH6
PDAC.Moffitt15.Liver	Liver	ADHFE1
PDAC.Moffitt15.Liver	Liver	ADI1
PDAC.Moffitt15.Liver	Liver	ADRA1A
PDAC.Moffitt15.Liver	Liver	ADRA1B
PDAC.Moffitt15.Liver	Liver	ADRA2B
PDAC.Moffitt15.Liver	Liver	ADSSL1
PDAC.Moffitt15.Liver	Liver	AFM
PDAC.Moffitt15.Liver	Liver	AGFG2
PDAC.Moffitt15.Liver	Liver	AGMAT
PDAC.Moffitt15.Liver	Liver	AGPAT3
PDAC.Moffitt15.Liver	Liver	AGT
PDAC.Moffitt15.Liver	Liver	AGXT
PDAC.Moffitt15.Liver	Liver	AGXT2
PDAC.Moffitt15.Liver	Liver	AGXT2L1
PDAC.Moffitt15.Liver	Liver	AHSG
PDAC.Moffitt15.Liver	Liver	AIG1
PDAC.Moffitt15.Liver	Liver	AK3
PDAC.Moffitt15.Liver	Liver	AKR1C1
PDAC.Moffitt15.Liver	Liver	AKR1C4
PDAC.Moffitt15.Liver	Liver	AKR1D1
PDAC.Moffitt15.Liver	Liver	ALB
PDAC.Moffitt15.Liver	Liver	ALDH1L1
PDAC.Moffitt15.Liver	Liver	ALDH4A1
PDAC.Moffitt15.Liver	Liver	ALDH5A1
PDAC.Moffitt15.Liver	Liver	ALDH6A1
PDAC.Moffitt15.Liver	Liver	ALDH8A1
PDAC.Moffitt15.Liver	Liver	ALDOB
PDAC.Moffitt15.Liver	Liver	AMBP
PDAC.Moffitt15.Liver	Liver	AMDHD1
PDAC.Moffitt15.Liver	Liver	ANG
PDAC.Moffitt15.Liver	Liver	ANGPTL3
PDAC.Moffitt15.Liver	Liver	ANGPTL6
PDAC.Moffitt15.Liver	Liver	ANKRD37
PDAC.Moffitt15.Liver	Liver	ANKRD46
PDAC.Moffitt15.Liver	Liver	ANKRD57
PDAC.Moffitt15.Liver	Liver	ANXA7
PDAC.Moffitt15.Liver	Liver	AOX1
PDAC.Moffitt15.Liver	Liver	APCS
PDAC.Moffitt15.Liver	Liver	APOA1
PDAC.Moffitt15.Liver	Liver	APOA2
PDAC.Moffitt15.Liver	Liver	APOA4
PDAC.Moffitt15.Liver	Liver	APOA5
PDAC.Moffitt15.Liver	Liver	APOB
PDAC.Moffitt15.Liver	Liver	APOC1
PDAC.Moffitt15.Liver	Liver	APOC2
PDAC.Moffitt15.Liver	Liver	APOC3
PDAC.Moffitt15.Liver	Liver	APOC4
PDAC.Moffitt15.Liver	Liver	APOE
PDAC.Moffitt15.Liver	Liver	APOF
PDAC.Moffitt15.Liver	Liver	APOH
