signature_id	signature_name	gene
SINET.Patte25.epithelial	epithelial	AADAC
SINET.Patte25.epithelial	epithelial	ABCB1
SINET.Patte25.epithelial	epithelial	ABCC3
SINET.Patte25.epithelial	epithelial	ABCG2
SINET.Patte25.epithelial	epithelial	ABO
SINET.Patte25.epithelial	epithelial	ABRACL
SINET.Patte25.epithelial	epithelial	AC008397.1
SINET.Patte25.epithelial	epithelial	AC012254.2
SINET.Patte25.epithelial	epithelial	AC068547.1
SINET.Patte25.epithelial	epithelial	AC087632.2
SINET.Patte25.epithelial	epithelial	ACE2
SINET.Patte25.epithelial	epithelial	ACKR4
SINET.Patte25.epithelial	epithelial	ACY1
SINET.Patte25.epithelial	epithelial	ACY3
SINET.Patte25.epithelial	epithelial	ADGRG7
SINET.Patte25.epithelial	epithelial	ADH1C
SINET.Patte25.epithelial	epithelial	ADIRF
SINET.Patte25.epithelial	epithelial	ADTRP
SINET.Patte25.epithelial	epithelial	AGMO
SINET.Patte25.epithelial	epithelial	AGR3
SINET.Patte25.epithelial	epithelial	AKR1B10
SINET.Patte25.epithelial	epithelial	AKR1C1
SINET.Patte25.epithelial	epithelial	AKR1C2
SINET.Patte25.epithelial	epithelial	AKR1C3
SINET.Patte25.epithelial	epithelial	AKR7A3
SINET.Patte25.epithelial	epithelial	ALDOB
SINET.Patte25.epithelial	epithelial	ALPI
SINET.Patte25.epithelial	epithelial	AMN
SINET.Patte25.epithelial	epithelial	ANGPTL4
SINET.Patte25.epithelial	epithelial	ANO9
SINET.Patte25.epithelial	epithelial	ANPEP
SINET.Patte25.epithelial	epithelial	ANXA10
SINET.Patte25.epithelial	epithelial	ANXA2
SINET.Patte25.epithelial	epithelial	ANXA3
SINET.Patte25.epithelial	epithelial	APOA4
SINET.Patte25.epithelial	epithelial	APOB
SINET.Patte25.epithelial	epithelial	APOBEC1
SINET.Patte25.epithelial	epithelial	APOC2
SINET.Patte25.epithelial	epithelial	APOC3
SINET.Patte25.epithelial	epithelial	AREG
SINET.Patte25.epithelial	epithelial	ARL14
SINET.Patte25.epithelial	epithelial	ASAH2
SINET.Patte25.epithelial	epithelial	ASS1
SINET.Patte25.epithelial	epithelial	ATOH1
SINET.Patte25.epithelial	epithelial	ATP10B
SINET.Patte25.epithelial	epithelial	B3GNT3
SINET.Patte25.epithelial	epithelial	B3GNT6
SINET.Patte25.epithelial	epithelial	B3GNT7
SINET.Patte25.epithelial	epithelial	BACE2
SINET.Patte25.epithelial	epithelial	BARX2
SINET.Patte25.epithelial	epithelial	BCL2L14
SINET.Patte25.epithelial	epithelial	BCL2L15
SINET.Patte25.epithelial	epithelial	BICDL2
SINET.Patte25.epithelial	epithelial	BLNK
SINET.Patte25.epithelial	epithelial	BRINP3
SINET.Patte25.epithelial	epithelial	BTNL3
SINET.Patte25.epithelial	epithelial	BTNL8
SINET.Patte25.epithelial	epithelial	C10ORF99
SINET.Patte25.epithelial	epithelial	C11ORF86
SINET.Patte25.epithelial	epithelial	C15ORF48
SINET.Patte25.epithelial	epithelial	C17ORF78
SINET.Patte25.epithelial	epithelial	C19ORF33
SINET.Patte25.epithelial	epithelial	C2ORF88
SINET.Patte25.epithelial	epithelial	C3ORF85
SINET.Patte25.epithelial	epithelial	C4BPB
SINET.Patte25.epithelial	epithelial	C4ORF48
SINET.Patte25.epithelial	epithelial	C6ORF132
SINET.Patte25.epithelial	epithelial	C8G
SINET.Patte25.epithelial	epithelial	CA1
SINET.Patte25.epithelial	epithelial	CA12
SINET.Patte25.epithelial	epithelial	CA2
SINET.Patte25.epithelial	epithelial	CA9
SINET.Patte25.epithelial	epithelial	CAPG
SINET.Patte25.epithelial	epithelial	CAPN5
SINET.Patte25.epithelial	epithelial	CAPN8
SINET.Patte25.epithelial	epithelial	CASP1
SINET.Patte25.epithelial	epithelial	CASP5
SINET.Patte25.epithelial	epithelial	CCK
SINET.Patte25.epithelial	epithelial	CCL20
SINET.Patte25.epithelial	epithelial	CCL24
SINET.Patte25.epithelial	epithelial	CCL25
SINET.Patte25.epithelial	epithelial	CCL28
SINET.Patte25.epithelial	epithelial	CDA
SINET.Patte25.epithelial	epithelial	CDC20
SINET.Patte25.epithelial	epithelial	CDC42EP5
SINET.Patte25.epithelial	epithelial	CDCA7
SINET.Patte25.epithelial	epithelial	CDKN2B
SINET.Patte25.epithelial	epithelial	CDS1
SINET.Patte25.epithelial	epithelial	CDX1
SINET.Patte25.epithelial	epithelial	CEACAM20
SINET.Patte25.epithelial	epithelial	CEACAM5
SINET.Patte25.epithelial	epithelial	CEACAM6
SINET.Patte25.epithelial	epithelial	CEACAM7
SINET.Patte25.epithelial	epithelial	CEBPA
SINET.Patte25.epithelial	epithelial	CES2
SINET.Patte25.epithelial	epithelial	CES3
SINET.Patte25.epithelial	epithelial	CFB
SINET.Patte25.epithelial	epithelial	CFTR
SINET.Patte25.epithelial	epithelial	CHN2
SINET.Patte25.epithelial	epithelial	CHP2
SINET.Patte25.epithelial	epithelial	CIDEC
SINET.Patte25.epithelial	epithelial	CLCA1
SINET.Patte25.epithelial	epithelial	CLCA4
SINET.Patte25.epithelial	epithelial	CLDN15
SINET.Patte25.epithelial	epithelial	CLDN2
SINET.Patte25.epithelial	epithelial	CMBL
SINET.Patte25.epithelial	epithelial	COL17A1
SINET.Patte25.epithelial	epithelial	CORO2A
SINET.Patte25.epithelial	epithelial	CPO
SINET.Patte25.epithelial	epithelial	CPS1
SINET.Patte25.epithelial	epithelial	CREB3L3
SINET.Patte25.epithelial	epithelial	CRIP1
SINET.Patte25.epithelial	epithelial	CTSE
SINET.Patte25.epithelial	epithelial	CTSS
SINET.Patte25.epithelial	epithelial	CUBN
SINET.Patte25.epithelial	epithelial	CYP2C18
SINET.Patte25.epithelial	epithelial	CYP2C9
SINET.Patte25.epithelial	epithelial	CYP2J2
SINET.Patte25.epithelial	epithelial	CYP2S1
SINET.Patte25.epithelial	epithelial	CYP4F12
SINET.Patte25.epithelial	epithelial	CYP4F2
SINET.Patte25.epithelial	epithelial	DEFA5
SINET.Patte25.epithelial	epithelial	DEFA6
SINET.Patte25.epithelial	epithelial	DHRS11
