signature_id	signature_name	gene
scADM_Mouse.Ma21.Chief	Chief	GIF
scADM_Mouse.Ma21.Chief	Chief	NUPR1
scADM_Mouse.Ma21.Chief	Chief	TRY4
scADM_Mouse.Ma21.Chief	Chief	FURIN
scADM_Mouse.Ma21.Chief	Chief	TMED6
scADM_Mouse.Ma21.Chief	Chief	PNLIPRP2
scADM_Mouse.Ma21.Chief	Chief	TRY10
scADM_Mouse.Ma21.Chief	Chief	GM12888
scADM_Mouse.Ma21.Delta	Delta	PCSK1N
scADM_Mouse.Ma21.Delta	Delta	PCSK2
scADM_Mouse.Ma21.Delta	Delta	CEACAM10
scADM_Mouse.Ma21.Delta	Delta	IAPP
scADM_Mouse.Ma21.Delta	Delta	SCGN
scADM_Mouse.Ma21.Delta	Delta	HHEX
scADM_Mouse.Ma21.Delta	Delta	NEUROD1
scADM_Mouse.Ma21.Delta	Delta	SCG2
scADM_Mouse.Ma21.Delta	Delta	NEFM
scADM_Mouse.Ma21.Delta	Delta	SERPING1
scADM_Mouse.Ma21.Delta	Delta	CAMK2B
scADM_Mouse.Ma21.Delta	Delta	BAIAP3
scADM_Mouse.Ma21.Delta	Delta	GM30648
scADM_Mouse.Ma21.Delta	Delta	IGFBP7
scADM_Mouse.Ma21.Delta	Delta	SCG3
scADM_Mouse.Ma21.Delta	Delta	RESP18
scADM_Mouse.Ma21.Delta	Delta	CRYBA2
scADM_Mouse.Ma21.Delta	Delta	1500009L16RIK
scADM_Mouse.Ma21.Delta	Delta	SCG5
scADM_Mouse.Ma21.Delta	Delta	TM4SF4
scADM_Mouse.Ma21.Delta	Delta	PEG3
scADM_Mouse.Ma21.Delta	Delta	CHGB
scADM_Mouse.Ma21.Delta	Delta	SST
scADM_Mouse.Ma21.Delta	Delta	MAP1B
scADM_Mouse.Ma21.Delta	Delta	CHGA
scADM_Mouse.Ma21.Delta	Delta	CPE
scADM_Mouse.Ma21.Delta	Delta	ABCC8
scADM_Mouse.Ma21.Delta	Delta	MBOAT4
scADM_Mouse.Ma21.Delta	Delta	FAM183B
scADM_Mouse.Ma21.Delta	Delta	BAMBI
scADM_Mouse.Ma21.Delta	Delta	ST18
scADM_Mouse.Ma21.Delta	Delta	RBP4
scADM_Mouse.Ma21.Delta	Delta	CELF3
scADM_Mouse.Ma21.Delta	Delta	INSM1
scADM_Mouse.Ma21.Delta	Delta	CPLX2
scADM_Mouse.Ma21.Delta	Delta	BEX1
scADM_Mouse.Ma21.Delta	Delta	TUBA1A
scADM_Mouse.Ma21.Delta	Delta	GM11837
scADM_Mouse.Ma21.Delta	Delta	KCNK16
scADM_Mouse.Ma21.Delta	Delta	SMARCA1
scADM_Mouse.Ma21.Delta	Delta	PTPRN
scADM_Mouse.Ma21.Delta	Delta	LRP11
scADM_Mouse.Ma21.Delta	Delta	RAMP1
scADM_Mouse.Ma21.Delta	Delta	CLDN7
scADM_Mouse.Ma21.Delta	Delta	PNMAL2
scADM_Mouse.Ma21.Delta	Delta	GM1673
scADM_Mouse.Ma21.Delta	Delta	TRIM35
scADM_Mouse.Ma21.Delta	Delta	APLP1
scADM_Mouse.Ma21.Delta	Delta	ACOT7
scADM_Mouse.Ma21.Delta	Delta	MAP2
scADM_Mouse.Ma21.Delta	Delta	KLHDC8B
