signature_id	signature_name	gene
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	PIM3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	HSPB1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	PLAUR
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CSRNP1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	ANXA3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	S100A6
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	BHLHE40
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	SCAND1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	KLF10
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	NR4A1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	SOCS3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	BCAM
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	HBEGF
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	IFRD1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	GAS6
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	DUSP1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	ZFP36
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	EPCAM
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	ATF3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	S100A10
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	KLF6
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	KRT19
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	BTG2
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	EGR1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	FOS
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	JUNB
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	JUN
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	IER2
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	ACTG1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	PTMA
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	BGN
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	EZR
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CXCL16
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CLDN4
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	JUND
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	FBLN2
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	FOSB
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	RHOB
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	IGFBP7
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	LDHB
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	2200002D01RIK
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	SFN
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CCNL1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CLIC3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	ICAM1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	PDLIM4
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	EIF5
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	TSPAN8
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	IMP3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	MAL
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	MARC2
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	SERPINB1A
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	TACSTD2
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	SERTAD1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	UBC
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	TSC22D3
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	H3F3B
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CD14
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	NR1D1
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	CD2AP
scDuctalPancreas_Mouse.Fernandez24.Aft3.population	Aft3 population	BRI3
