signature_id	signature_name	gene
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	GAST
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	LCN2
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	PRSS1
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	PRSS3
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	TFF2
scGC.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	Diffuse Gastric Cancer non malignant.D1	FAM3D
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANPEP
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANXA1
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ANXA2
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT18
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT19
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	KRT20
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	S100P
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	SDCBP2
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	SH3BGRL3
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	ALDOB
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOA1
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOA4
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	APOC3
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	C15ORF48
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CEACAM5
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CEACAM6
scGC.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	Diffuse Gastric Cancer premalignant.D2	CLDN7
