signature_id	signature_name	gene
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	TFF3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SPINK4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGHG4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FABP1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	REG4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MUC2
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FCGBP
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PHGR1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	B3GNT7
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	ZC3HAV1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	AL603756.1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGLC3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGKC
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	REG1A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	ANPEP
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	LGALS1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SERPINA1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGLC2
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PIGR
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PPP1R15A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MUC13
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PI3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SDC4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	GAPDH
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	KLF4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	GPX2
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGHG3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	KRT20
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	LGALS4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FABP5
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CCL20
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SFN
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	C19ORF33
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CRIP1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	RPL22L1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	HNF4A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CD55
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CLDN4
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGHA1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	NDRG1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CTNNB1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IFI6
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CEACAM5
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGHG1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	EMP1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	HSPA6
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PLAUR
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SRGN
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	B4GALT1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	HSPA1B
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	EIF5A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PHLDA2
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	TMSB10
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	C4ORF48
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	AL121761.2
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MCL1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SH3BGRL3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	JCHAIN
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	NFKBIA
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	B2M
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	LGALS3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	DNAJB1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PMAIP1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGFBP7
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	TRIB1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MISP
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	RPL36A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	HSPH1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	LRRC75A
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IFITM1
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	EPCAM
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MIF
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	CDH17
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	AGR3
scGastricTME.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FOSB
