signature_id	signature_name	gene
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FCGR3A
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RHOC
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CDKN1C
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LST1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TCF7L2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MTSS1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SERPINA1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LY6E
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CFD
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD52
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LYN
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRB2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LRRC25
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	COTL1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TNFRSF1B
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	STXBP2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	NAP1L1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MS4A7
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FCER1G
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S100A4
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SPN
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PILRA
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	AIF1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LIMD2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFI30
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	POU2F2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PSAP
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	WARS
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTPRC
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LYST
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SYTL1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	GPBAR1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	BIN2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	OAS1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HES4
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FGR
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S100A11
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CTSS
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ITGAL
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD37
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MYO1G
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CUX1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MAPKAPK3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	NAAA
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CORO1A
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	KLF3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HLA-E
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	EMP3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CSK
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SPI1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TXNIP
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	VASP
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SLC2A6
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTP4A2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	KLF2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FLNA
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTPN6
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	UNC119
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	C5AR1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FTH1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	APOBEC3A
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	DRAP1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA5
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	C19ORF38
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ZNF703
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CYTIP
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HCK
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SAT1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SELPLG
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRB1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ACTB
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ICAM2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	BID
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MSN
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	OAZ1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SIDT2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD48
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SLC11A1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	UTRN
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CX3CR1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RASGRP2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PFN1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RHOB
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TIMP1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S1PR4
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD68
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PAG1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RAP1B
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RGS19
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TBC1D10C
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PLAC8
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LRRFIP1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	NACA
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SIGLEC10
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CDKN2D
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CLEC12A
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HMOX1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PCGF5
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CFP
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PSMB9
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ARPC2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TBC1D8
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	EEF1A1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ABI3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CSF1R
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MTPN
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	EVL
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HLA-C
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ITGA4
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TESC
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RNF149
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	GCH1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RAC2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RABGAP1L
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	WASF2
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	AP2A1
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ICAM3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HK3
scIBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RHOA
