signature_id	signature_name	gene
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	SERPINI2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AQP12
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CTRC
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AMY2A5
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AMY2A2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GATM
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	HAMP2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AMY2A4
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PRSS3
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	VTN
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CABP2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	SLC39A5
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PNLIP
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CTRL
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	SYCN
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CELA2A
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TRY4
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CPB1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	2210010C04RIK
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	RNASE1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	ZG16
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CELA1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CPA1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CEL
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CELA3B
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CPA2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CTRB1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PNLIPRP1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CLPS
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PRSS2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PNLIPRP2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	KLK1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TRY5
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	SPINK1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GP2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PLA2G1B
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TRY10
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CUZD1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG3A
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PDIA2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG3D
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	1810009J06RIK
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	ERP27
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AMY1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	FKBP11
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TMED6
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GM10334
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PSMB10
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG3B
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GM2663
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GM26917
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	NUPR1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	LCMT1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GCAT
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GAMT
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	REG3G
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TMED11
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	ARHGDIG
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	TMEM97
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CCKAR
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	ANG
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	RBPJL
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	AMY2A3
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	MT1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	ERO1LB
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	KLK1B5
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	FGF21
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CRLF1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GAL
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GGT1
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	MT2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	GNMT
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PHGDH
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CELA3A
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	CHST2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	SERPINA10
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	BEX2
scPancreas_Mouse.Schlesinger20.Acinar.cells	Acinar cells	PROCR
