signature_id	signature_name	gene
siNETs.Patte25.epithelial	epithelial	AADAC
siNETs.Patte25.epithelial	epithelial	ABCB1
siNETs.Patte25.epithelial	epithelial	ABCC3
siNETs.Patte25.epithelial	epithelial	ABCG2
siNETs.Patte25.epithelial	epithelial	ABO
siNETs.Patte25.epithelial	epithelial	ABRACL
siNETs.Patte25.epithelial	epithelial	AC008397.1
siNETs.Patte25.epithelial	epithelial	AC012254.2
siNETs.Patte25.epithelial	epithelial	AC068547.1
siNETs.Patte25.epithelial	epithelial	AC087632.2
siNETs.Patte25.epithelial	epithelial	ACE2
siNETs.Patte25.epithelial	epithelial	ACKR4
siNETs.Patte25.epithelial	epithelial	ACY1
siNETs.Patte25.epithelial	epithelial	ACY3
siNETs.Patte25.epithelial	epithelial	ADGRG7
siNETs.Patte25.epithelial	epithelial	ADH1C
siNETs.Patte25.epithelial	epithelial	ADIRF
siNETs.Patte25.epithelial	epithelial	ADTRP
siNETs.Patte25.epithelial	epithelial	AGMO
siNETs.Patte25.epithelial	epithelial	AGR3
siNETs.Patte25.epithelial	epithelial	AKR1B10
siNETs.Patte25.epithelial	epithelial	AKR1C1
siNETs.Patte25.epithelial	epithelial	AKR1C2
siNETs.Patte25.epithelial	epithelial	AKR1C3
siNETs.Patte25.epithelial	epithelial	AKR7A3
siNETs.Patte25.epithelial	epithelial	ALDOB
siNETs.Patte25.epithelial	epithelial	ALPI
siNETs.Patte25.epithelial	epithelial	AMN
siNETs.Patte25.epithelial	epithelial	ANGPTL4
siNETs.Patte25.epithelial	epithelial	ANO9
siNETs.Patte25.epithelial	epithelial	ANPEP
siNETs.Patte25.epithelial	epithelial	ANXA10
siNETs.Patte25.epithelial	epithelial	ANXA2
siNETs.Patte25.epithelial	epithelial	ANXA3
siNETs.Patte25.epithelial	epithelial	APOA4
siNETs.Patte25.epithelial	epithelial	APOB
siNETs.Patte25.epithelial	epithelial	APOBEC1
siNETs.Patte25.epithelial	epithelial	APOC2
siNETs.Patte25.epithelial	epithelial	APOC3
siNETs.Patte25.epithelial	epithelial	AREG
siNETs.Patte25.epithelial	epithelial	ARL14
siNETs.Patte25.epithelial	epithelial	ASAH2
siNETs.Patte25.epithelial	epithelial	ASS1
siNETs.Patte25.epithelial	epithelial	ATOH1
siNETs.Patte25.epithelial	epithelial	ATP10B
siNETs.Patte25.epithelial	epithelial	B3GNT3
siNETs.Patte25.epithelial	epithelial	B3GNT6
siNETs.Patte25.epithelial	epithelial	B3GNT7
siNETs.Patte25.epithelial	epithelial	BACE2
siNETs.Patte25.epithelial	epithelial	BARX2
siNETs.Patte25.epithelial	epithelial	BCL2L14
siNETs.Patte25.epithelial	epithelial	BCL2L15
siNETs.Patte25.epithelial	epithelial	BICDL2
siNETs.Patte25.epithelial	epithelial	BLNK
siNETs.Patte25.epithelial	epithelial	BRINP3
siNETs.Patte25.epithelial	epithelial	BTNL3
siNETs.Patte25.epithelial	epithelial	BTNL8
siNETs.Patte25.epithelial	epithelial	C10ORF99
siNETs.Patte25.epithelial	epithelial	C11ORF86
siNETs.Patte25.epithelial	epithelial	C15ORF48
siNETs.Patte25.epithelial	epithelial	C17ORF78
siNETs.Patte25.epithelial	epithelial	C19ORF33
siNETs.Patte25.epithelial	epithelial	C2ORF88
siNETs.Patte25.epithelial	epithelial	C3ORF85
siNETs.Patte25.epithelial	epithelial	C4BPB
siNETs.Patte25.epithelial	epithelial	C4ORF48
siNETs.Patte25.epithelial	epithelial	C6ORF132
siNETs.Patte25.epithelial	epithelial	C8G
siNETs.Patte25.epithelial	epithelial	CA1
siNETs.Patte25.epithelial	epithelial	CA12
siNETs.Patte25.epithelial	epithelial	CA2
siNETs.Patte25.epithelial	epithelial	CA9
siNETs.Patte25.epithelial	epithelial	CAPG
siNETs.Patte25.epithelial	epithelial	CAPN5
siNETs.Patte25.epithelial	epithelial	CAPN8
siNETs.Patte25.epithelial	epithelial	CASP1
siNETs.Patte25.epithelial	epithelial	CASP5
siNETs.Patte25.epithelial	epithelial	CCK
siNETs.Patte25.epithelial	epithelial	CCL20
siNETs.Patte25.epithelial	epithelial	CCL24
siNETs.Patte25.epithelial	epithelial	CCL25
siNETs.Patte25.epithelial	epithelial	CCL28
siNETs.Patte25.epithelial	epithelial	CDA
siNETs.Patte25.epithelial	epithelial	CDC20
siNETs.Patte25.epithelial	epithelial	CDC42EP5
siNETs.Patte25.epithelial	epithelial	CDCA7
siNETs.Patte25.epithelial	epithelial	CDKN2B
siNETs.Patte25.epithelial	epithelial	CDS1
siNETs.Patte25.epithelial	epithelial	CDX1
siNETs.Patte25.epithelial	epithelial	CEACAM20
siNETs.Patte25.epithelial	epithelial	CEACAM5
siNETs.Patte25.epithelial	epithelial	CEACAM6
siNETs.Patte25.epithelial	epithelial	CEACAM7
siNETs.Patte25.epithelial	epithelial	CEBPA
siNETs.Patte25.epithelial	epithelial	CES2
siNETs.Patte25.epithelial	epithelial	CES3
siNETs.Patte25.epithelial	epithelial	CFB
siNETs.Patte25.epithelial	epithelial	CFTR
siNETs.Patte25.epithelial	epithelial	CHN2
siNETs.Patte25.epithelial	epithelial	CHP2
siNETs.Patte25.epithelial	epithelial	CIDEC
siNETs.Patte25.epithelial	epithelial	CLCA1
siNETs.Patte25.epithelial	epithelial	CLCA4
siNETs.Patte25.epithelial	epithelial	CLDN15
siNETs.Patte25.epithelial	epithelial	CLDN2
siNETs.Patte25.epithelial	epithelial	CMBL
siNETs.Patte25.epithelial	epithelial	COL17A1
siNETs.Patte25.epithelial	epithelial	CORO2A
siNETs.Patte25.epithelial	epithelial	CPO
siNETs.Patte25.epithelial	epithelial	CPS1
siNETs.Patte25.epithelial	epithelial	CREB3L3
siNETs.Patte25.epithelial	epithelial	CRIP1
siNETs.Patte25.epithelial	epithelial	CTSE
siNETs.Patte25.epithelial	epithelial	CTSS
siNETs.Patte25.epithelial	epithelial	CUBN
