signature_id	same_species_rows	needs_translation_rows	unmapped_rows	translated_rows_pre_collapse	output_gene_rows	split_source_rows	split_added_rows	max_split_size	collapse_output_rows	collapse_removed_rows	max_collapse_size	source_gene_rows_in
CAF.Cords23.apCAF	63	0	0	0	63	0	0	1	0	0	1	63
CAF.Cords23.dCAF	1185	0	0	0	1185	0	0	1	0	0	1	1185
CAF.Cords23.hsp.tCAF	215	0	0	0	215	0	0	1	0	0	1	215
CAF.Cords23.iCAF	471	0	0	0	471	0	0	1	0	0	1	471
CAF.Cords23.ifnCAF	574	0	0	0	574	0	0	1	0	0	1	574
CAF.Cords23.mCAF	494	0	0	0	494	0	0	1	0	0	1	494
CAF.Cords23.rCAF	305	0	0	0	305	0	0	1	0	0	1	305
CAF.Cords23.tCAF	333	0	0	0	333	0	0	1	0	0	1	333
CAF.Cords23.vCAF	533	0	0	0	533	0	0	1	0	0	1	533
CAF.Dominguez20.hCAF0TGFB	144	0	0	0	144	0	0	1	0	0	1	144
CAF.Dominguez20.hCAF1early	165	0	0	0	165	0	0	1	0	0	1	165
CAF.Dominguez20.hCAF2il6lif	282	0	0	0	282	0	0	1	0	0	1	282
CAF.Elyada19.iCAF	84	0	0	0	84	0	0	1	0	0	1	84
CAF.Elyada19.myo	16	0	0	0	16	0	0	1	0	0	1	16
CAF.Kieffer20.CAF.S1	100	0	0	0	100	0	0	1	0	0	1	100
CAF.Kieffer20.IFNgamma.iCAF	22	0	0	0	22	0	0	1	0	0	1	22
CAF.Kieffer20.IL.iCAF	35	0	0	0	35	0	0	1	0	0	1	35
CAF.Kieffer20.Normal.Fibroblast	131	0	0	0	131	0	0	1	0	0	1	131
CAF.Kieffer20.TGFbeta.myCAF	28	0	0	0	28	0	0	1	0	0	1	28
CAF.Kieffer20.detox.iCAF	26	0	0	0	26	0	0	1	0	0	1	26
CAF.Kieffer20.ecm.myCAF	40	0	0	0	40	0	0	1	0	0	1	40
CAF.Kieffer20.wound.myCAF	34	0	0	0	34	0	0	1	0	0	1	34
CAF.Neuzillet22.MYH11	45	0	0	0	45	0	0	1	0	0	1	45
CAF.Neuzillet22.PDPN	28	0	0	0	28	0	0	1	0	0	1	28
CAF.Neuzillet22.POSTN	45	0	0	0	45	0	0	1	0	0	1	45
CAF.Neuzillet22.subPOSTN	31	0	0	0	31	0	0	1	0	0	1	31
CAF.Qin23.ECM.CAF	169	0	0	0	169	0	0	1	0	0	1	169
CAF.Qin23.Myofibroblast	185	0	0	0	185	0	0	1	0	0	1	185
CAF.Qin23.epiEMT	150	0	0	0	150	0	0	1	0	0	1	150
CAF.Qin23.fibroEMT	103	0	0	0	103	0	0	1	0	0	1	103
CAF.Zhang23.apCAF.CLU	259	0	0	0	259	0	0	1	0	0	1	259
CAF.Zhang23.iCAF.CFD	281	0	0	0	281	0	0	1	0	0	1	281
CAF.Zhang23.myCAF.COMP	243	0	0	0	243	0	0	1	0	0	1	243
CAF.Zhang23.myCAF.CXCL14	619	0	0	0	619	0	0	1	0	0	1	619
CAF.Zhang23.myCAF.MMP11	366	0	0	0	366	0	0	1	0	0	1	366
CAF.Zhang23.myCAF.POSTN	177	0	0	0	177	0	0	1	0	0	1	177
CAF.Zhang23.myCAF.RGS5	580	0	0	0	580	0	0	1	0	0	1	580
CAF.Zhang23.myCAF.TPM1	702	0	0	0	702	0	0	1	0	0	1	702
CCA.Serrano23.Desert-like	100	0	0	0	100	0	0	1	0	0	1	100
CCA.Serrano23.Hepati.Stem-like	100	0	0	0	100	0	0	1	0	0	1	100
CCA.Serrano23.Immune.Classical	100	0	0	0	100	0	0	1	0	0	1	100
CCA.Serrano23.Inflammatory.Stroma	100	0	0	0	100	0	0	1	0	0	1	100
CCA.Serrano23.Tumor.Classical	100	0	0	0	100	0	0	1	0	0	1	100
CCA.Sia13.INFLAMGenes	163	0	0	0	163	0	0	1	0	0	1	163
CCA.Sia13.PROLIFGenes	1405	0	0	0	1405	0	0	1	0	0	1	1405
ECM.Helms22.PSCcaf	99	0	0	0	99	0	0	1	0	0	1	99
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	203	0	0	0	203	0	0	1	0	0	1	203
FIBROBLAST.Gao24.ApFibro.CD74	171	0	0	0	171	0	0	1	0	0	1	171
FIBROBLAST.Gao24.EpithelialCryptFibro.SOX6	337	0	0	0	337	0	0	1	0	0	1	337
FIBROBLAST.Gao24.Fibro.CTNNB1	116	0	0	0	116	0	0	1	0	0	1	116
FIBROBLAST.Gao24.InflaFibro.HGF	761	0	0	0	761	0	0	1	0	0	1	761
FIBROBLAST.Gao24.InflaFibro.HSPA6	314	0	0	0	314	0	0	1	0	0	1	314
FIBROBLAST.Gao24.InflaFibro.IL6	834	0	0	0	834	0	0	1	0	0	1	834
FIBROBLAST.Gao24.LaminaPropriaFibro.ADAMDEC	264	0	0	0	264	0	0	1	0	0	1	264
FIBROBLAST.Gao24.Mesothelial	245	0	0	0	245	0	0	1	0	0	1	245
FIBROBLAST.Gao24.MyoFibro.HOPX	384	0	0	0	384	0	0	1	0	0	1	384
FIBROBLAST.Gao24.MyoFibro.LRRC15	369	0	0	0	369	0	0	1	0	0	1	369
FIBROBLAST.Gao24.MyoFibro.SFRP2	185	0	0	0	185	0	0	1	0	0	1	185
FIBROBLAST.Gao24.Myofibro.MMP1	215	0	0	0	215	0	0	1	0	0	1	215
FIBROBLAST.Gao24.Pericyte	375	0	0	0	375	0	0	1	0	0	1	375
FIBROBLAST.Gao24.Progenitor.like.fibro.COL15A1	229	0	0	0	229	0	0	1	0	0	1	229
FIBROBLAST.Gao24.Progenitor.like.fibroblast.PI16	346	0	0	0	346	0	0	1	0	0	1	346
FIBROBLAST.Gao24.ProlifevrativeFibro.STMN1	187	0	0	0	187	0	0	1	0	0	1	187
FIBROBLAST.Gao24.SMC.HHIP	280	0	0	0	280	0	0	1	0	0	1	280
FIBROBLAST.Gao24.SMC.MYH11	388	0	0	0	388	0	0	1	0	0	1	388
FIBROBLAST.Gao24.SynovialLiningFibro.PRG4	365	0	0	0	365	0	0	1	0	0	1	365
FIBROBLAST.Patrick24.F.Act	0	24	0	25	25	1	1	2	0	0	1	24
