signature_id	signature_name	gene
CAF.Grout22.iCAF	iCAF	LMNA
CAF.Grout22.iCAF	iCAF	GSN
CAF.Grout22.iCAF	iCAF	DPT
CAF.Grout22.iCAF	iCAF	EFEMP1
CAF.Grout22.iCAF	iCAF	IL6
CAF.Grout22.iCAF	iCAF	C3
CAF.Grout22.iCAF	iCAF	COL14A1
CAF.Grout22.iCAF	iCAF	CXCL12
CAF.Grout22.iCAF	iCAF	TNXB
CAF.Grout22.iCAF	iCAF	OGN
CAF.Grout22.iCAF	iCAF	PDPN
CAF.Grout22.iCAF	iCAF	HAS1
CAF.Grout22.iCAF	iCAF	PDGFRA
CAF.Grout22.myCAF	myCAF	TAGLN
CAF.Grout22.myCAF	myCAF	ACTA2
CAF.Grout22.myCAF	myCAF	BGN
CAF.Grout22.myCAF	myCAF	TPM2
CAF.Grout22.myCAF	myCAF	TPM1
CAF.Grout22.myCAF	myCAF	MYL9
CAF.Grout22.myCAF	myCAF	CTHRC1
CAF.Grout22.myCAF	myCAF	POSTN
CAF.Grout22.myCAF	myCAF	INHBA
CAF.Grout22.myCAF	myCAF	THBS2
CAF.Grout22.myCAF	myCAF	MMP11
CAF.Grout22.myCAF	myCAF	FAP
CAF.Grout22.apCAF	apCAF	CLU
CAF.Grout22.apCAF	apCAF	CD74
CAF.Grout22.apCAF	apCAF	EZR
CAF.Grout22.apCAF	apCAF	ARHGDIB
CAF.Grout22.apCAF	apCAF	PTGIS
CAF.Grout22.apCAF	apCAF	SLPI
CAF.Grout22.apCAF	apCAF	MSLN
CAF.Grout22.apCAF	apCAF	SAA2
CAF.Grout22.apCAF	apCAF	F11R
CAF.Grout22.apCAF	apCAF	SLC9A3R1
CAF.Grout22.apCAF	apCAF	HLA-DQB1
CAF.Grout22.apCAF	apCAF	NKAIN4
