signature_id	signature_name	gene
CAF.Peng26.proCAF	proCAF	IGFL2
CAF.Peng26.proCAF	proCAF	NOX4
CAF.Peng26.proCAF	proCAF	VSNL1
CAF.Peng26.proCAF	proCAF	BICD1
CAF.Peng26.proCAF	proCAF	NPR3
CAF.Peng26.proCAF	proCAF	ETV1
CAF.Peng26.proCAF	proCAF	ITGA11
CAF.Peng26.proCAF	proCAF	GNIH3
CAF.Peng26.proCAF	proCAF	COL11A1
CAF.Peng26.restCAF	restCAF	CHRDL1
CAF.Peng26.restCAF	restCAF	OGN
CAF.Peng26.restCAF	restCAF	PI16
CAF.Peng26.restCAF	restCAF	ANK2
CAF.Peng26.restCAF	restCAF	ABCA8
CAF.Peng26.restCAF	restCAF	TGFBR3
CAF.Peng26.restCAF	restCAF	FBLN5
CAF.Peng26.restCAF	restCAF	SCARA5
CAF.Peng26.restCAF	restCAF	KIAA1217
