signature_id	signature_name	gene
CAF.Qin23.ECM.CAF	ECM.CAF	CFD
CAF.Qin23.ECM.CAF	ECM.CAF	GSN
CAF.Qin23.ECM.CAF	ECM.CAF	FBLN1
CAF.Qin23.ECM.CAF	ECM.CAF	ITM2A
CAF.Qin23.ECM.CAF	ECM.CAF	PLAC9
CAF.Qin23.ECM.CAF	ECM.CAF	CCDC80
CAF.Qin23.ECM.CAF	ECM.CAF	IGFBP6
CAF.Qin23.ECM.CAF	ECM.CAF	MGP
CAF.Qin23.ECM.CAF	ECM.CAF	DCN
CAF.Qin23.ECM.CAF	ECM.CAF	SOD3
CAF.Qin23.ECM.CAF	ECM.CAF	FBLN2
CAF.Qin23.ECM.CAF	ECM.CAF	EFEMP1
CAF.Qin23.ECM.CAF	ECM.CAF	CFH
CAF.Qin23.ECM.CAF	ECM.CAF	SFRP2
CAF.Qin23.ECM.CAF	ECM.CAF	CLU
CAF.Qin23.ECM.CAF	ECM.CAF	MFAP4
CAF.Qin23.ECM.CAF	ECM.CAF	RGCC
CAF.Qin23.ECM.CAF	ECM.CAF	PI16
CAF.Qin23.ECM.CAF	ECM.CAF	ARID5B
CAF.Qin23.ECM.CAF	ECM.CAF	MT2A
CAF.Qin23.ECM.CAF	ECM.CAF	DPT
CAF.Qin23.ECM.CAF	ECM.CAF	PTN
CAF.Qin23.ECM.CAF	ECM.CAF	SERPINF1
CAF.Qin23.ECM.CAF	ECM.CAF	EMP1
CAF.Qin23.ECM.CAF	ECM.CAF	C11orf96
CAF.Qin23.ECM.CAF	ECM.CAF	TIMP3
CAF.Qin23.ECM.CAF	ECM.CAF	CEBPD
CAF.Qin23.ECM.CAF	ECM.CAF	SEPP1
CAF.Qin23.ECM.CAF	ECM.CAF	THBS1
CAF.Qin23.ECM.CAF	ECM.CAF	MYC
CAF.Qin23.ECM.CAF	ECM.CAF	CYBRD1
CAF.Qin23.ECM.CAF	ECM.CAF	UAP1
CAF.Qin23.ECM.CAF	ECM.CAF	EMP3
CAF.Qin23.ECM.CAF	ECM.CAF	NR4A1
CAF.Qin23.ECM.CAF	ECM.CAF	LTBP4
CAF.Qin23.ECM.CAF	ECM.CAF	CEBPB
CAF.Qin23.ECM.CAF	ECM.CAF	HTRA1
CAF.Qin23.ECM.CAF	ECM.CAF	GPX3
CAF.Qin23.ECM.CAF	ECM.CAF	ZFP36L1
CAF.Qin23.ECM.CAF	ECM.CAF	ADH1B
CAF.Qin23.ECM.CAF	ECM.CAF	LUM
CAF.Qin23.ECM.CAF	ECM.CAF	OGN
CAF.Qin23.ECM.CAF	ECM.CAF	PLPP3
CAF.Qin23.ECM.CAF	ECM.CAF	CYR61
CAF.Qin23.ECM.CAF	ECM.CAF	MEG3
CAF.Qin23.ECM.CAF	ECM.CAF	C1R
CAF.Qin23.ECM.CAF	ECM.CAF	PNRC1
CAF.Qin23.ECM.CAF	ECM.CAF	SFRP1
CAF.Qin23.ECM.CAF	ECM.CAF	SERPING1
CAF.Qin23.ECM.CAF	ECM.CAF	CCL2
CAF.Qin23.ECM.CAF	ECM.CAF	SOD2
CAF.Qin23.ECM.CAF	ECM.CAF	PCOLCE2
CAF.Qin23.ECM.CAF	ECM.CAF	APOE
CAF.Qin23.ECM.CAF	ECM.CAF	TIMP2
CAF.Qin23.ECM.CAF	ECM.CAF	GAS6
CAF.Qin23.ECM.CAF	ECM.CAF	COL14A1
CAF.Qin23.ECM.CAF	ECM.CAF	FXYD1
CAF.Qin23.ECM.CAF	ECM.CAF	SERPINE2
CAF.Qin23.ECM.CAF	ECM.CAF	QSOX1
CAF.Qin23.ECM.CAF	ECM.CAF	C1S
CAF.Qin23.ECM.CAF	ECM.CAF	TNFAIP6
CAF.Qin23.ECM.CAF	ECM.CAF	COL6A2
CAF.Qin23.ECM.CAF	ECM.CAF	SPARCL1
CAF.Qin23.ECM.CAF	ECM.CAF	MMP2
CAF.Qin23.ECM.CAF	ECM.CAF	GEM
CAF.Qin23.ECM.CAF	ECM.CAF	FGF7
CAF.Qin23.ECM.CAF	ECM.CAF	UGDH
CAF.Qin23.ECM.CAF	ECM.CAF	IL6ST
CAF.Qin23.ECM.CAF	ECM.CAF	SRPX
CAF.Qin23.ECM.CAF	ECM.CAF	NFIA
CAF.Qin23.ECM.CAF	ECM.CAF	UGP2
CAF.Qin23.ECM.CAF	ECM.CAF	CXCL12
CAF.Qin23.ECM.CAF	ECM.CAF	APOD
CAF.Qin23.ECM.CAF	ECM.CAF	MATN2
CAF.Qin23.ECM.CAF	ECM.CAF	ABI3BP
CAF.Qin23.ECM.CAF	ECM.CAF	LMCD1
CAF.Qin23.ECM.CAF	ECM.CAF	GPNMB
CAF.Qin23.ECM.CAF	ECM.CAF	MT1E
CAF.Qin23.ECM.CAF	ECM.CAF	C3
CAF.Qin23.ECM.CAF	ECM.CAF	ADAMTS1
CAF.Qin23.ECM.CAF	ECM.CAF	NAMPT
CAF.Qin23.ECM.CAF	ECM.CAF	MT1A
CAF.Qin23.ECM.CAF	ECM.CAF	SLC19A2
CAF.Qin23.ECM.CAF	ECM.CAF	SLIT3
CAF.Qin23.ECM.CAF	ECM.CAF	IGF1
CAF.Qin23.ECM.CAF	ECM.CAF	FBLN5
CAF.Qin23.ECM.CAF	ECM.CAF	SLPI
CAF.Qin23.ECM.CAF	ECM.CAF	FGFR1
CAF.Qin23.ECM.CAF	ECM.CAF	TGFBR3
CAF.Qin23.ECM.CAF	ECM.CAF	SOCS3
CAF.Qin23.ECM.CAF	ECM.CAF	TNXB
CAF.Qin23.ECM.CAF	ECM.CAF	KLF4
CAF.Qin23.ECM.CAF	ECM.CAF	CD99
CAF.Qin23.ECM.CAF	ECM.CAF	PMP22
CAF.Qin23.ECM.CAF	ECM.CAF	ZFAND5
CAF.Qin23.ECM.CAF	ECM.CAF	CREB5
CAF.Qin23.ECM.CAF	ECM.CAF	FOXO3
CAF.Qin23.ECM.CAF	ECM.CAF	MMP23B
CAF.Qin23.ECM.CAF	ECM.CAF	JUND
CAF.Qin23.ECM.CAF	ECM.CAF	FCGRT
CAF.Qin23.ECM.CAF	ECM.CAF	KLF9
CAF.Qin23.ECM.CAF	ECM.CAF	ERRFI1
CAF.Qin23.ECM.CAF	ECM.CAF	MYADM
CAF.Qin23.ECM.CAF	ECM.CAF	CTSK
CAF.Qin23.ECM.CAF	ECM.CAF	LINC01082
CAF.Qin23.ECM.CAF	ECM.CAF	MT1X
CAF.Qin23.ECM.CAF	ECM.CAF	GPRC5A
CAF.Qin23.ECM.CAF	ECM.CAF	SERPINE1
CAF.Qin23.ECM.CAF	ECM.CAF	RHOBTB3
CAF.Qin23.ECM.CAF	ECM.CAF	HSPB6
CAF.Qin23.ECM.CAF	ECM.CAF	OLFML3
CAF.Qin23.ECM.CAF	ECM.CAF	ANXA5
CAF.Qin23.ECM.CAF	ECM.CAF	NFATC2
CAF.Qin23.ECM.CAF	ECM.CAF	MFAP5
CAF.Qin23.ECM.CAF	ECM.CAF	NNMT
CAF.Qin23.ECM.CAF	ECM.CAF	CTGF
CAF.Qin23.ECM.CAF	ECM.CAF	F10
CAF.Qin23.ECM.CAF	ECM.CAF	DDX21
CAF.Qin23.ECM.CAF	ECM.CAF	C16orf89
CAF.Qin23.ECM.CAF	ECM.CAF	SDCBP
CAF.Qin23.ECM.CAF	ECM.CAF	CELF2
CAF.Qin23.ECM.CAF	ECM.CAF	ELN
CAF.Qin23.ECM.CAF	ECM.CAF	PTX3
CAF.Qin23.ECM.CAF	ECM.CAF	SCARA5
CAF.Qin23.ECM.CAF	ECM.CAF	FAM107A
CAF.Qin23.ECM.CAF	ECM.CAF	ABL2
CAF.Qin23.ECM.CAF	ECM.CAF	PAM
