signature_id	signature_name	gene
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LIMCH1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	A2M
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MYH10
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	ADH1B
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MACF1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SCN7A
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	FMO2
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	DPT
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	INMT
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	PTGDS
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	C7
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MFAP4
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	DST
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	MGP
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	GSN
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	FBLN1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LTBP2
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	GPC3
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SPARCL1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	PRELP
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	SEPP1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LTBP4
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	AC090498.1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	LAMB1
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	AlveolarFibro ADH1B+	RGCC
