signature_id	signature_name	gene
FIBROBLAST.Patrick24.F.SH	F.SH	Ly6c1
FIBROBLAST.Patrick24.F.SH	F.SH	Pi16
FIBROBLAST.Patrick24.F.SH	F.SH	Ly6a
FIBROBLAST.Patrick24.F.SH	F.SH	Cd248
FIBROBLAST.Patrick24.F.SH	F.SH	Gfpt2
FIBROBLAST.Patrick24.F.SH	F.SH	Tmem100
FIBROBLAST.Patrick24.F.SH	F.SH	Efhd1
FIBROBLAST.Patrick24.F.SH	F.SH	Ackr3
FIBROBLAST.Patrick24.F.SH	F.SH	Uap1
FIBROBLAST.Patrick24.F.SH	F.SH	Ugdh
FIBROBLAST.Patrick24.F.SH	F.SH	Scara5
FIBROBLAST.Patrick24.F.SH	F.SH	Cd55
FIBROBLAST.Patrick24.F.SH	F.SH	Lrrn4cl
FIBROBLAST.Patrick24.F.SH	F.SH	Clec3b
FIBROBLAST.Patrick24.F.SH	F.SH	Ifi27l2a
FIBROBLAST.Patrick24.F.SH	F.SH	Axl
FIBROBLAST.Patrick24.F.SH	F.SH	Sema3c
FIBROBLAST.Patrick24.F.SH	F.SH	Cd34
FIBROBLAST.Patrick24.F.SH	F.SH	Pcsk6
FIBROBLAST.Patrick24.F.SH	F.SH	Igfbp6
FIBROBLAST.Patrick24.F.SH	F.SH	Efemp1
FIBROBLAST.Patrick24.F.SH	F.SH	Jpt1
FIBROBLAST.Patrick24.F.SH	F.SH	Zfp385a
FIBROBLAST.Patrick24.F.SH	F.SH	Tppp3
FIBROBLAST.Patrick24.F.SH	F.SH	Klf4
FIBROBLAST.Patrick24.F.SH	F.SH	Pla1a
FIBROBLAST.Patrick24.F.SH	F.SH	Nbl1
FIBROBLAST.Patrick24.F.SH	F.SH	Ppp1r14b
FIBROBLAST.Patrick24.F.SH	F.SH	Adamts5
FIBROBLAST.Patrick24.F.SH	F.SH	Pgf
FIBROBLAST.Patrick24.F.SH	F.SH	Adgrd1
FIBROBLAST.Patrick24.F.SH	F.SH	Thbd
FIBROBLAST.Patrick24.F.SH	F.SH	Crip1
FIBROBLAST.Patrick24.F.SH	F.SH	Lims2
FIBROBLAST.Patrick24.F.SH	F.SH	Emilin2
FIBROBLAST.Patrick24.F.SH	F.SH	Pcolce2
FIBROBLAST.Patrick24.F.SH	F.SH	Ebf1
FIBROBLAST.Patrick24.F.SH	F.SH	Mfap5
FIBROBLAST.Patrick24.F.SH	F.SH	S100a10
FIBROBLAST.Patrick24.F.SH	F.SH	Gm12840
FIBROBLAST.Patrick24.F.SH	F.SH	Ugp2
FIBROBLAST.Patrick24.F.SH	F.SH	Mustn1
FIBROBLAST.Patrick24.F.SH	F.SH	Thy1
FIBROBLAST.Patrick24.F.SH	F.SH	Serpinb6a
FIBROBLAST.Patrick24.F.SH	F.SH	Timp2
FIBROBLAST.Patrick24.F.SH	F.SH	Anxa3
FIBROBLAST.Patrick24.F.SH	F.SH	Tnxb
FIBROBLAST.Patrick24.F.SH	F.SH	Myoc
FIBROBLAST.Patrick24.F.SH	F.SH	C3
FIBROBLAST.Patrick24.F.SH	F.SH	Carhsp1
FIBROBLAST.Patrick24.F.SH	F.SH	Hs3st1
FIBROBLAST.Patrick24.F.SH	F.SH	Creb5
FIBROBLAST.Patrick24.F.SH	F.SH	Uqcc2
FIBROBLAST.Patrick24.F.SH	F.SH	Ecm1
FIBROBLAST.Patrick24.F.SH	F.SH	Fbn1
FIBROBLAST.Patrick24.F.SH	F.SH	Selenbp1
FIBROBLAST.Patrick24.F.SH	F.SH	Htra4
FIBROBLAST.Patrick24.F.SH	F.SH	Cadm3
FIBROBLAST.Patrick24.F.SH	F.SH	Ramp2
FIBROBLAST.Patrick24.F.SH	F.SH	Gstm1
FIBROBLAST.Patrick24.F.SH	F.SH	Gda
FIBROBLAST.Patrick24.F.SH	F.SH	Emp3
FIBROBLAST.Patrick24.F.SH	F.SH	1700019D03Rik
FIBROBLAST.Patrick24.F.SH	F.SH	Klf2
FIBROBLAST.Patrick24.F.SH	F.SH	Actg1
FIBROBLAST.Patrick24.F.SH	F.SH	Lamc1
FIBROBLAST.Patrick24.F.SH	F.SH	Limch1
FIBROBLAST.Patrick24.F.SH	F.SH	Fbln2
FIBROBLAST.Patrick24.F.SH	F.SH	Ahnak2
FIBROBLAST.Patrick24.F.SH	F.SH	Crip2
FIBROBLAST.Patrick24.F.SH	F.SH	Ablim1
FIBROBLAST.Patrick24.F.SH	F.SH	Fhl1
FIBROBLAST.Patrick24.F.SH	F.SH	Dbn1
FIBROBLAST.Patrick24.F.SH	F.SH	S100a6
FIBROBLAST.Patrick24.F.SH	F.SH	Pmp22
FIBROBLAST.Patrick24.F.SH	F.SH	Slco3a1
FIBROBLAST.Patrick24.F.SH	F.SH	Anxa1
FIBROBLAST.Patrick24.F.SH	F.SH	Qpct
FIBROBLAST.Patrick24.F.SH	F.SH	Camk2n1
FIBROBLAST.Patrick24.F.SH	F.SH	Cdkn1a
FIBROBLAST.Patrick24.F.SH	F.SH	Plpp3
FIBROBLAST.Patrick24.F.SH	F.SH	Ces1d
FIBROBLAST.Patrick24.F.SH	F.SH	Cavin3
FIBROBLAST.Patrick24.F.SH	F.SH	Metrnl
FIBROBLAST.Patrick24.F.SH	F.SH	Ret
FIBROBLAST.Patrick24.F.SH	F.SH	S100a13
FIBROBLAST.Patrick24.F.SH	F.SH	Islr
FIBROBLAST.Patrick24.F.SH	F.SH	Ahnak
