signature_id	signature_name	gene
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	TFF3
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SPINK4
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGHG4
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FABP1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	REG4
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MUC2
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	FCGBP
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PHGR1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	B3GNT7
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	ZC3HAV1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	AL603756.1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGLC3
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGKC
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	REG1A
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	ANPEP
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	LGALS1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	SERPINA1
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	IGLC2
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PIGR
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PPP1R15A
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	MUC13
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	gastricTumorCell 1	PI3
