signature_id	signature_name	gene
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	TMPRSS4
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	BIK
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SERPINB5
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	KRT19
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	TRIM31
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C13ORF34
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CDH3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CAPG
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CEACAM6
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	IGFL2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	HK2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	STYK1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CEACAM5
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	QPCT
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	LAMB3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	TSPAN1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SLC6A14
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	RHBDL2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MXRA5
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GPR92
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CTSE
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ADAM8
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	DTX2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ASPHD2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	FLJ22662
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CYP2S1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C20ORF42
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ANKRD22
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C19ORF21
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	COL11A1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	PSCA
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C19ORF33
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GPR110
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ZBED2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	KRT17
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CD55
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ANLN
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	KCNK1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CORO2A
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ABHD9
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ITGB6
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	KLK7
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	PPP1R1B
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	NRP2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	PLEK2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C15ORF48
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GJB5
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	KIAA1199
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	FA2H
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	VDR
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	AP1S3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	PTPRR
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SLC4A11
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	DAPP1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MYEOV
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	USP54
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SLC16A3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GPR160
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	TJP3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MYH14
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SCIN
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	S100P
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CDCP1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	FXYD3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	BHLHB3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C1ORF135
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	PPP1R14D
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SFN
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MSLN
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ALDH3B1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	HSH2D
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CLIC3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	BCMO1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CDH17
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	REG4
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	LIPH
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MYO1A
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	MTMR11
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	DHDH
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SLC6A20
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	FAM83D
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GPA33
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	NOXO1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	NMU
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ST6GALNAC1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	APOBEC1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ITGA2
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GPR87
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	CEP55
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	HSPA1B
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	C1ORF178
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	ST14
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	GJB3
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	SIX4
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	OLR1
HCC.Petitprez19.andersen.cholangio.subtype1.dn	andersen cholangio subtype1 dn	BUB1
