signature_id	signature_name	gene
IMMUNE.Becht16.B.lineage	B.lineage	BANK1
IMMUNE.Becht16.B.lineage	B.lineage	CD19
IMMUNE.Becht16.B.lineage	B.lineage	CD22
IMMUNE.Becht16.B.lineage	B.lineage	CD79A
IMMUNE.Becht16.B.lineage	B.lineage	CR2
IMMUNE.Becht16.B.lineage	B.lineage	FCRL2
IMMUNE.Becht16.B.lineage	B.lineage	IGKC
IMMUNE.Becht16.B.lineage	B.lineage	MS4A1
IMMUNE.Becht16.B.lineage	B.lineage	PAX5
IMMUNE.Becht16.CD8Tcells	CD8Tcells	CD8B
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	CD8A
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	EOMES
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	FGFBP2
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	GNLY
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	KLRC3
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	KLRC4
IMMUNE.Becht16.Cytotox.lymph	Cytotox.lymph	KLRD1
IMMUNE.Becht16.Endothelial	Endothelial	ACVRL1
IMMUNE.Becht16.Endothelial	Endothelial	APLN
IMMUNE.Becht16.Endothelial	Endothelial	BCL6B
IMMUNE.Becht16.Endothelial	Endothelial	BMP6
IMMUNE.Becht16.Endothelial	Endothelial	BMX
IMMUNE.Becht16.Endothelial	Endothelial	CDH5
IMMUNE.Becht16.Endothelial	Endothelial	CLEC14A
IMMUNE.Becht16.Endothelial	Endothelial	CXORF36
IMMUNE.Becht16.Endothelial	Endothelial	EDN1
IMMUNE.Becht16.Endothelial	Endothelial	ELTD1
IMMUNE.Becht16.Endothelial	Endothelial	EMCN
IMMUNE.Becht16.Endothelial	Endothelial	ESAM
IMMUNE.Becht16.Endothelial	Endothelial	ESM1
IMMUNE.Becht16.Endothelial	Endothelial	FAM124B
IMMUNE.Becht16.Endothelial	Endothelial	HECW2
IMMUNE.Becht16.Endothelial	Endothelial	HHIP
IMMUNE.Becht16.Endothelial	Endothelial	KDR
IMMUNE.Becht16.Endothelial	Endothelial	MMRN1
IMMUNE.Becht16.Endothelial	Endothelial	MMRN2
IMMUNE.Becht16.Endothelial	Endothelial	MYCT1
IMMUNE.Becht16.Endothelial	Endothelial	PALMD
IMMUNE.Becht16.Endothelial	Endothelial	PEAR1
IMMUNE.Becht16.Endothelial	Endothelial	PGF
IMMUNE.Becht16.Endothelial	Endothelial	PLXNA2
IMMUNE.Becht16.Endothelial	Endothelial	PTPRB
IMMUNE.Becht16.Endothelial	Endothelial	ROBO4
IMMUNE.Becht16.Endothelial	Endothelial	SDPR
IMMUNE.Becht16.Endothelial	Endothelial	SHANK3
IMMUNE.Becht16.Endothelial	Endothelial	SHE
IMMUNE.Becht16.Endothelial	Endothelial	TEK
IMMUNE.Becht16.Endothelial	Endothelial	TIE1
IMMUNE.Becht16.Endothelial	Endothelial	VEPH1
IMMUNE.Becht16.Endothelial	Endothelial	VWF
IMMUNE.Becht16.Fibroblasts	Fibroblasts	COL1A1
IMMUNE.Becht16.Fibroblasts	Fibroblasts	COL3A1
IMMUNE.Becht16.Fibroblasts	Fibroblasts	COL6A1
IMMUNE.Becht16.Fibroblasts	Fibroblasts	COL6A2
IMMUNE.Becht16.Fibroblasts	Fibroblasts	DCN
IMMUNE.Becht16.Fibroblasts	Fibroblasts	GREM1
IMMUNE.Becht16.Fibroblasts	Fibroblasts	PAMR1
IMMUNE.Becht16.Fibroblasts	Fibroblasts	TAGLN
IMMUNE.Becht16.Mono.lineage	Mono.lineage	ADAP2
IMMUNE.Becht16.Mono.lineage	Mono.lineage	CSF1R
IMMUNE.Becht16.Mono.lineage	Mono.lineage	FPR3
IMMUNE.Becht16.Mono.lineage	Mono.lineage	KYNU
IMMUNE.Becht16.Mono.lineage	Mono.lineage	PLA2G7
IMMUNE.Becht16.Mono.lineage	Mono.lineage	RASSF4
IMMUNE.Becht16.Mono.lineage	Mono.lineage	TFEC
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1A
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1B
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	CD1E
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	CLEC10A
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	CLIC2
IMMUNE.Becht16.Myeloid.dendritic	Myeloid.dendritic	WFDC21P
IMMUNE.Becht16.Neutrophils	Neutrophils	CA4
IMMUNE.Becht16.Neutrophils	Neutrophils	CEACAM3
IMMUNE.Becht16.Neutrophils	Neutrophils	CXCR1
IMMUNE.Becht16.Neutrophils	Neutrophils	CXCR2
IMMUNE.Becht16.Neutrophils	Neutrophils	CYP4F3
IMMUNE.Becht16.Neutrophils	Neutrophils	FCGR3B
IMMUNE.Becht16.Neutrophils	Neutrophils	HAL
