signature_id	signature_name	gene
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA6
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA1A
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA1B
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJB1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPH1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSP90AA1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPE1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPB1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	BAG3
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPD1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJA1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSP90AB1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	JUN
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	NR4A1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	HSPA8
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	FOSB
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	FOS
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DUSP1
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJB4
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	DNAJA4
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	CD3D
IMMUNE.Chu23.CD4/CD8.c4.Tstr	CD4/CD8 c4 Tstr	CD3E
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	ISG15
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI6
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	MX1
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFI44L
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFIT3
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	IFIT1
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	RSAD2
IMMUNE.Chu23.CD8.c5.Tisg	CD8 c5 Tisg	OAS1
