signature_id	signature_name	gene
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	FCER1A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CLEC10A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD1C
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD1E
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQB1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DPB1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQA1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	GPR183
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRB5
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRB1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PPA1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	DUSP2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PKIB
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD74
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DRA
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CST7
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LGALS2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DPA1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CXCR4
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CST3
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DQB2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL4
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	IL1B
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD83
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	EEF1B2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPLP0
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL5
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LMNA
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	NDRG2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL10A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS7
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS5
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	EIF3L
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL3
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS8
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RGS1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	FCGR2B
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL7A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	INSIG1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PLD4
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS23
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	NR4A3
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS3
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL15
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	SLC38A1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LITAF
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL6
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	LTB
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	GZMB
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS18
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	JUNB
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS6
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CPVL
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	NR4A2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	EEF1A1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS3A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HLA-DMA
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	NPM1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	HERPUD1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS11
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	IL1R2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	ARL4C
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL30
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	REL
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS26
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL31
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL18A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	SPINT2
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL19
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPS19
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PAK1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	SGK1
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RPL23A
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	CD69
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	MYADM
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	RUNX3
IMMUNE.Mulder21.DC2.DC3.cluster14	DC2 DC3 cluster14	PPP1R14A
