signature_id	signature_name	gene
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD28
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	ICOSLG
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	ICOS
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TNFRSF9
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TNFSF9
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TNFSF4
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TNFRSF4
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD70
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD27
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CTLA4
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	PDCD1
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD274
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	PDCD1LG2
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD47
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	HAVCR2
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	LGALS9
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	ADORA2A
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD200
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD200R1
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD276
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	VTCN1
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TNFSF14
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	BTLA
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	TIGIT
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD8A
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	PRF1
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	IL10
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD80
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	GZMA
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	CD86
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	IFNG
IMMUNE.Rodrigues18.ICKrelated	ICKrelated	LAG3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	VCAM1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PIK3CG
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CXCL12
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ITGB2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD36
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	JAK2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD28
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ATM
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	SPN
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ATG7
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TANK
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MAP2K1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CLEC6A
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	LAIR2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CYBB
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	INPP5D
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TLR6
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL16
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IFNAR2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	XCR1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CR1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL7R
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD33
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PPARG
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CARD9
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	SELPLG
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	SH2B2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MRC1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCR2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CXCR6
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCND3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	BTLA
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	HLA-E
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TNFRSF1B
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PRF1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TFRC
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TLR4
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ELANE
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CTSW
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL10RA
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MYD88
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	BCL2L1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD3G
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TLR1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL24
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCR7
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MAPK14
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CEBPB
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ICAM2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL21R
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	SELL
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD5
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	BST1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCR1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	OSM
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CTSG
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL17RA
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PIK3CD
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCL24
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IRAK4
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ATG10
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PDCD1LG2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TNFRSF9
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ITGA2B
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	FUT7
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD163
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	HCK
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD244
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	NCF4
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ISG20
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	REL
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	NFATC3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCR5
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CSF1R
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	KLRG1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	HDAC3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	RUNX1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CFP
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MTMR14
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	FLT3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD96
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	MERTK
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD48
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CTSS
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	LILRB2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ICAM4
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD58
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD7
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PRG2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CSF1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CCRL2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	BCL10
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	GZMM
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CYLD
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	ICAM3
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IL1RAPL2
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TNFSF13
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD3D
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	IGLL1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	PTPRC
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CMKLR1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	RELB
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	CD80
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TP53
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	TAL1
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	NLRC5
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	S100A12
IMMUNE.Rodrigues18.GeneralImmu	GeneralImmu	LILRA5
