signature_id	signature_name	gene
IMMUNE.Wu24.ARG1+	ARG1+	HBA1
IMMUNE.Wu24.ARG1+	ARG1+	HBB
IMMUNE.Wu24.ARG1+	ARG1+	HBA2
IMMUNE.Wu24.ARG1+	ARG1+	HBD
IMMUNE.Wu24.ARG1+	ARG1+	H3-3A
IMMUNE.Wu24.ARG1+	ARG1+	H3-3B
IMMUNE.Wu24.ARG1+	ARG1+	AC005747-1
IMMUNE.Wu24.ARG1+	ARG1+	AL442635-1
IMMUNE.Wu24.ARG1+	ARG1+	CD163
IMMUNE.Wu24.ARG1+	ARG1+	BLVRB
IMMUNE.Wu24.ARG1+	ARG1+	OLAH
IMMUNE.Wu24.ARG1+	ARG1+	H2AZ1
IMMUNE.Wu24.ARG1+	ARG1+	AC132872-4
IMMUNE.Wu24.ARG1+	ARG1+	H2AC6
IMMUNE.Wu24.ARG1+	ARG1+	MTND5P32
IMMUNE.Wu24.ARG1+	ARG1+	RN7SL288P
IMMUNE.Wu24.ARG1+	ARG1+	NECAB1
IMMUNE.Wu24.ARG1+	ARG1+	AC093012-1
IMMUNE.Wu24.ARG1+	ARG1+	RN7SL368P
IMMUNE.Wu24.ARG1+	ARG1+	AC007278-1
IMMUNE.Wu24.ARG1+	ARG1+	NEAT1
IMMUNE.Wu24.ARG1+	ARG1+	TDRD9
IMMUNE.Wu24.ARG1+	ARG1+	DAAM2
IMMUNE.Wu24.ARG1+	ARG1+	GYG1
IMMUNE.Wu24.ARG1+	ARG1+	ZNF608
IMMUNE.Wu24.ARG1+	ARG1+	AC007278-2
IMMUNE.Wu24.ARG1+	ARG1+	RESF1
IMMUNE.Wu24.ARG1+	ARG1+	SYNE1
IMMUNE.Wu24.ARG1+	ARG1+	VNN1
IMMUNE.Wu24.ARG1+	ARG1+	CDK5RAP2
IMMUNE.Wu24.ARG1+	ARG1+	CERT1
IMMUNE.Wu24.ARG1+	ARG1+	AL627309-5
IMMUNE.Wu24.ARG1+	ARG1+	NFE2
IMMUNE.Wu24.ARG1+	ARG1+	NCF1C
IMMUNE.Wu24.ARG1+	ARG1+	KLF9
IMMUNE.Wu24.ARG1+	ARG1+	ARG1
IMMUNE.Wu24.ARG1+	ARG1+	ZDHHC20
IMMUNE.Wu24.ARG1+	ARG1+	IRF2BPL
IMMUNE.Wu24.ARG1+	ARG1+	ALPL
IMMUNE.Wu24.ARG1+	ARG1+	CST7
IMMUNE.Wu24.ARG1+	ARG1+	TSPO
IMMUNE.Wu24.ARG1+	ARG1+	NAIP
IMMUNE.Wu24.ARG1+	ARG1+	MAPK14
IMMUNE.Wu24.ARG1+	ARG1+	FLOT2
IMMUNE.Wu24.ARG1+	ARG1+	F5
IMMUNE.Wu24.ARG1+	ARG1+	CSGALNACT1
IMMUNE.Wu24.ARG1+	ARG1+	IGHA1
IMMUNE.Wu24.ARG1+	ARG1+	FUT7
IMMUNE.Wu24.ARG1+	ARG1+	S1PR4
IMMUNE.Wu24.ARG1+	ARG1+	AGFG1
IMMUNE.Wu24.ARG1+	ARG1+	SLC8A1
IMMUNE.Wu24.ARG1+	ARG1+	EMB
IMMUNE.Wu24.ARG1+	ARG1+	CFD
IMMUNE.Wu24.ARG1+	ARG1+	KREMEN1
IMMUNE.Wu24.ARG1+	ARG1+	PYGL
IMMUNE.Wu24.ARG1+	ARG1+	METTL9
IMMUNE.Wu24.ARG1+	ARG1+	ACAP1
IMMUNE.Wu24.ARG1+	ARG1+	FKBP5
IMMUNE.Wu24.ARG1+	ARG1+	IL18R1
IMMUNE.Wu24.ARG1+	ARG1+	IGLC2
IMMUNE.Wu24.ARG1+	ARG1+	RNF10
IMMUNE.Wu24.ARG1+	ARG1+	SLC40A1
