signature_id	signature_name	gene
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TOP2A
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2C
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HMGB2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	NUSAP1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPF
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNB1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TPX2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKS2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	BIRC5
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PRC1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PTTG1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KPNA2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	MKI67
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDC20
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDK1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNB2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDKN3
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	SMC4
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	NUF2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ARL6IP1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKAP2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ASPM
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PLK1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CKS1B
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CCNA2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	AURKA
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	MAD2L1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	GTSE1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HMMR
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2T
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPE
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPA
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF20B
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	AURKB
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDCA3
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CDCA8
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	UBE2S
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KNSTRN
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF2C
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	PBK
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TUBA1B
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	DLGAP5
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	TACC3
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	STMN1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	DEPDC1
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ECT2
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	CENPW
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	ZWINT
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	HIST1H4C
PAN_CANCER.Gavish23.MP1.Cell.Cycle.G2.M	MP1.Cell.Cycle.G2.M	KIF23
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	PCNA
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RRM2
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	FEN1
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	GINS2
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	TYMS
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM3
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	GMNN
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HIST1H4C
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CLSPN
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ATAD2
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	TK1
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	KIAA0101
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DUT
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HELLS
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM7
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	UBE2T
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM4
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	CENPU
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DHFR
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ZWINT
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	ASF1B
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	MCM5
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	DNAJC9
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	RFC4
PAN_CANCER.Gavish23.MP2.Cell.Cycle.G1.S	MP2.Cell.Cycle.G1.S	HMGB2
