signature_id	signature_name	gene
PDAC.Nicolle17.classical	classical	LGMN
PDAC.Nicolle17.classical	classical	TSPO2
PDAC.Nicolle17.classical	classical	KALRN
PDAC.Nicolle17.classical	classical	PRR15L
PDAC.Nicolle17.classical	classical	CADPS
PDAC.Nicolle17.classical	classical	SMPD3
PDAC.Nicolle17.classical	classical	CTSE
PDAC.Nicolle17.classical	classical	SLC6A20
PDAC.Nicolle17.classical	classical	CES2
PDAC.Nicolle17.classical	classical	REG4
PDAC.Nicolle17.classical	classical	PPFIBP2
PDAC.Nicolle17.classical	classical	CAPN5
PDAC.Nicolle17.classical	classical	GATA6
PDAC.Nicolle17.classical	classical	CREB3L1
PDAC.Nicolle17.classical	classical	OSBPL7
PDAC.Nicolle17.classical	classical	KCNE3
PDAC.Nicolle17.classical	classical	LYZ
PDAC.Nicolle17.classical	classical	FAM83E
PDAC.Nicolle17.classical	classical	CYSTM1
PDAC.Nicolle17.classical	classical	ANXA10
PDAC.Nicolle17.classical	classical	HSD17B2
PDAC.Nicolle17.classical	classical	FAM109A
PDAC.Nicolle17.classical	classical	NR1I2
PDAC.Nicolle17.classical	classical	TM9SF3
PDAC.Nicolle17.classical	classical	ALDH2
PDAC.Nicolle17.classical	classical	BCL11B
PDAC.Nicolle17.classical	classical	ZBTB18
PDAC.Nicolle17.classical	classical	KCNK10
PDAC.Nicolle17.classical	classical	IQGAP2
PDAC.Nicolle17.classical	classical	CCR9
PDAC.Nicolle17.classical	classical	SEMG1
PDAC.Nicolle17.classical	classical	PAQR8
PDAC.Nicolle17.classical	classical	CCRL2
PDAC.Nicolle17.classical	classical	ACPP
PDAC.Nicolle17.classical	classical	CA3
PDAC.Nicolle17.classical	classical	PDX1
PDAC.Nicolle17.classical	classical	FAM221A
PDAC.Nicolle17.classical	classical	ZFPM1
PDAC.Nicolle17.classical	classical	AMN
PDAC.Nicolle17.classical	classical	TNFRSF11A
PDAC.Nicolle17.classical	classical	PKDCC
PDAC.Nicolle17.classical	classical	RNASE1
PDAC.Nicolle17.classical	classical	C2CD4B
