signature_id	signature_name	gene
CAF.Elyada19.iCAF	iCAF	C3
CAF.Elyada19.iCAF	iCAF	DUSP1
CAF.Elyada19.iCAF	iCAF	FBLN1
CAF.Elyada19.iCAF	iCAF	LMNA
CAF.Elyada19.iCAF	iCAF	CLU
CAF.Elyada19.iCAF	iCAF	CCDC80
CAF.Elyada19.iCAF	iCAF	MYC
CAF.Elyada19.iCAF	iCAF	EFEMP1
CAF.Elyada19.iCAF	iCAF	HAS1
CAF.Elyada19.iCAF	iCAF	NR4A1
CAF.Elyada19.iCAF	iCAF	CFD
CAF.Elyada19.iCAF	iCAF	ANXA1
CAF.Elyada19.iCAF	iCAF	CXCL12
CAF.Elyada19.iCAF	iCAF	FGF7
CAF.Elyada19.iCAF	iCAF	KLF4
CAF.Elyada19.iCAF	iCAF	EMP1
CAF.Elyada19.iCAF	iCAF	GPRC5A
CAF.Elyada19.iCAF	iCAF	SRPX
CAF.Elyada19.iCAF	iCAF	MT2A
CAF.Elyada19.iCAF	iCAF	MEDAG
CAF.Elyada19.iCAF	iCAF	IGF1
CAF.Elyada19.iCAF	iCAF	MGST1
CAF.Elyada19.iCAF	iCAF	MCL1
CAF.Elyada19.iCAF	iCAF	CEBPD
CAF.Elyada19.iCAF	iCAF	S100A10
CAF.Elyada19.iCAF	iCAF	UAP1
CAF.Elyada19.iCAF	iCAF	TNXB
CAF.Elyada19.iCAF	iCAF	CEBPB
CAF.Elyada19.iCAF	iCAF	PNRC1
CAF.Elyada19.iCAF	iCAF	SOCS3
CAF.Elyada19.iCAF	iCAF	PTGDS
CAF.Elyada19.iCAF	iCAF	FOSB
CAF.Elyada19.iCAF	iCAF	NFKBIA
CAF.Elyada19.iCAF	iCAF	CXCL2
CAF.Elyada19.iCAF	iCAF	THBS1
CAF.Elyada19.iCAF	iCAF	CCL2
CAF.Elyada19.iCAF	iCAF	OGN
CAF.Elyada19.iCAF	iCAF	GSN
CAF.Elyada19.iCAF	iCAF	DPT
CAF.Elyada19.iCAF	iCAF	PLA2G2A
CAF.Elyada19.iCAF	iCAF	NAMPT
CAF.Elyada19.iCAF	iCAF	ITM2A
CAF.Elyada19.iCAF	iCAF	RGCC
CAF.Elyada19.iCAF	iCAF	JUND
CAF.Elyada19.iCAF	iCAF	NNMT
CAF.Elyada19.iCAF	iCAF	ZFP36
CAF.Elyada19.iCAF	iCAF	PIM1
CAF.Elyada19.iCAF	iCAF	CPE
CAF.Elyada19.iCAF	iCAF	GFPT2
CAF.Elyada19.iCAF	iCAF	SOD2
CAF.Elyada19.iCAF	iCAF	KDM6B
CAF.Elyada19.iCAF	iCAF	FSTL1
CAF.Elyada19.iCAF	iCAF	FBLN2
CAF.Elyada19.iCAF	iCAF	NR4A3
CAF.Elyada19.iCAF	iCAF	MFAP5
CAF.Elyada19.iCAF	iCAF	ABL2
CAF.Elyada19.iCAF	iCAF	SGK1
CAF.Elyada19.iCAF	iCAF	CILP
CAF.Elyada19.iCAF	iCAF	UGDH
CAF.Elyada19.iCAF	iCAF	FBLN5
CAF.Elyada19.iCAF	iCAF	ADAMTS1
CAF.Elyada19.iCAF	iCAF	ADH1B
CAF.Elyada19.iCAF	iCAF	WISP2
CAF.Elyada19.iCAF	iCAF	GPX3
CAF.Elyada19.iCAF	iCAF	S100A4
CAF.Elyada19.iCAF	iCAF	IL6
CAF.Elyada19.iCAF	iCAF	HAS2
CAF.Elyada19.iCAF	iCAF	PLAC9
CAF.Elyada19.iCAF	iCAF	IGFBP6
CAF.Elyada19.iCAF	iCAF	FBN1
CAF.Elyada19.iCAF	iCAF	BDKRB1
CAF.Elyada19.iCAF	iCAF	TPPP3
CAF.Elyada19.iCAF	iCAF	RASD1
CAF.Elyada19.iCAF	iCAF	MT1A
CAF.Elyada19.iCAF	iCAF	CXCL14
CAF.Elyada19.iCAF	iCAF	PI16
CAF.Elyada19.iCAF	iCAF	APOE
CAF.Elyada19.iCAF	iCAF	IL8
CAF.Elyada19.iCAF	iCAF	ARC
CAF.Elyada19.iCAF	iCAF	PTX3
CAF.Elyada19.iCAF	iCAF	TNFAIP6
CAF.Elyada19.iCAF	iCAF	MT1E
CAF.Elyada19.iCAF	iCAF	MT1X
CAF.Elyada19.iCAF	iCAF	CXCL1
CAF.Elyada19.myo	myo	MYL9
CAF.Elyada19.myo	myo	CALD1
CAF.Elyada19.myo	myo	MMP11
CAF.Elyada19.myo	myo	HOPX
CAF.Elyada19.myo	myo	BGN
CAF.Elyada19.myo	myo	IGFBP7
CAF.Elyada19.myo	myo	TPM2
CAF.Elyada19.myo	myo	CTHRC1
CAF.Elyada19.myo	myo	ACTA2
CAF.Elyada19.myo	myo	TAGLN
CAF.Elyada19.myo	myo	INHBA
CAF.Elyada19.myo	myo	COL10A1
CAF.Elyada19.myo	myo	TPM1
CAF.Elyada19.myo	myo	POSTN
CAF.Elyada19.myo	myo	GRP
CAF.Elyada19.myo	myo	CST1
