signature_id	signature_name	gene
CAF.Xing21.Normal.Fibroblast	Normal.Fibroblast	RGCC
CAF.Xing21.Normal.Fibroblast	Normal.Fibroblast	MACF1
CAF.Xing21.Normal.Fibroblast	Normal.Fibroblast	A2M
CAF.Xing21.Normal.Fibroblast	Normal.Fibroblast	DST
CAF.Xing21.Normal.Fibroblast	Normal.Fibroblast	NPNT
CAF.Xing21.Myofibroblast	Myofibroblast	ACTA2
CAF.Xing21.Myofibroblast	Myofibroblast	MYL9
CAF.Xing21.Myofibroblast	Myofibroblast	PTN
CAF.Xing21.Myofibroblast	Myofibroblast	MT2A
CAF.Xing21.Myofibroblast	Myofibroblast	FAM162B
CAF.Xing21.Myofibroblast	Myofibroblast	KCNK3
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	COL3A1
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	COL1A1
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	COL1A2
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	POSTN
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	FAP
CAF.Xing21.Cancer.associated.Fibroblast	Cancer.associated.Fibroblast	TGFB1
CAF.Xing21.Immune.modulatory.Fibroblast	Immune.modulatory.Fibroblast	OGN
CAF.Xing21.Immune.modulatory.Fibroblast	Immune.modulatory.Fibroblast	GSN
CAF.Xing21.Immune.modulatory.Fibroblast	Immune.modulatory.Fibroblast	CFD
CAF.Xing21.Immune.modulatory.Fibroblast	Immune.modulatory.Fibroblast	CXCL14
