signature_id	signature_name	gene
CAF.Zhang23.iCAF.CFD	iCAF.CFD	PLA2G2A
CAF.Zhang23.iCAF.CFD	iCAF.CFD	C3
CAF.Zhang23.iCAF.CFD	iCAF.CFD	C7
CAF.Zhang23.iCAF.CFD	iCAF.CFD	CHRDL1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	OGN
CAF.Zhang23.iCAF.CFD	iCAF.CFD	HAS1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	IGF1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	PI16
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ABI3BP
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MT1A
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SCARA5
CAF.Zhang23.iCAF.CFD	iCAF.CFD	IL6
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ABCA8
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ANK2
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SFRP1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MEDAG
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MT2A
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SOD2
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ADH1B
CAF.Zhang23.iCAF.CFD	iCAF.CFD	APOD
CAF.Zhang23.iCAF.CFD	iCAF.CFD	CFD
CAF.Zhang23.iCAF.CFD	iCAF.CFD	GPX3
CAF.Zhang23.iCAF.CFD	iCAF.CFD	CYP1B1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	COL14A1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ALDH1A3
CAF.Zhang23.iCAF.CFD	iCAF.CFD	FBLN5
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ITM2A
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MGP
CAF.Zhang23.iCAF.CFD	iCAF.CFD	CILP
CAF.Zhang23.iCAF.CFD	iCAF.CFD	RSPO3
CAF.Zhang23.iCAF.CFD	iCAF.CFD	NEGR1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SRPX
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SERPING1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MT1X
CAF.Zhang23.iCAF.CFD	iCAF.CFD	C1R
CAF.Zhang23.iCAF.CFD	iCAF.CFD	PTX3
CAF.Zhang23.iCAF.CFD	iCAF.CFD	C1S
CAF.Zhang23.iCAF.CFD	iCAF.CFD	MT1M
CAF.Zhang23.iCAF.CFD	iCAF.CFD	APOE
CAF.Zhang23.iCAF.CFD	iCAF.CFD	CXCL2
CAF.Zhang23.iCAF.CFD	iCAF.CFD	ANGPTL4
CAF.Zhang23.iCAF.CFD	iCAF.CFD	PODN
CAF.Zhang23.iCAF.CFD	iCAF.CFD	GFPT2
CAF.Zhang23.iCAF.CFD	iCAF.CFD	DCLK1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	SERPINF1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	EFEMP1
CAF.Zhang23.iCAF.CFD	iCAF.CFD	FGG
