signature_id	signature_name	gene
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ACVRL1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	JAG1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ANGPT1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ANGPT2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	CD34
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	CDC42
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	MAPK14
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	TYMP
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	EDN1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	EFNB2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	EGR3
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	EPHB4
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PTK2B
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FGF2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FGFR1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	VEGFD
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FOXC2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FLT1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FLT4
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FN1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	GPLD1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	NR4A1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ID1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ITGA5
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ITGAV
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ITGB1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	KDR
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	LOXL2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	MMP14
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	NOTCH1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PDGFA
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PDGFRB
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PGF
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PIK3CA
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PTGS2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PTK2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ROBO1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SHC1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SRF
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	TAL1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	TDGF1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	TEK
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	VAV2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	VEGFA
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	VEGFC
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	FGF18
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	NRP1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SEMA5A
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	RAMP2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	CIB1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ESM1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	JMJD6
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	HEY1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	ADGRA2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	GREM1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SRPX2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SOX18
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PARVA
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	RNF213
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	E2F8
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	RSPO3
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	OTULIN
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	E2F7
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	CCBE1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	BMPER
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	NRARP
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	TNFAIP6
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	VCAN
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	SPP1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	CCND2
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	PIK3R1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	STC1
CANCERSEA.Yuan18.Angiogenesis	Angiogenesis	JAG2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	APAF1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	ATF4
CANCERSEA.Yuan18.Apoptosis	Apoptosis	ATM
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BAK1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BID
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BOK
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BRCA2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CASP2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CASP4
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CASP9
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DAPK3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DDIT3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	E2F2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	EP300
CANCERSEA.Yuan18.Apoptosis	Apoptosis	GSN
CANCERSEA.Yuan18.Apoptosis	Apoptosis	IFI16
CANCERSEA.Yuan18.Apoptosis	Apoptosis	INHBA
CANCERSEA.Yuan18.Apoptosis	Apoptosis	KRT8
CANCERSEA.Yuan18.Apoptosis	Apoptosis	LGALS9
CANCERSEA.Yuan18.Apoptosis	Apoptosis	NFATC4
CANCERSEA.Yuan18.Apoptosis	Apoptosis	P2RX7
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PMAIP1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	POLB
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PPP2R1B
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PPP2R5C
CANCERSEA.Yuan18.Apoptosis	Apoptosis	SORT1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	SKIL
CANCERSEA.Yuan18.Apoptosis	Apoptosis	STK3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	STK4
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TIMP3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TNFRSF1A
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TNFRSF1B
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TP53BP2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DYRK2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CRADD
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BCL10
CANCERSEA.Yuan18.Apoptosis	Apoptosis	AIFM1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BCL2L11
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DNM1L
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BCAP31
CANCERSEA.Yuan18.Apoptosis	Apoptosis	SIVA1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	MLLT11
CANCERSEA.Yuan18.Apoptosis	Apoptosis	RIPK3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	SNW1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PPP1R13B
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PHLDA3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	NUPR1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BBC3
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CIDEB
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TNFRSF21
CANCERSEA.Yuan18.Apoptosis	Apoptosis	PYCARD
CANCERSEA.Yuan18.Apoptosis	Apoptosis	CDIP1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	G0S2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	SHISA5
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TNFRSF12A
CANCERSEA.Yuan18.Apoptosis	Apoptosis	WWOX
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DDIT4
CANCERSEA.Yuan18.Apoptosis	Apoptosis	USP28
CANCERSEA.Yuan18.Apoptosis	Apoptosis	MOAP1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	AEN
CANCERSEA.Yuan18.Apoptosis	Apoptosis	TMEM109
CANCERSEA.Yuan18.Apoptosis	Apoptosis	APOPT1
CANCERSEA.Yuan18.Apoptosis	Apoptosis	BMF
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DAB2IP
CANCERSEA.Yuan18.Apoptosis	Apoptosis	DEDD2
CANCERSEA.Yuan18.Apoptosis	Apoptosis	ST20
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	ANLN
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	ANP32E
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	ATAD2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	AURKA
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	BRIP1
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CASP8AP2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CBX5
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CCNA2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CCNB2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CCND1
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CCNE1
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CCNE2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDC25C
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDC45
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDC6
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDCA2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDCA3
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CDCA8
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CENPA
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CENPE
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CHAF1B
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CKAP2L
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CKAP5
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CKS1B
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CKS2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	CLSPN
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	DHFR
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	DLGAP5
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	DSCC1
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	DTL
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	ECT2
CANCERSEA.Yuan18.Cell.Cycle	Cell.Cycle	EXO1
