signature_id	signature_name	gene
CCA.Sia13.PROLIFGenes	PROLIFGenes	ZFP36L1
CCA.Sia13.PROLIFGenes	PROLIFGenes	CRY1
CCA.Sia13.PROLIFGenes	PROLIFGenes	FAM120A
CCA.Sia13.PROLIFGenes	PROLIFGenes	NSUN2
CCA.Sia13.PROLIFGenes	PROLIFGenes	DDX17
CCA.Sia13.PROLIFGenes	PROLIFGenes	C12ORF47
CCA.Sia13.PROLIFGenes	PROLIFGenes	PCBP2
CCA.Sia13.PROLIFGenes	PROLIFGenes	RPS13
CCA.Sia13.PROLIFGenes	PROLIFGenes	YIPF3
CCA.Sia13.PROLIFGenes	PROLIFGenes	FERMT2
CCA.Sia13.PROLIFGenes	PROLIFGenes	MRLC2
CCA.Sia13.PROLIFGenes	PROLIFGenes	SNRPG
CCA.Sia13.PROLIFGenes	PROLIFGenes	SNRK
CCA.Sia13.PROLIFGenes	PROLIFGenes	USP8
CCA.Sia13.PROLIFGenes	PROLIFGenes	NACA
CCA.Sia13.PROLIFGenes	PROLIFGenes	RPL36AL
CCA.Sia13.PROLIFGenes	PROLIFGenes	MRCL3
CCA.Sia13.PROLIFGenes	PROLIFGenes	HSPB1
CCA.Sia13.PROLIFGenes	PROLIFGenes	ITGB1
CCA.Sia13.PROLIFGenes	PROLIFGenes	GNS
CCA.Sia13.PROLIFGenes	PROLIFGenes	HCFC1
CCA.Sia13.PROLIFGenes	PROLIFGenes	ZNF622
CCA.Sia13.PROLIFGenes	PROLIFGenes	SSBP1
CCA.Sia13.PROLIFGenes	PROLIFGenes	PSMC5
CCA.Sia13.PROLIFGenes	PROLIFGenes	TWF1
CCA.Sia13.PROLIFGenes	PROLIFGenes	TSN
CCA.Sia13.PROLIFGenes	PROLIFGenes	CEBPZ
CCA.Sia13.PROLIFGenes	PROLIFGenes	HEBP2
CCA.Sia13.PROLIFGenes	PROLIFGenes	SBDS
CCA.Sia13.PROLIFGenes	PROLIFGenes	UBXN4
CCA.Sia13.PROLIFGenes	PROLIFGenes	MYH10
CCA.Sia13.PROLIFGenes	PROLIFGenes	CCNK
CCA.Sia13.PROLIFGenes	PROLIFGenes	C16ORF61
CCA.Sia13.PROLIFGenes	PROLIFGenes	KPNB1
CCA.Sia13.PROLIFGenes	PROLIFGenes	TLK1
CCA.Sia13.PROLIFGenes	PROLIFGenes	ITGAV
CCA.Sia13.PROLIFGenes	PROLIFGenes	DDB1
CCA.Sia13.PROLIFGenes	PROLIFGenes	PPP6C
