signature_id	signature_name	gene	species	cell_family	context	disease	tags
CELL.PanglaoDB2020.human.Blood.Erythroblasts	Blood.Erythroblasts	KMT5A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	AHSP	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	GYPB	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBA1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBA2	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBB	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBD	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBG1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBG2	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	Blood.Erythroid.like.and.erythroid.precursor.cells	HBM	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	C2ORF88	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	CA2	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	CAVIN2	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	ERO1A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	FCGR2A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	HLA-A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	MPIG6B	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	NOX5	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Blood.Platelets	Blood.Platelets	RTL8B	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Blood
CELL.PanglaoDB2020.human.Bone.Hematopoietic.stem.cells	Bone.Hematopoietic.stem.cells	ABCB1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Bone.Hematopoietic.stem.cells	Bone.Hematopoietic.stem.cells	CD59	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Bone.Hematopoietic.stem.cells	Bone.Hematopoietic.stem.cells	KITLG	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Bone.Osteoblasts	Bone.Osteoblasts	TNFRSF10A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Bone.Osteoclasts	Bone.Osteoclasts	CA2	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Bone.Osteoclasts	Bone.Osteoclasts	LTB4R	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Bone
CELL.PanglaoDB2020.human.Brain.Anterior.pituitary.gland.cells	Brain.Anterior.pituitary.gland.cells	GH1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Cajal.Retzius.cells	Brain.Cajal.Retzius.cells	HAR1A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Dopaminergic.neurons	Brain.Dopaminergic.neurons	SCN2A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Neuroblasts	Brain.Neuroblasts	KLK3	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Oligodendrocytes	Brain.Oligodendrocytes	TF	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Retinal.ganglion.cells	Brain.Retinal.ganglion.cells	RNU1-1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Brain.Satellite.glial.cells	Brain.Satellite.glial.cells	CXCL8	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Brain
CELL.PanglaoDB2020.human.Connective.tissue.Adipocyte.progenitor.cells	Connective.tissue.Adipocyte.progenitor.cells	ZNF521	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Adipocytes	Connective.tissue.Adipocytes	CAVIN1	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Adipocytes	Connective.tissue.Adipocytes	MT2A	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Adipocytes	Connective.tissue.Adipocytes	ZNF423	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Chondrocytes	Connective.tissue.Chondrocytes	SHOX	human	unknown	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Fibroblasts	Connective.tissue.Fibroblasts	C1S	human	fibroblast	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Fibroblasts	Connective.tissue.Fibroblasts	CXCL8	human	fibroblast	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Stromal.cells	Connective.tissue.Stromal.cells	ICAM3	human	stromal	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
CELL.PanglaoDB2020.human.Connective.tissue.Stromal.cells	Connective.tissue.Stromal.cells	MMP1	human	stromal	physiology	unknown	PanglaoDB;marker_gene_set;Connective.tissue
