signature_id	signature_name	gene
ECM.Helms22.PSCcaf	PSCcaf	VCAN
ECM.Helms22.PSCcaf	PSCcaf	TNC
ECM.Helms22.PSCcaf	PSCcaf	ELN
ECM.Helms22.PSCcaf	PSCcaf	COL23A1
ECM.Helms22.PSCcaf	PSCcaf	COL11A1
ECM.Helms22.PSCcaf	PSCcaf	P4HA2
ECM.Helms22.PSCcaf	PSCcaf	NTN4
ECM.Helms22.PSCcaf	PSCcaf	ITGA8
ECM.Helms22.PSCcaf	PSCcaf	COL5A3
ECM.Helms22.PSCcaf	PSCcaf	ITGB5
ECM.Helms22.PSCcaf	PSCcaf	PLOD1
ECM.Helms22.PSCcaf	PSCcaf	COL16A1
ECM.Helms22.PSCcaf	PSCcaf	ADAMTS2
ECM.Helms22.PSCcaf	PSCcaf	MMP2
ECM.Helms22.PSCcaf	PSCcaf	LAMB1
ECM.Helms22.PSCcaf	PSCcaf	MMP11
ECM.Helms22.PSCcaf	PSCcaf	LAMA1
ECM.Helms22.PSCcaf	PSCcaf	MMP15
ECM.Helms22.PSCcaf	PSCcaf	CAPN15
ECM.Helms22.PSCcaf	PSCcaf	COMP
ECM.Helms22.PSCcaf	PSCcaf	SERPINE1
ECM.Helms22.PSCcaf	PSCcaf	PLOD3
ECM.Helms22.PSCcaf	PSCcaf	ASPN
ECM.Helms22.PSCcaf	PSCcaf	SH3PXD2A
ECM.Helms22.PSCcaf	PSCcaf	ICAM2
ECM.Helms22.PSCcaf	PSCcaf	COL1A1
ECM.Helms22.PSCcaf	PSCcaf	P3H3
ECM.Helms22.PSCcaf	PSCcaf	COL12A1
ECM.Helms22.PSCcaf	PSCcaf	LAMA4
ECM.Helms22.PSCcaf	PSCcaf	LOX
ECM.Helms22.PSCcaf	PSCcaf	SPARC
ECM.Helms22.PSCcaf	PSCcaf	COL7A1
ECM.Helms22.PSCcaf	PSCcaf	LOXL3
ECM.Helms22.PSCcaf	PSCcaf	FN1
ECM.Helms22.PSCcaf	PSCcaf	NID1
ECM.Helms22.PSCcaf	PSCcaf	MFAP2
ECM.Helms22.PSCcaf	PSCcaf	P3H1
ECM.Helms22.PSCcaf	PSCcaf	LTBP2
ECM.Helms22.PSCcaf	PSCcaf	TGFB3
ECM.Helms22.PSCcaf	PSCcaf	TNN
ECM.Helms22.PSCcaf	PSCcaf	BMP2
ECM.Helms22.PSCcaf	PSCcaf	LOXL1
ECM.Helms22.PSCcaf	PSCcaf	COLGALT1
ECM.Helms22.PSCcaf	PSCcaf	PXDN
ECM.Helms22.PSCcaf	PSCcaf	COL5A1
ECM.Helms22.PSCcaf	PSCcaf	LOXL2
ECM.Helms22.PSCcaf	PSCcaf	COL4A2
ECM.Helms22.PSCcaf	PSCcaf	ADAM19
ECM.Helms22.PSCcaf	PSCcaf	LAMC1
ECM.Helms22.PSCcaf	PSCcaf	THBS1
ECM.Helms22.PSCcaf	PSCcaf	ITGA11
ECM.Helms22.PSCcaf	PSCcaf	EMILIN1
ECM.Helms22.PSCcaf	PSCcaf	ADAMTS14
ECM.Helms22.PSCcaf	PSCcaf	FGF2
ECM.Helms22.PSCcaf	PSCcaf	FBN2
ECM.Helms22.PSCcaf	PSCcaf	FURIN
ECM.Helms22.PSCcaf	PSCcaf	COL6A1
ECM.Helms22.PSCcaf	PSCcaf	COL6A2
ECM.Helms22.PSCcaf	PSCcaf	HSPG2
ECM.Helms22.PSCcaf	PSCcaf	CTSK
ECM.Helms22.PSCcaf	PSCcaf	ITGA9
ECM.Helms22.PSCcaf	PSCcaf	COL8A1
ECM.Helms22.PSCcaf	PSCcaf	HAPLN1
ECM.Helms22.PSCcaf	PSCcaf	CASK
ECM.Helms22.PSCcaf	PSCcaf	ADAM12
ECM.Helms22.PSCcaf	PSCcaf	P4HA3
ECM.Helms22.PSCcaf	PSCcaf	DST
ECM.Helms22.PSCcaf	PSCcaf	PLOD2
ECM.Helms22.PSCcaf	PSCcaf	PRKCA
ECM.Helms22.PSCcaf	PSCcaf	ADAMTS1
ECM.Helms22.PSCcaf	PSCcaf	ADAMTS3
ECM.Helms22.PSCcaf	PSCcaf	MMP14
ECM.Helms22.PSCcaf	PSCcaf	ADAMTS4
ECM.Helms22.PSCcaf	PSCcaf	SCUBE1
ECM.Helms22.PSCcaf	PSCcaf	ITGA5
ECM.Helms22.PSCcaf	PSCcaf	SDC3
ECM.Helms22.PSCcaf	PSCcaf	COL6A3
ECM.Helms22.PSCcaf	PSCcaf	FBLN2
ECM.Helms22.PSCcaf	PSCcaf	COL1A2
ECM.Helms22.PSCcaf	PSCcaf	FBN1
ECM.Helms22.PSCcaf	PSCcaf	MFAP4
ECM.Helms22.PSCcaf	PSCcaf	BMP1
ECM.Helms22.PSCcaf	PSCcaf	COL3A1
ECM.Helms22.PSCcaf	PSCcaf	ADAM9
ECM.Helms22.PSCcaf	PSCcaf	COL8A2
ECM.Helms22.PSCcaf	PSCcaf	LAMB2
ECM.Helms22.PSCcaf	PSCcaf	EFEMP2
ECM.Helms22.PSCcaf	PSCcaf	A2M
ECM.Helms22.PSCcaf	PSCcaf	PLEC
ECM.Helms22.PSCcaf	PSCcaf	BGN
ECM.Helms22.PSCcaf	PSCcaf	COL4A1
ECM.Helms22.PSCcaf	PSCcaf	LAMA2
ECM.Helms22.PSCcaf	PSCcaf	COL27A1
ECM.Helms22.PSCcaf	PSCcaf	COL5A2
ECM.Helms22.PSCcaf	PSCcaf	COL15A1
ECM.Helms22.PSCcaf	PSCcaf	COL6A6
ECM.Helms22.PSCcaf	PSCcaf	ITGA1
ECM.Helms22.PSCcaf	PSCcaf	ITGB3
ECM.Helms22.PSCcaf	PSCcaf	PECAM1
