signature_id	signature_name	gene
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FCGR3A
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RHOC
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CDKN1C
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LST1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TCF7L2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MTSS1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM3
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SERPINA1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LY6E
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CFD
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD52
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LYN
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRB2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LRRC25
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	COTL1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TNFRSF1B
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	STXBP2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	NAP1L1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MS4A7
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FCER1G
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S100A4
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SPN
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PILRA
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	AIF1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LIMD2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFI30
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	POU2F2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PSAP
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	WARS
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTPRC
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LYST
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SYTL1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	GPBAR1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	BIN2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	OAS1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HES4
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FGR
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S100A11
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CTSS
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ITGAL
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD37
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MYO1G
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CUX1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MAPKAPK3
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	NAAA
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CORO1A
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	KLF3
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HLA-E
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	IFITM1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	EMP3
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CSK
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SPI1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TXNIP
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	VASP
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SLC2A6
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTP4A2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	KLF2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FLNA
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PTPN6
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	UNC119
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	C5AR1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	FTH1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	APOBEC3A
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	DRAP1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA5
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	C19ORF38
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ZNF703
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CYTIP
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	HCK
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SAT1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SELPLG
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRB1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ACTB
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	ICAM2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	BID
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	MSN
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	OAZ1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SIDT2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD48
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	SLC11A1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	UTRN
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CX3CR1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RASGRP2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PFN1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RHOB
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TIMP1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	S1PR4
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	CD68
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	LILRA2
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PAG1
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RAP1B
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	RGS19
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	TBC1D10C
IBD.Nie23.Myeloid.Non-classical.monocyte	Myeloid.Non-classical.monocyte	PLAC8
