signature_id	signature_name	gene
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TSPAN8
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	EPCAM
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GPX2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	PPARG
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT18
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	AGR3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	HMGA1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	OLFM4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LGALS4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TINAGL1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	MLEC
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SERPINB1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT8
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ELF3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ANXA4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CDX2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ITGA6
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GPRC5A
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SERPINB6
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LGALS3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	FABP1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CLDN4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SOX9
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	LYZ
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GMDS
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TESC
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CLDN3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CALML4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRT19
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CLDN7
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	TFF3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ZNF703
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ST14
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KLF5
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	CDH17
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ETHE1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	AGR2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	KRTCAP3
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GOLM1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SLC44A4
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	RAB25
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	GDF15
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	NME2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	MISP
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	PPP1R1B
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	ZFP36L2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	SLC12A2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	RHPN2
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	MACC1
ORGANOID.Xu25.atlas.organoidVec.stem.cells	atlas organoidVec stem.cells	HDHD3
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	S100A2
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	S100A11
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	AQP3
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	KRT17
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	PERP
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	GSTP1
ORGANOID.Xu25.atlas.organoidVec.basal.cells	atlas organoidVec basal.cells	KRT15
