signature_id	signature_name	gene
PANCREAS.Fernandez24.Aft3.population	Aft3 population	PIM3
PANCREAS.Fernandez24.Aft3.population	Aft3 population	HSPB1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	PLAUR
PANCREAS.Fernandez24.Aft3.population	Aft3 population	CSRNP1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	ANXA3
PANCREAS.Fernandez24.Aft3.population	Aft3 population	S100A6
PANCREAS.Fernandez24.Aft3.population	Aft3 population	BHLHE40
PANCREAS.Fernandez24.Aft3.population	Aft3 population	SCAND1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	KLF10
PANCREAS.Fernandez24.Aft3.population	Aft3 population	NR4A1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	SOCS3
PANCREAS.Fernandez24.Aft3.population	Aft3 population	BCAM
PANCREAS.Fernandez24.Aft3.population	Aft3 population	HBEGF
PANCREAS.Fernandez24.Aft3.population	Aft3 population	IFRD1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	GAS6
PANCREAS.Fernandez24.Aft3.population	Aft3 population	DUSP1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	ZFP36
PANCREAS.Fernandez24.Aft3.population	Aft3 population	EPCAM
PANCREAS.Fernandez24.Aft3.population	Aft3 population	ATF3
PANCREAS.Fernandez24.Aft3.population	Aft3 population	S100A10
PANCREAS.Fernandez24.Aft3.population	Aft3 population	KLF6
PANCREAS.Fernandez24.Aft3.population	Aft3 population	KRT19
PANCREAS.Fernandez24.Aft3.population	Aft3 population	BTG2
PANCREAS.Fernandez24.Aft3.population	Aft3 population	EGR1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	FOS
PANCREAS.Fernandez24.Aft3.population	Aft3 population	JUNB
PANCREAS.Fernandez24.Aft3.population	Aft3 population	JUN
PANCREAS.Fernandez24.Aft3.population	Aft3 population	IER2
PANCREAS.Fernandez24.Aft3.population	Aft3 population	ACTG1
PANCREAS.Fernandez24.Aft3.population	Aft3 population	PTMA
PANCREAS.Fernandez24.Aft3.population	Aft3 population	BGN
PANCREAS.Fernandez24.Aft3.population	Aft3 population	EZR
PANCREAS.Fernandez24.Aft3.population	Aft3 population	CXCL16
PANCREAS.Fernandez24.Aft3.population	Aft3 population	CLDN4
PANCREAS.Fernandez24.Aft3.population	Aft3 population	JUND
PANCREAS.Fernandez24.Aft3.population	Aft3 population	FBLN2
PANCREAS.Fernandez24.Aft3.population	Aft3 population	FOSB
PANCREAS.Fernandez24.Aft3.population	Aft3 population	RHOB
PANCREAS.Fernandez24.Aft3.population	Aft3 population	IGFBP7
PANCREAS.Fernandez24.Aft3.population	Aft3 population	LDHB
